node,x_mm,y_mm,z_mm
447,-7.259218692779541,-3.5664167404174805,-10.60676097869873
448,-7.265210151672363,-4.0417633056640625,-10.443836212158203
449,-7.0482707023620605,-4.3239240646362305,-9.004364967346191
450,-7.105213642120361,-3.932007312774658,-8.662497520446777
451,-7.105802536010742,-3.4222679138183594,-8.559394836425781
452,-7.053836822509766,-2.9396586418151855,-8.714920043945312
453,-6.861922264099121,-4.378756523132324,-9.992574691772461
454,-6.963693141937256,-4.487076282501221,-9.494202613830566
455,-6.965465068817139,-2.599836826324463,-9.084396362304688
456,-6.8636932373046875,-2.4915192127227783,-9.58276653289795
457,-6.779112815856934,-2.654667615890503,-10.072604179382324
458,-6.722126483917236,-3.0465869903564453,-10.414459228515625
459,-6.721528053283691,-3.5563242435455322,-10.517563819885254
460,-6.773514747619629,-4.038933753967285,-10.362042427062988
461,-6.66014289855957,-4.35485315322876,-8.917667388916016
462,-6.6992058753967285,-3.9692394733428955,-8.574539184570312
463,-6.665781021118164,-3.465383529663086,-8.460680961608887
464,-6.568835735321045,-2.9783029556274414,-8.606587409973145
465,-6.423027992248535,-4.417390823364258,-9.887145042419434
466,-6.559055328369141,-4.518887042999268,-9.398119926452637
467,-6.434341907501221,-2.638489246368408,-8.97315502166748
468,-6.29832124710083,-2.5369927883148193,-9.462182998657227
469,-6.197223663330078,-2.7010273933410645,-9.942632675170898
470,-6.158145904541016,-3.086642265319824,-10.285757064819336
471,-6.191559314727783,-3.590498208999634,-10.399613380432129
472,-6.28851318359375,-4.077578544616699,-10.25370979309082
473,-6.181178092956543,-4.414008617401123,-8.796671867370605
474,-6.22023344039917,-4.028405666351318,-8.453547477722168
475,-6.186772346496582,-3.5245583057403564,-8.33967399597168
