element,side,region,center_x_mm,angle_error_deg
8666,3,body,2.2800145943959538,0.382268503765795
8667,1,body,1.7404103279113803,0.38225114941644944
8690,3,body,2.2800145943959538,0.38221010801110045
8737,3,body,2.2800145943959538,0.3821857393389131
8831,1,body,1.68045433362325,0.38221941539529675
8839,4,body,0.40139219164848333,0.3821506262649265
8867,3,tail,2.29999995231628,0.0
8880,3,body,2.22005860010783,0.38220954527337353
8881,4,body,1.7404103279113798,0.38217536936221885
8942,3,tail,2.29999995231628,0.0
8947,2,body,1.68045433362325,0.38221263034815856
8949,4,body,0.581260283788045,0.3822020165487981
8983,2,head,0.10126996288696931,0.3230612208946552
9017,1,head,0.03228076733648777,0.10017860006048225
9033,3,tail,2.29999995231628,0.0
9045,3,body,2.0401905377705902,0.38214620768832824
9301,4,body,0.40139219164848333,0.3822322041493695
9372,1,head,0.0422891899943352,0.27748437867342973
9511,1,body,0.42137753963470465,0.38213390926859364
9564,1,tail,2.29999995231628,0.0
9578,1,tail,2.29999995231628,0.0
9599,1,head,0.0265308904151122,0.07280586060603157
9855,4,body,1.7803810040156067,0.3822059808906156
9870,2,head,0.007533294769624835,0.2803757495540476
9875,1,tail,2.29999995231628,0.0
9896,1,head,0.10467834770679467,0.24159048812096667
9928,1,tail,2.29999995231628,0.0
10167,1,head,0.0543720672527949,0.13300430655253925
10199,1,head,0.022138984253009166,0.09834119682020671
10205,1,tail,2.29999995231628,0.0
10209,1,tail,2.29999995231628,0.0
10354,1,tail,2.29999995231628,0.0
10485,1,head,0.15822455286979667,0.09750888816720106
10541,4,body,1.68045433362325,0.3821446018788723
10549,1,tail,2.29999995231628,0.0
10702,4,body,0.6412163178126017,0.38220314737714867
10901,1,body,1.8003663619359334,0.3821297058602288
10916,1,head,0.08207455525795616,0.03590098288645316
11060,1,tail,2.29999995231628,0.0
11074,1,body,2.2600292364756265,0.3822285006791836
11082,1,body,0.5213042696317035,0.38225116044244956
11224,2,body,1.7404103279113803,0.38214137742703697
11384,1,body,0.6612016757329303,0.38221323013997194
11600,1,body,0.7811137636502584,0.3822188187646951
11604,1,tail,2.29999995231628,0.0
11612,1,tail,2.29999995231628,0.0
11615,1,tail,2.29999995231628,0.0
11715,1,body,0.7811137636502584,0.38215337957368817
11727,1,head,0.11225716521342599,0.11283099582428695
11732,1,head,0.0319006306429704,0.35205729462515095
11837,1,body,1.92027842998505,0.38227394362990275
11838,1,head,0.03542381649216017,0.10620982434803433
11841,1,body,1.30073273181915,0.3821462076902357
11860,2,head,0.17753995458285,0.08898927955401952
11937,1,head,0.15125592549641934,0.1998134742371809
12084,2,head,0.155590683221817,0.18286041086481103
12113,3,head,0.007360962529977134,0.15027485032384785
12125,1,body,1.6204982598622635,0.38220257825246695
12148,1,body,1.6005129019419366,0.38223862667750097
12249,1,body,1.8403370777765897,0.38217233181621346
12348,1,body,0.6612016757329303,0.38219502398631405
12352,1,head,0.23785775403181733,0.6451841512587693
12354,1,head,0.21117656429608633,0.6398246263193207
12356,1,head,0.148659333586693,0.1656030156563571
12358,1,body,1.9002931118011501,0.38227139553635087
12360,2,head,0.200963521997134,0.3748095830015727
12362,1,head,0.2573704024155934,2.4422565802658065
12364,1,body,0.6412163178126017,0.38223930585461674
12366,1,head,0.2565060009558997,2.394425133825991
12369,1,body,0.2814801037311554,0.38213265177856015
12370,1,head,0.22468404968579633,0.9682154496933613
12379,1,tail,2.29999995231628,0.0
12381,1,tail,2.29999995231628,0.0
12386,1,tail,2.29999995231628,0.0
12389,2,head,0.18689162035783133,0.3216280729507986
12394,2,body,1.8603224356969201,0.3822267477614408
12399,1,tail,2.29999995231628,0.0
12400,1,tail,2.29999995231628,0.0
12408,1,body,0.7011723717053732,0.38228030910588184
12420,1,tail,2.29999995231628,0.0
12422,1,tail,2.29999995231628,0.0
12423,1,head,0.039948893090089165,0.23197139496101585
12424,1,head,0.04216216504573824,0.3183018882729578
12425,1,body,2.22005860010783,0.38223862667654745
12429,1,tail,2.29999995231628,0.0
12432,1,tail,2.29999995231628,0.0
12436,1,tail,2.29999995231628,0.0
12437,1,tail,2.29999995231628,0.0
12443,1,tail,2.29999995231628,0.0
12450,1,tail,2.29999995231628,0.0
12456,1,tail,2.29999995231628,0.0
12458,1,tail,2.29999995231628,0.0
12461,1,tail,2.29999995231628,0.0
12469,1,tail,2.29999995231628,0.0
12472,1,body,2.16010268529256,0.3822879163147581
12475,1,body,1.54055682818095,0.38220329409550596
12482,1,body,1.56054218610128,0.3821510534724518
12484,1,tail,2.29999995231628,0.0
12488,1,tail,2.29999995231628,0.0
12489,2,tail,2.29999995231628,0.0
12491,1,tail,2.29999995231628,0.0
12501,1,tail,2.29999995231628,0.0
12505,1,tail,2.29999995231628,0.0
12508,1,body,1.54055682818095,0.38220628934316
12519,1,tail,2.29999995231628,0.0
12522,1,tail,2.29999995231628,0.0
12530,1,head,0.08370337635278703,0.09794885039458848
12543,1,body,2.1001466115315734,0.3821958150436314
12546,1,tail,2.29999995231628,0.0
12554,1,tail,2.29999995231628,0.0
12561,1,tail,2.29999995231628,0.0
12565,1,body,1.2607620557149233,0.38224960680400494
12579,1,head,0.04793617750207583,0.4628189667978454
12582,1,tail,2.29999995231628,0.0
12583,1,head,0.12993552535772332,0.27709429144373504
12585,1,tail,2.29999995231628,0.0
12587,1,tail,2.29999995231628,0.0
12588,1,tail,2.29999995231628,0.0
12589,1,tail,2.29999995231628,0.0
12597,1,head,0.04579139625032743,0.31987727503345165
12598,1,head,0.04987700283527377,0.7381747822654914
12605,1,body,1.66046897570292,0.382239839351269
12608,1,tail,2.29999995231628,0.0
12615,1,tail,2.29999995231628,0.0
12620,1,tail,2.29999995231628,0.0
12624,1,tail,2.29999995231628,0.0
12628,1,tail,2.29999995231628,0.0
12630,1,tail,2.29999995231628,0.0
12631,1,tail,2.29999995231628,0.0
12633,1,tail,2.29999995231628,0.0
12636,1,tail,2.29999995231628,0.0
12637,1,tail,2.29999995231628,0.0
12640,1,tail,2.29999995231628,0.0
12643,1,tail,2.29999995231628,0.0
12649,1,body,2.2800145943959538,0.3822020165497517
12651,1,tail,2.29999995231628,0.0
12656,1,tail,2.29999995231628,0.0
12659,3,tail,2.29999995231628,0.0
12665,1,tail,2.29999995231628,0.0
12666,1,body,2.22005860010783,0.38221263034815856
12668,1,tail,2.29999995231628,0.0
12671,1,tail,2.29999995231628,0.0
12672,1,tail,2.29999995231628,0.0
12679,3,tail,2.29999995231628,0.0
12688,1,head,0.16237957775592834,0.10026361760685144
12690,1,tail,2.29999995231628,0.0
12691,1,tail,2.29999995231628,0.0
12692,1,tail,2.29999995231628,0.0
12699,1,tail,2.29999995231628,0.0
12701,1,tail,2.29999995231628,0.0
12703,2,body,0.40139219164848333,0.3821927661975833
12707,1,tail,2.29999995231628,0.0
12708,1,tail,2.29999995231628,0.0
12709,1,tail,2.29999995231628,0.0
12711,1,tail,2.29999995231628,0.0
12715,1,tail,2.29999995231628,0.0
12721,1,tail,2.29999995231628,0.0
12722,1,tail,2.29999995231628,0.0
12723,1,tail,2.29999995231628,0.0
12725,1,body,2.16010268529256,0.3821842769451805
12733,1,body,0.36142149567604065,0.38227759802448164
12735,1,tail,2.29999995231628,0.0
12745,2,head,0.08964639653762184,0.3307050623102733
12752,1,body,2.1001466115315734,0.38213291800293675
12760,1,body,1.8603224356969201,0.3821551092168156
12764,1,tail,2.29999995231628,0.0
12778,1,tail,2.29999995231628,0.0
12782,1,tail,2.29999995231628,0.0
12788,1,tail,2.29999995231628,0.0
12792,1,tail,2.29999995231628,0.0
12793,1,tail,2.29999995231628,0.0
12796,1,head,0.039182636886835064,0.33475419669353745
12797,1,body,1.9802344640096032,0.3821723318152598
12798,1,body,1.9802344640096032,0.3821630869436
12802,1,tail,2.29999995231628,0.0
12803,1,tail,2.29999995231628,0.0
12805,1,body,2.22005860010783,0.3821277371201014
12807,1,tail,2.29999995231628,0.0
12808,1,tail,2.29999995231628,0.0
12816,1,tail,2.29999995231628,0.0
12817,1,tail,2.29999995231628,0.0
12818,1,body,2.100146611531573,0.3822529664443458
12819,1,body,2.22005860010783,0.38216416553033455
12821,1,head,0.1025812700390818,0.07625334609432516
12823,1,body,1.92027842998505,0.3821693696602548
12826,1,tail,2.29999995231628,0.0
12827,1,tail,2.29999995231628,0.0
12830,1,tail,2.29999995231628,0.0
12838,1,head,0.05501992627978327,0.15874285118471898
