length_mm,diameter_mm,L_over_D,offset_n_mm,head_radial_correction_mm,head_correction_direction_n,head_contact_phase_sign,tail_contact_phase_sign,HEAD_touch_deg,TAIL_touch_deg,touch_difference_deg,initial_min_gap_mm,HEAD_phase_opposite_end_gap_mm,TAIL_phase_opposite_end_gap_mm,same_phase_STATIC_BOTH_bridge,score,passes_geometry_gate
2.65,0.815,3.2515337423312887,0.01,0.04125,-1,-1,1,13.846296116244048,12.892751900944859,0.9535442152991891,0.2456622291708147,-0.048373483995817534,0.006367158958386576,True,22.328295314436158,False
2.65,0.815,3.2515337423312887,0.01,0.042499999999999996,-1,-1,1,13.800275821704417,12.892751900944859,0.9075239207595587,0.24492375144663336,-0.048373483995817534,0.006367158958386576,True,22.328295314436158,False
2.65,0.815,3.2515337423312887,0.01,0.04375,-1,-1,1,13.754262060392648,12.892751900944859,0.8615101594477892,0.24418527372245252,-0.048373483995817534,0.006367158958386576,True,22.328295314436158,False
2.65,0.815,3.2515337423312887,0.01,0.045,-1,-1,1,13.708254888188094,12.892751900944859,0.8155029872432351,0.2434467959982709,-0.048373483995817534,0.006367158958386576,True,22.328295314436158,False
2.6,0.815,3.190184049079755,0.01,0.036250000000000004,-1,-1,1,14.334054731298238,13.165823605377227,1.168231125921011,0.24861614006754085,-0.04250336940546995,0.011707725561487359,True,22.39673921850819,False
2.6,0.815,3.190184049079755,0.005,0.037500000000000006,-1,-1,1,13.998164425138384,12.90903669083491,1.0891277343034744,0.24290622497323755,-0.03753193203534788,0.01664789092128449,True,22.727210193003216,False
2.65,0.815,3.2515337423312887,0.01,0.03875,-1,-1,1,13.938356086146086,12.892751900944859,1.0456041852012277,0.24713918461917722,-0.048373483995817534,0.006367158958386576,True,22.784337166448434,False
2.7,0.815,3.3128834355828225,0.015,0.04125,-1,-1,1,13.835903552826494,12.877119837794453,0.9587837150320411,0.24506734645848444,-0.05921503595628641,-0.0039135730045123385,True,22.807603244110943,False
2.7,0.815,3.3128834355828225,0.015,0.042499999999999996,-1,-1,1,13.790820471476763,12.877119837794453,0.9137006336823106,0.24506734645848444,-0.05921503595628641,-0.0039135730045123385,True,22.807603244110943,False
2.7,0.815,3.3128834355828225,0.015,0.04375,-1,-1,1,13.745743359904736,12.877119837794453,0.8686235221102834,0.24506734645848444,-0.05921503595628641,-0.0039135730045123385,True,22.807603244110943,False
