time_s,alpha_command_deg,psi_unwrapped_deg,psi_wrapped_deg,B_T,Bc_T,qB1_T,qB2_T,Bx_aba_T,By_aba_T,Bz_aba_T
0.004200000000000001,3.7412788636957734,-80.09284757596326,-80.09284757596326,0.01,0.009978688668556609,0.00011226611450899991,-0.0006427820591405873,0.009832338487249749,-1.9902348239345672e-05,0.0018233825075068312
0.0043,3.8282050488272032,-80.00284757596326,-80.00284757596326,0.010000000000000002,0.00997768722677319,0.00011590366855456597,-0.0006575134556058888,0.009833282129098305,-5.570429988398961e-06,0.0018183870709685779
0.0044,3.914980102978242,-79.91284757596327,-79.91284757596327,0.010000000000000002,0.009976664619944647,0.00011958289489012665,-0.0006722075515750121,0.009834193111798915,8.75465051230844e-06,0.001813441257924061
0.0045000000000000005,4.001600600418335,-79.82284757596327,-79.82284757596327,0.010000000000000004,0.009975621011713488,0.0001233035321124272,-0.0006868636470428853,0.00983507151622589,2.3072156358715687e-05,0.0018085452569187204
0.0046,4.088063121518561,-79.73284757596326,-79.73284757596326,0.01,0.009974556569065906,0.00012706531510560891,-0.0007014810447911519,0.009835917427498137,3.738135071902991e-05,0.0018036992526629398
0.0047,4.174364252886636,-79.64284757596326,-79.64284757596326,0.01,0.009973471462304064,0.0001308679750640525,-0.0007160590504344295,0.009836730934956526,5.168149688653296e-05,0.0017989034260206633
0.0048000000000000004,4.260500587501663,-79.55284757596326,-79.55284757596326,0.01,0.009972365865017764,0.00013471123951552658,-0.0007305969724661605,0.009837512132140557,6.597185833225137e-05,0.001794157953998354
0.0049,4.3464687248486396,-79.46284757596327,-79.46284757596327,0.010000000000000002,0.00997123995405563,0.0001385948323446328,-0.0007450941223040818,0.009838261116764448,8.025169875750271e-05,0.001789463009734296
0.005,4.432265271052707,-79.37284757596326,-79.37284757596326,0.01,0.00997009390949575,0.00014251847381653972,-0.0007595498143352821,0.009838977990692577,9.452028214629321e-05,0.0017848187624882395
0.0051,4.517886839013126,-79.28284757596326,-79.28284757596326,0.010000000000000004,0.009968927914615804,0.00014648188060101177,-0.0007739633659608509,0.00983966285991432,0.00010877687281756658,0.0017802253776313974
0.005200000000000001,4.603330048537004,-79.19284757596326,-79.19284757596326,0.009999999999999998,0.009967742155862632,0.00015048476579671748,-0.0007883340976401191,0.009840315834518236,0.00012302073547730221,0.001775683016636774
0.0053,4.688591526472727,-79.10284757596327,-79.10284757596327,0.01,0.009966536822821366,0.00015452683895581464,-0.0008026613329344767,0.009840937028665722,0.00013725113527043991,0.0017711918370698506
0.0054,4.773667906843141,-79.01284757596326,-79.01284757596326,0.010000000000000002,0.009965312108183964,0.00015860780610882212,-0.0008169443985507623,0.009841526560563961,0.0001514673378326427,0.0017667519925796142
0.0055000000000000005,4.858555830978421,-78.92284757596326,-78.92284757596326,0.010000000000000002,0.009964068207717322,0.00016272736978974862,-0.0008311826243842318,0.00984208455243836,0.00016566860934187833,0.001762363632889926
0.0056,4.943251947648674,-78.83284757596326,-78.83284757596326,0.01,0.009962805320230847,0.00016688522906149533,-0.0008453753435610876,0.009842611130504355,0.00017985421656981494,0.0017580269037912439
0.0057,5.027752913196237,-78.74284757596327,-78.74284757596327,0.009999999999999998,0.009961523647543559,0.00017108107954151748,-0.0008595218924805674,0.009843106424938644,0.0001940234269330254,0.0017537419471326844
0.0058000000000000005,5.112055391667679,-78.65284757596326,-78.65284757596326,0.010000000000000004,0.009960223394450702,0.00017531461342774521,-0.0008736216108565966,0.009843570569849823,0.00020817550854399845,0.0017495089008144349
0.0059,5.196156054945497,-78.56284757596326,-78.56284757596326,0.010000000000000002,0.009958904768689875,0.00017958551952475298,-0.0008876738417589813,0.009844003703248456,0.00022230973026193454,0.0017453278987805063
0.006,5.280051582879513,-78.47284757596326,-78.47284757596326,0.01,0.009957567980906717,0.0001838934832701785,-0.0009016779316541571,0.009844405967016601,0.00023642536174333783,0.001741199071011839
0.0061,5.363738663417932,-78.38284757596327,-78.38284757596327,0.01,0.009956213244620106,0.00018823818676138313,-0.0009156332304454807,0.009844777506876734,0.0002505216734923879,0.0017371225435197444
0.006200000000000001,5.447213992738111,-78.29284757596326,-78.29284757596326,0.01,0.009954840776186897,0.0001926193087823547,-0.0009295390915130573,0.009845118472360142,0.0002645979369110867,0.0017330984383396994
0.0063,5.530474275376981,-78.20284757596326,-78.20284757596326,0.01,0.009953450794766233,0.0001970365248308366,-0.0009433948717530999,0.009845429016774763,0.0002786534243491701,0.0017291268735254816
0.0064,5.613516224361148,-78.11284757596326,-78.11284757596326,0.010000000000000002,0.009952043522283398,0.00020148950714569025,-0.0009571999316168318,0.00984570929717248,0.0002926874091537918,0.0017252079631436452
0.006500000000000001,5.696336561336656,-78.02284757596327,-78.02284757596327,0.01,0.009950619183393223,0.00020597792473448038,-0.0009709536351488981,0.009845959474315878,0.0003066991657189494,0.0017213418172683473
0.0066,5.778932016698413,-77.93284757596327,-77.93284757596327,0.010000000000000002,0.009949178005443092,0.00021050144340127868,-0.0009846553500253187,0.009846179712644483,0.0003206879695346746,0.0017175285419765134
0.0067,5.861299329719268,-77.84284757596326,-77.84284757596326,0.01,0.009947720218435471,0.00021505972577468132,-0.0009983044475909528,0.009846370180240453,0.00033465309723596263,0.0017137682393433375
0.0068000000000000005,5.943435248678737,-77.75284757596326,-77.75284757596326,0.010000000000000004,0.009946246054990107,0.00021965243133603642,-0.0010119003028964775,0.009846531048793794,0.00034859382665143243,0.0017100610074381412
0.006900000000000001,6.02533653099138,-77.66284757596327,-77.66284757596327,0.010000000000000002,0.009944755750305708,0.00022427921644787522,-0.001025442294734885,0.009846662493567013,0.00036250943685173296,0.0017064069403205503
0.007,6.106999943334808,-77.57284757596327,-77.57284757596327,0.010000000000000002,0.00994324954212132,0.00022893973438254463,-0.0010389298056774888,0.009846764693359324,0.0003763992081976647,0.0017028061280370333
0.0071,6.188422261777331,-77.48284757596326,-77.48284757596326,0.010000000000000002,0.009941727670677246,0.00023363363535102962,-0.001052362222109438,0.009846837830470322,0.00039026242238803107,0.0016992586566177592
0.007200000000000001,6.269600271905236,-77.39284757596326,-77.39284757596326,0.01,0.009940190378675592,0.00023836056653197386,-0.0010657389342647366,0.009846882090663181,0.000404098362507201,0.001695764608073805
0.0073,6.35053076894968,-77.30284757596326,-77.30284757596326,0.01,0.00993863791124046,0.00024312017210087293,-0.0010790593362607617,0.009846897663127381,0.0004179063130723814,0.0016923240603946925
0.0074,6.431210557913218,-77.21284757596327,-77.21284757596327,0.01,0.009937070515877711,0.0002479120932594619,-0.0010923228261322834,0.00984688474044094,0.0004316855600805981,0.0016889370875462662
0.007500000000000001,6.5116364536959255,-77.12284757596326,-77.12284757596326,0.010000000000000002,0.009935488442434411,0.0002527359682652664,-0.0011055288058649815,0.009846843518532204,0.0004454353910553749,0.0016856037594688996
0.0076,6.591805281221148,-77.03284757596326,-77.03284757596326,0.010000000000000002,0.009933891943057906,0.0002575914324613282,-0.0011186766814284604,0.009846774196641163,0.00045915509509310775,0.0016823241420760341
