event,start_ms,end_ms,peak_time_ms,peak_history_index,duration_ms,state,peak_normal_force_N,peak_tangential_force_N,peak_resultant_force_N,normal_impulse_Ns,tangential_impulse_Ns,HEAD_min_gap_um,TAIL_min_gap_um,BODY_min_gap_um,max_closing_normal_velocity_mm_s,max_tangential_velocity_mm_s,separation_before_ms,separation_after_ms,maximum_reopened_gap_um,gap_reopened_after,contact_sector_deg,representative_region,representative_gap_um,quadrant,theta_tilt_deg,psi_robot_deg,psi_command_deg,COM_radial_um
34,112.95080184936523,112.95220255851746,112.95119673013687,1129512,0.0015007091533902894,BODY,0.0011629476956795267,3.0883308323588336e-05,0.0011633079528776875,9.844607351143157e-10,2.878411670447657e-11,19.78220662959318,116.92192787388933,-6.655887696549456e-05,0.1664693386945233,13.20077892345222,0.02310425043106079,0.012893812559866547,-1.1795344367904192e-05,False,-139.08682580026016,BODY,-6.392808871158451e-05,Q3,10.078945973312232,16.93161666286364,17.783229481159935,116.90965583992315
35,112.96519637107849,113.68930339813232,112.96559870243073,1129656,0.7242070270550016,BODY,0.0006388925486071062,1.7087776878259688e-05,0.0006390775319389175,1.8407540817502637e-08,5.512530596782401e-10,18.64582165108053,98.92408948611731,-4.104625650480642e-05,0.09269702014330439,13.310091949403416,0.012993812561035156,4.3102992938983675,36.546751724255365,True,-139.09654822294334,BODY,-3.325917008467627e-05,Q3,10.094074075126617,16.94480324846029,17.796191256224404,116.69228941532064
36,117.99970269203186,118.00090223550797,118.00000071525574,1180000,0.001299543477273346,TAIL,0.19460986704455446,0.005050426786543036,0.19466120080290628,1.4308343344416406e-07,4.226768403371026e-09,57.41189005589797,-0.011098932956477014,42.89656354288307,29.817800606136366,21.088450060387874,4.310399293899536,1.7407952116954561,12.480584460646703,True,11.802896548497074,TAIL,-0.009830903885399422,Q1,13.147569312175422,22.059542910281127,22.327153067766915,56.00479477819686
37,119.74179744720459,119.74310129880905,119.74219977855682,1197422,0.0014038516056302797,TAIL,0.17019343740666015,0.0044028415431965045,0.17024288746174984,1.3355992952635746e-07,3.7147401936093105e-09,64.97540232605292,-0.009682466457494598,50.8688371667404,28.288877856041793,15.743839177785526,1.7408952116966248,1.3414962457645174,4.82804890616495,True,22.121721822424462,TAIL,-0.009030144814681229,Q1,13.076446919279576,24.864088516310993,23.895132224737893,43.92448810724404
38,121.08469754457474,121.0860013961792,121.08509987592697,1210851,0.0014038516056302797,TAIL,0.06339834697467617,0.0016455811327696875,0.06341637774015386,5.0180760433032625e-08,1.4117219643539003e-09,44.07252623074176,-0.0036229022291056623,30.782126384694575,10.547709145210629,17.357583510449327,1.341596245765686,1.5159962939250704,7.521678241094731,True,22.368420601579317,TAIL,-0.003330733774897787,Q1,13.840185461027355,23.46718274074353,25.103742312371025,32.073169226127504
39,122.60209769010544,122.60349839925766,122.60250002145767,1226025,0.0015007091533902894,BODY,0.0980010337919758,0.0026310892142912424,0.09802845897590606,8.706580138136858e-08,2.3660960050143564e-09,12.568504549778648,13.857656205877866,-0.005786134140595145,14.68420044961456,9.121392892926517,1.516096293926239,1.736600534819388,7.836531254418966,True,-143.28933240249557,BODY,-0.005096774063018117,Q3,14.395717246517474,27.475690454751348,26.469402443348656,31.606878971862464
40,124.34019893407822,124.34159964323044,124.34060126543045,1243406,0.0015007091533902894,BODY,0.12537292667608538,0.003357219646981602,0.12540725903740968,1.1059495596810115e-07,3.180310729099179e-09,15.365073279287156,33.71022003568835,-0.007375325372427355,19.085533256888723,15.558166158118011,1.7367005348205566,1.6283957528102633,3.6799461114832566,True,-153.284465245689,BODY,-0.006454526722876608,Q3,13.878990485590656,27.404292173705603,28.033693562924157,34.80217228204166
41,125.97009539604187,125.97149610519409,125.97060203552246,1259706,0.0015007091533902894,BODY,0.021717100156586528,0.0005789712088095524,0.021724128811766674,1.9300484630770033e-08,5.496653021544177e-10,13.708548366526019,9.239054540642222,-0.0012773052056047618,3.329402937602977,8.738173090086264,1.6284957528114319,0.6386084722507235,1.7637874487730354,True,-153.39862229970453,BODY,-0.0012211246227522565,Q3,14.583817916243506,29.610529613419654,29.500694256006966,28.104093107978134
42,126.61020457744598,126.61150097846985,126.61060690879822,1266106,0.0013964010250333558,TAIL,0.05210262093110887,0.0013611897202975849,0.05211865635849383,4.1130683992667465e-08,1.1799520542411331e-09,16.963261299746456,-0.0029981326417072296,3.8837022719078185,8.259724329415594,18.849972744477455,0.6387084722518921,2.5803042816150423,11.975009081263256,True,38.80020578478752,TAIL,-0.002847317174259345,Q1,14.708432150414938,30.87971720621827,30.076698641955147,27.407253485727296
43,129.19190526008606,129.19320166110992,129.19220328330994,1291922,0.0013964010250333558,TAIL,0.10588458842553433,0.002761818574315474,0.1059107066399738,8.24241696528422e-08,2.3630232775105657e-09,39.339443195448794,-0.006070943125435768,27.219114458477357,16.75239118725601,18.04466259324645,2.580404281616211,27.429301874541068,85.92607741305136,True,41.45560065057384,TAIL,-0.005177012816548476,Q1,13.854797240814857,31.711171483465073,32.400135379015694,41.13174450526614
44,156.62260353565216,156.62389993667603,156.6230058670044,1566230,0.0013964010250333558,BODY,0.09878315727009573,0.002581580383545543,0.09881227929342194,7.913821178501918e-08,2.267383080928065e-09,21.379313883270747,6.442549343081416,-0.005674490393459131,15.722604237653819,10.047316544878546,27.429401874542236,0.3425969051349398,2.1238270083070443,True,123.71216563044322,BODY,-0.005267464992630977,Q2,5.778565185865807,-121.79370958858307,57.087857704340706,235.73255051559718
45,156.96659684181213,156.96780383586884,156.966894865036,1569669,0.00130699405787027,TAIL,0.10803286416524453,0.0027398968043967774,0.10805985013574254,7.636228596475476e-08,2.1665771828215557e-09,24.712842785006185,-0.006031416456053762,3.1463343365272234,18.20643955168065,13.667766847695992,0.3426969051361084,1.2202007936465975,3.3893002351361723,True,168.45096985230418,TAIL,-0.005308099679690592,Q2,5.999164322234854,-123.83163713200068,57.39735780256916,235.5453312419463
46,158.1881046295166,158.18940103054047,158.18840265274048,1581884,0.0013964010250333558,BODY,0.05537340491402415,0.001458253944252721,0.055387681055498586,4.393948579597285e-08,1.2836307880436743e-09,22.116194159315427,9.433529147546027,-0.00321068003494851,8.268533170063941,18.582320976109862,1.2203007936477661,1.8692953752506014,2.189924685384592,True,114.07345224430685,BODY,-0.002757043366385936,Q2,6.7201662345618995,-120.49698844055857,58.49671481150318,226.3793835423155
47,160.05879640579224,160.0600928068161,160.05919873714447,1600592,0.0013964010250333558,BODY,0.016495698486147795,0.00043335989418960764,0.01650057464481404,1.3343819006852808e-08,3.8499476283016345e-10,25.17388373396212,1.108420388948539,-0.0009486788373758159,2.566508622339398,12.999177193760124,1.86939537525177,3.4910036491382357,10.085766750954628,True,111.00011904626126,BODY,-0.0008829566007229062,Q2,8.821884161836383,-121.07766763826788,60.180431287466774,205.44726822657628
48,163.5511964559555,163.5524034500122,163.55149447917938,1635515,0.00130699405787027,TAIL,0.051979438332847655,0.0013378556123507987,0.05199185727610791,3.830247842213164e-08,1.0962761729791869e-09,25.604731945818582,-0.002948674722169642,9.646534651781558,8.678492374910633,26.00792881870112,3.4911036491394043,6.946895854376578,12.797652624445321,True,-153.41790344870225,TAIL,-0.0024980233344074065,Q3,11.024162577976108,-117.6394387585432,63.323497455298195,162.7257222183031
49,170.49939930438995,170.50069570541382,170.49969732761383,1704997,0.0013964010250333558,TAIL,0.05481424538771776,0.0014272169766765671,0.05482771217221548,4.233155363518006e-08,1.2165240940443998e-09,26.540606745754204,-0.003136003363102269,19.300505533048074,8.734034443391414,17.40259001217273,6.946995854377747,6.167296903036856,6.268587085173194,True,-123.43156611067775,TAIL,-0.002668265903893463,Q3,13.773959487714196,-110.81007532177891,69.5768800188892,63.14716119507092
50,176.66809260845184,176.6694039106369,176.66849493980408,1766685,0.0014113021862272035,TAIL,0.02697826226048816,0.0007008151372863912,0.026986274903601476,2.1427469125416282e-08,6.08093980343163e-10,19.768802586080604,-0.0015409430081936293,14.210473168635328,4.3723731325172785,23.64759707842072,6.167396903038025,6.530602114104056,5.907921213599732,True,-94.83575381872456,TAIL,-0.0014417152633949826,Q3,14.335387121170902,-104.40363208853893,75.12879786986042,33.80283303936799
51,183.20010602474213,183.20129811763763,183.200404047966,1832004,0.0012920928966764222,TAIL,0.028770315054397335,0.0007430977588967295,0.028777972498703248,2.0877450532070165e-08,6.127850436095744e-10,22.018133593947443,-0.0016412165686485736,7.082468858655044,4.434682348368611,22.49663511851727,6.530702114105225,1.4680965112674471,0.9823745643419146,True,-66.04207190017028,TAIL,-0.0014557083654054281,Q4,12.488605680127696,-99.53815832735687,81.00751606720615,129.588806137593
52,184.66949462890625,184.67070162296295,184.66979265213013,1846698,0.00130699405787027,TAIL,0.01157062809455977,0.00029935888846813896,0.01157341092996503,8.619780937668306e-09,2.4853846420402756e-10,22.929823052717737,-0.0006552819419303191,8.007666595337582,1.8993942591828326,25.65999945243034,1.4681965112686157,0.377495424650931,0.27894835129826934,True,-62.94375827299655,TAIL,-0.0005550121608965952,Q4,11.752327007265183,-97.45744744577392,82.32996581095387,149.62644359042235
53,185.04829704761505,185.04950404167175,185.04859507083893,1850486,0.00130699405787027,TAIL,0.02485847069599714,0.0006404329310560703,0.024864375386334934,1.8324717044747632e-08,5.255973368667523e-10,22.35961541756715,-0.0014106389698564925,7.602791208680126,4.155069737667749,23.962603855600992,0.3775954246520996,1.8639905618655916,2.484045100799359,True,-53.792599364287014,TAIL,-0.0011919164862872478,Q4,11.558019067539462,-96.90552953429108,82.67088798779179,154.60481016255375
54,186.9135946035385,186.91499531269073,186.91399693489075,1869140,0.0015007091533902894,BODY,0.020210021386541644,0.0005341031037862132,0.020215838249934063,1.708190127890783e-08,4.868121796235303e-10,15.410841291183864,1.9146892950436811,-0.0011762847681451305,3.131919883952784,8.401535603741086,1.8640905618667603,2.733905451201224,1.437532292466126,True,37.21652906719683,BODY,-0.0010731222891413594,Q1,10.538381329274303,-96.10440689966919,84.34974966543842,176.8797650607345
55,189.64900076389313,189.650297164917,189.64940309524536,1896494,0.0013964010250333558,BODY,0.017082382969251398,0.00044968163663031125,0.01708740087185069,1.3858206920157044e-08,4.005814354714949e-10,16.689621774184094,2.457331996093548,-0.0009891883849810768,2.6504032790173846,14.062915488595511,2.7340054512023926,1.7855955528247591,1.8881750948614995,True,34.961077905428255,BODY,-0.0009045363922322025,Q1,8.67959991775107,-93.6622413100857,86.81161520975758,205.86570974536437
56,191.43599271774292,191.43719971179962,191.43639504909515,1914364,0.00130699405787027,TAIL,0.017452534156033383,0.00044275861141416183,0.017457442402598698,1.29273554057694e-08,3.574804642360514e-10,19.51230719253061,-1.1993525442297592,3.478334795828708,3.146437098452269,21.929404051113476,1.7856955528259277,1.5317989753711458,0.29120219739342534,True,-33.25254645080199,TAIL,-1.1992785476594436,Q4,7.36128652843404,-91.06490145396998,88.41990796822239,222.61135104661912
57,192.96909868717194,192.9703950881958,192.96950101852417,1929695,0.0013964010250333558,TAIL+BODY,0.01160587911445585,0.00030393626716529454,0.011609210693517561,9.302059922265077e-09,2.661577111154997e-10,16.441045951463007,-1.0774944903474415,-0.0006700393299086116,2.814650112338768,23.127214427207512,1.5318989753723145,0.8782042430866,-1.2608470463971733,False,-22.084198380319265,TAIL,-1.0751143450725698,Q4,6.144540693938373,-90.57997905036058,89.7997033407085,235.27191281673245
58,193.84869933128357,193.84999573230743,193.8491016626358,1938491,0.0013964010250333558,TAIL,0.01951284246755698,0.0005051471467353158,0.019518590878868744,1.526276464382725e-08,4.332143189179551e-10,18.006671818336816,-3.818583294285194,1.2237172023047416,2.920307942043781,23.020890867216977,0.8783042430877686,1.548503177069449,-1.15570545189414,False,-20.354558030559815,TAIL,-3.8185577248081026,Q4,5.3869857270610355,-88.99972182286604,90.59134392040897,241.71725116853824
