time_s,Ktrans_J,Krot_J,Ktotal_J,Wmag_since_window_start_J,Whydro_since_window_start_J,Fwall_norm_N
0.0010037,2.3522609512067773e-09,2.3543327129288247e-06,2.3566849738800315e-06,4.8849793207379455e-08,-1.1957681567126533e-11,2.6285513628613453
0.0010038,1.3839323965574725e-08,2.0964112379658704e-06,2.110250561931445e-06,4.974858472301481e-08,-1.217470974635914e-11,3.5556317328591605
0.0010039,4.240197979076526e-08,1.790291317080683e-06,1.8326932968714483e-06,5.0587908937011735e-08,-1.237175839771141e-11,4.340126977499495
0.001004,9.602834917934735e-08,1.4637555505505398e-06,1.5597838997298872e-06,5.135450279630792e-08,-1.254782798977567e-11,4.95900759431243
0.0010041,1.811777836503041e-07,1.1437811349414171e-06,1.3249589185917212e-06,5.203788870503793e-08,-1.2706980007655132e-11,5.3954097455383225
0.0010042,3.0142107743009326e-07,8.535966988570987e-07,1.155017776287192e-06,5.263065954937887e-08,-1.2857258687514942e-11,5.639047903526366
0.0010042999999999999,4.5648954777618206e-07,6.104148700554244e-07,1.0669044178316065e-06,5.312865321541322e-08,-1.3009671326216833e-11,5.686400810143994
0.0010044,6.418603059504592e-07,4.2409011994643246e-07,1.0659504258968917e-06,5.353101341502936e-08,-1.3176736212204271e-11,5.540664545434369
0.0010045,8.489294515529804e-07,2.9681004644678545e-07,1.1457394979997658e-06,5.3840137999002124e-08,-1.3370808741558814e-11,5.211481635923943
0.0010046,1.0657422746220566e-06,2.2378881159952703e-07,1.2895310862215836e-06,5.406151995409569e-08,-1.3602418566568233e-11,4.714461982479071
0.0010046999999999999,1.278177044775377e-06,1.9479957123255883e-07,1.4729766160079359e-06,5.420349174143579e-08,-1.3878840859933977e-11,4.07051925738592
0.0010048,1.471420268017056e-06,1.9627098872880235e-07,1.6676912567458582e-06,5.427689804946366e-08,-1.4203084545184515e-11,3.3050667738496147
0.0010049,1.6315293658869395e-06,2.13567181039785e-07,1.8450965469267244e-06,5.4294777655387993e-08,-1.457340588258843e-11,2.4471853224364724
0.001005,1.7469562444454742e-06,2.3338772443411908e-07,1.980343968879593e-06,5.427194671496753e-08,-1.498337965054705e-11,1.5291096993830522
0.0010050999999999999,1.809822413188855e-06,2.4625642579794213e-07,2.056078838986797e-06,5.422414764639231e-08,-1.542258385900523e-11,0.5839763081635249
0.0010052,1.8165587345650187e-06,2.475096202051246e-07,2.064068354770143e-06,5.4167122822137594e-08,-1.5877877940342058e-11,0.3580900448963985
0.0010053,1.8057828994947166e-06,2.450091732658081e-07,2.0507920727605246e-06,5.411098594718652e-08,-1.6337401979468348e-11,0.0
0.0010054,1.8057821807362386e-06,2.4495490163955813e-07,2.0507370823757965e-06,5.405654990735511e-08,-1.6795936458625653e-11,0.0
0.0010054999999999999,1.8057815800860474e-06,2.449008158118602e-07,2.0506823958979078e-06,5.400229737740061e-08,-1.7253765763430307e-11,0.0
0.0010056,1.8057810053554857e-06,2.4484689976540735e-07,2.050627905120893e-06,5.394822836532749e-08,-1.7711591604734456e-11,0.0
0.0010057,1.8057802865974174e-06,2.447931964444282e-07,2.0505734830418455e-06,5.389434286415915e-08,-1.8169413991320586e-11,0.0
0.0010058,1.8057797118670713e-06,2.447396570864506e-07,2.050519368953522e-06,5.3840640866989735e-08,-1.8627232938694146e-11,0.0
0.0010059,1.8057791112173273e-06,2.4468630938090247e-07,2.0504654205982298e-06,5.378712238181312e-08,-1.908504846797166e-11,0.0
0.001006,1.8057785364871799e-06,2.446331242523555e-07,2.0504116607395354e-06,5.373378741670153e-08,-1.954286059369357e-11,0.0
0.0010061,1.8057778177296425e-06,2.445801109925263e-07,2.0503579287221686e-06,5.3680635972439314e-08,-2.0000669323228605e-11,0.0
0.0010061999999999998,1.8057772429997112e-06,2.4452730829303545e-07,2.0503045512927466e-06,5.362766804202744e-08,-2.0458474671845126e-11,0.0
0.0010063,1.8057767727281529e-06,2.4447469074597507e-07,2.050251463474128e-06,5.357488362574416e-08,-2.091627666897096e-11,0.0
0.0010064,1.8057760539710066e-06,2.444222773134516e-07,2.050198331284458e-06,5.352228272387704e-08,-2.1374075321607518e-11,0.0
0.0010065,1.805775479241376e-06,2.44370002832253e-07,2.050145482073629e-06,5.346986533719138e-08,-2.1831870639096153e-11,0.0
0.0010065999999999999,1.8057748785924045e-06,2.4431793818303e-07,2.0500928167754344e-06,5.341763146636437e-08,-2.2289662641826918e-11,0.0
0.0010067,1.805774185755095e-06,2.442660430378244e-07,2.0500402287929195e-06,5.3365581111750504e-08,-2.274745133904821e-11,0.0
0.0010068,1.8057735851063564e-06,2.44214328413501e-07,2.0499879135198575e-06,5.3313714281391087e-08,-2.3205236745369742e-11,0.0
0.0010069,1.8057730103771402e-06,2.441628234620154e-07,2.0499358338391555e-06,5.326203096817612e-08,-2.3663018882445916e-11,0.0
0.0010069999999999999,1.8057724097286162e-06,2.4411148952227536e-07,2.0498838992508914e-06,5.3210531165157824e-08,-2.4120797765879735e-11,0.0
0.0010071,1.80577169097241e-06,2.4406033249894446e-07,2.0498320234713544e-06,5.3159214880371994e-08,-2.457857340139281e-11,0.0
0.0010072,1.8057711162435128e-06,2.440093481489985e-07,2.0497804643925114e-06,5.310808212176168e-08,-2.5036345805430934e-11,0.0
0.0010073,1.8057705155953333e-06,2.4395858176930837e-07,2.0497290973646418e-06,5.3057132882282116e-08,-2.549411499992391e-11,0.0
0.0010073999999999999,1.805769822758906e-06,2.4390794680382106e-07,2.0496777695627274e-06,5.3006367162667674e-08,-2.595188099279861e-11,0.0
0.0010075,1.805769222110959e-06,2.438575221220758e-07,2.0496267442330347e-06,5.2955784970932134e-08,-2.6409643798341888e-11,0.0
0.0010076,1.8057686473824763e-06,2.4380731339092927e-07,2.0495759607734053e-06,5.290538629953521e-08,-2.6867403439508318e-11,0.0
0.0010077,1.8057679286270808e-06,2.437572381820638e-07,2.049525166809145e-06,5.2855171149198995e-08,-2.732515992435195e-11,0.0
0.0010077999999999999,1.8057673538988146e-06,2.4370737121436244e-07,2.049474725113177e-06,5.280513952792668e-08,-2.7782913267436127e-11,0.0
0.0010079,1.805766753251315e-06,2.436576780781422e-07,2.0494244313294573e-06,5.2755291428651474e-08,-2.824066349066428e-11,0.0
0.001008,1.8057661526039268e-06,2.43608201725865e-07,2.049374354329792e-06,5.2705626844309116e-08,-2.8698410607026455e-11,0.0
0.0010081,1.8057654597683816e-06,2.435588567749788e-07,2.0493243165433603e-06,5.2656145782893483e-08,-2.915615462644525e-11,0.0
0.0010082,1.8057648591212265e-06,2.435097362901994e-07,2.049274595411426e-06,5.2606848252307815e-08,-2.961389556355499e-11,0.0
0.0010083,1.8057642843934773e-06,2.434607734555911e-07,2.0492250578490683e-06,5.2557734245469646e-08,-3.0071633440260456e-11,0.0
0.0010084,1.805763565639022e-06,2.434120272052929e-07,2.049175592844315e-06,5.250880375538714e-08,-3.052936826537163e-11,0.0
0.0010084999999999998,1.8057629909114891e-06,2.4336342084907096e-07,2.04912641176056e-06,5.2460056790036814e-08,-3.098710005339494e-11,0.0
