time_s,gap_um,vn_mm_s,vt_norm_mm_s,contact_active
0.0010061,0.36259054200144814,551.0232460039537,26.47818050717033,0
0.0010061999999999998,0.4176675617571408,550.8634509560528,26.392328708225005,0
0.0010063,0.4727545937476598,550.7036371731303,26.306718284014803,0
0.0010064,0.5278197483632893,550.543836978709,26.221328441143772,0
0.0010065,0.582863146509998,550.3840067751356,26.136157076877424,0
0.0010065999999999999,0.6378949012652051,550.2242089238819,26.051213180666927,0
0.0010067,0.6929150193693888,550.0644097798706,25.966457817352392,0
0.0010068,0.7479133388890566,549.9045998784031,25.88196527988404,0
0.0010069,0.802889818488405,549.7447978295249,25.79768820735399,0
0.0010069999999999999,0.8578547766869107,549.5850037728121,25.713665244717607,0
0.0010071,0.9128079346416261,549.4252259150728,25.629845208860857,0
0.0010072,0.9677394092639394,549.2653827290721,25.54624424878763,0
0.0010073,1.022659195956717,549.1055896483377,25.462929283152057,0
0.0010073999999999999,1.0775686885234055,548.9457910661912,25.379839416503483,0
0.0010075,1.1324549973575468,548.7859897329752,25.296984553371114,0
0.0010076,1.1873196310594947,548.6262135595704,25.21436848811828,0
0.0010077,1.2421725735501563,548.4664113044673,25.132008886090208,0
0.0010077999999999999,1.2970152525586616,548.3066087591319,25.04988609531765,0
0.0010079,1.351834670403095,548.1468135871118,24.968046760510127,0
0.001008,1.4066437410073718,547.9870005302582,24.886444750785444,0
0.0010081,1.4614298725433188,547.827215993004,24.80506647720882,0
0.0010082,1.516215734358633,547.6674140692365,24.723975783919503,0
0.0010083,1.5709683312296838,547.5076312967519,24.643169614645732,0
0.0010084,1.625710520985929,547.3478136341545,24.562579410520556,0
0.0010084999999999998,1.6804296641128276,547.1880447092203,24.48230145461338,0
0.0010086,1.7351486997841599,547.0282667416238,24.40226803587708,0
0.0010087,1.789845740804262,546.868441272512,24.322485259423523,0
0.0010088,1.8445198396961942,546.7086426395463,24.243015324524784,0
0.0010088999999999999,1.8991835914453525,546.5488578533955,24.163813719823168,0
0.001009,1.9538357074161032,546.3890969992233,24.084888586403306,0
0.0010091,2.008465851170217,546.2292964521822,24.006236926654964,0
0.0010092,2.0630731094424917,546.0695097928399,23.927893269244592,0
0.0010092999999999999,2.117669876980317,545.9097235459697,23.849826031405538,0
0.0010094,2.172255091456319,545.7499146785774,23.772037366774395,0
0.0010095,2.2268285553446368,545.590155023092,23.694559627077904,0
0.0010096,2.281370087013629,545.4303735779768,23.617376452792776,0
0.0010096999999999999,2.335910239216956,545.2705876433483,23.540500657559537,0
0.0010098,2.390428403679406,545.1107980863301,23.463910075889565,0
0.0010099,2.4449351011940874,544.9510172902358,23.387649916512153,0
0.00101,2.499419795495807,544.7912701161862,23.311680499842875,0
0.0010100999999999999,2.553894224566949,544.6314688391261,23.23601579379754,0
0.0010102,2.608345686922107,544.4716837892688,23.160674848013944,0
