time_s,B_mT,command_deg,force_s_N,torque_rock_Nmm,theta_deg
0.0431401,10.999999180638685,13.343005194842016,2.92761712990597e-05,0.00024330037394052,12.177317782589338
0.0431501,10.999995270249103,13.3070802198504,2.927712704743312e-05,0.00023667147106805808,12.172753951366568
0.0431601,10.999996452986474,13.270629904117078,2.9278055810722807e-05,0.0002299912650521508,12.168434150154637
0.0431701,10.999997724497147,13.233655686638096,2.9278958170770093e-05,0.00022315703253130814,12.164353229538829
0.0431801,10.999994753989819,13.196159027092255,2.9279834723600365e-05,0.0002160751811523124,12.160505977803242
0.0431901,10.999997228404327,13.158141405783468,2.928068607881007e-05,0.00020894636480767365,12.156881280981573
0.0432001,10.99999636702714,13.119604323582328,2.928151285291882e-05,0.00020160192388137753,12.153476112293548
0.0432101,10.999994489273066,13.080549301866853,2.9282315675917533e-05,0.00019408285334744142,12.150278941911337
0.0432201,10.99999841900546,13.040977882462427,2.9283095194083384e-05,0.00018652145630236464,12.147284428209616
0.0432301,10.999995155583902,13.000891627580934,2.928385205384277e-05,0.00017868428464825362,12.144485649617533
0.0432401,10.999994530679443,12.960292119759073,2.9284586922995034e-05,0.00017074471559493361,12.14187269233134
0.0432501,10.99999990917373,12.9191809617959,2.9285300480619876e-05,0.0001627647909817169,12.139438369026623
0.0432601,10.999994140920185,12.877559776689539,2.9285993408889622e-05,0.00015445635996142243,12.137175897782177
0.0432701,10.999994935787162,12.835430207573104,2.928666641154645e-05,0.00014611397287978044,12.135074840214088
0.0432801,10.999997944254,12.792793917649858,2.928732019839155e-05,0.00013767134140071826,12.13312695073757
0.0432901,10.999993376968131,12.749652590127509,2.9287955489513386e-05,0.00012897330688737432,12.131325627127563
0.0433001,10.999995764940167,12.706007928151806,2.9288573023444546e-05,0.00012024670863430256,12.129659415182276
0.0433101,10.999996116515288,12.661861654739267,2.9289173542774166e-05,0.00011136149157308025,12.12812098770351
0.0433201,10.999992920611758,12.61721551270918,2.9289757804491298e-05,0.00010229309160493465,12.126701965173483
0.0433301,10.999997081007727,12.572071264614786,2.929032658090114e-05,9.320177981251426e-05,12.125391306763882
0.0433401,10.999994479515864,12.526430692673697,2.9290880649422515e-05,8.38950419117115e-05,12.1241815588803
0.0433501,10.99999283145078,12.48029559869755,2.9291420802900346e-05,7.447638028205435e-05,12.123061582309889
0.0433601,10.999998949136161,12.433667804020853,2.9292324856090704e-05,6.574863294423866e-05,12.118527366109332
0.0433701,10.999993089725251,12.386549149429102,2.9294241076888606e-05,5.869404259371988e-05,12.104625449175005
0.0433801,10.999993171556342,12.3389414950861,2.929864914548183e-05,5.644624132106998e-05,12.067772599164371
0.0433901,10.999998615203776,12.290846720460525,2.9302997673686153e-05,5.4075720330121024e-05,12.031357754372364
0.0434001,10.999992006283593,12.242266724251726,2.930732623537032e-05,5.144558382076269e-05,11.995014671308905
0.0434101,10.99999400521935,12.193203424314772,2.9311634992233685e-05,4.8803609536792324e-05,11.958715279960376
0.0434201,10.999996222288377,12.143658757584738,2.9315924102109768e-05,4.605485214730552e-05,11.922469355398489
0.0434301,10.999991290753432,12.093634680000227,2.9320193730876756e-05,4.3112714499651315e-05,11.88628792350522
0.0434401,10.999995398692064,12.043133166426166,2.9324444055747057e-05,4.016047694151333e-05,11.85014136365818
0.0434501,10.999994071233129,11.992156210575843,2.932867525190591e-05,3.7043268700337714e-05,11.81403921652943
0.0434601,10.999991006864535,11.940705824932184,2.9332887505721326e-05,3.379777474676323e-05,11.777992598823197
0.0434701,10.999997419923607,11.888784040668323,2.9337081008766336e-05,3.054412967811167e-05,11.74197202863058
0.0434801,10.999992223394297,11.836392907567395,2.934125595161694e-05,2.706903820803174e-05,11.705985958699918
0.0434901,10.999991220252491,11.783534493941627,2.9345412539023004e-05,2.3529549600555084e-05,11.670045660992791
0.0435001,10.999999856488202,11.730210886550681,2.9349550976924363e-05,1.9981381447341674e-05,11.63412030619686
0.0435101,10.999990742246466,11.676424190519272,2.9353671471190212e-05,1.6162419506545572e-05,11.598233130700883
0.0435201,10.999991998191728,11.622176529254062,2.9357774240064696e-05,1.233899570526557e-05,11.562353349978661
0.0435301,10.999996800811257,11.567470044359835,2.936185950367609e-05,8.450447993971371e-06,11.52649068404644
0.0435401,10.999989693118,11.512306895554934,2.9365927482274953e-05,4.355802860496542e-06,11.490654452118159
0.0435501,10.999993409323679,11.456689260586021,2.9369978408416178e-05,2.5918065874498197e-07,11.454813950116595
0.0435601,10.999994044217686,11.400619335142098,2.9374012511493567e-05,-3.957230622002094e-06,11.418978649696879
0.0435701,10.999989142921455,11.344099332767811,2.9378030027115345e-05,-8.316353610684992e-06,11.383157025124865
