time_s,rp_x_mm,rp_y_mm,rp_z_mm,v_x_mm_s,v_y_mm_s,v_z_mm_s,s_displacement_mm,v_s_mm_s,rocking_angle_deg,omega_rock_rad_s,command_rocking_deg,Fmag1_N,Fmag2_N,Fmag3_N,Mmag1_Nmm,Mmag2_Nmm,Mmag3_Nmm
0.026510000000000002,-9.656435611999575,-3.5223562963571386,-10.01695485366174,72.66587786187067,-3.9972555444505504,15.701014395039877,0.9573511430887615,74.44728319182467,-21.66157346140763,-259.87755462390436,-11.784065384279868,2.682301944099999e-05,-1.6988176233999993e-06,5.700871513499999e-06,-0.00041122554304000216,0.0003629178373199976,0.001984375404200007
0.026520000000000002,-9.655708891736412,-3.522396322454238,-10.016797818866191,72.68512579684787,-4.0085855371432855,15.706382342258031,0.9580956843724846,74.46788894445524,-21.809605109608857,-256.2031206181592,-11.836919135399171,2.679670073099999e-05,-1.6971507458999994e-06,5.695277826199998e-06,-0.0004174974633600022,0.0003560468174799976,0.0020037949421000067
0.02653,-9.654981857996967,-3.522436471437306,-10.016640710164326,72.70420178787796,-4.019924784551551,15.711672116117125,0.9588405546303087,74.48831118330043,-21.955535070436593,-252.49328205013612,-11.889305585219057,2.6770579649e-05,-1.6954963849e-06,5.6897261419e-06,-0.00042369969701,0.00034910986244,0.0020228422653
0.02654,-9.65425472050129,-3.522476724757046,-10.016483570946473,72.72312165825738,-4.031268129227251,15.716880802612305,0.959585538966532,74.50856443279002,-22.099290210723936,-248.74991288919546,-11.941222665612194,2.6744665165e-05,-1.6938551088e-06,5.6842183674e-06,-0.00042985886174,0.00034213596195,0.0020416546405
0.02655,-9.653527463796324,-3.522517093541028,-10.016326387104167,72.74187368322302,-4.042615765437374,15.722010339355469,0.9603306560831409,74.52863766032984,-22.240878088437213,-244.97295863680623,-11.992668326981141,2.6718966945e-05,-1.6922275296e-06,5.678756557e-06,-0.00043593444007,0.00033508830484,0.0020600307907
0.026560000000000004,-9.652799834010434,-3.522557581573815,-10.016169129309187,72.76046139300311,-4.053967887448915,15.727062613547998,0.9610761601493976,74.54853471600799,-22.380305221730325,-241.1624951653646,-12.043640538339302,2.669349939499999e-05,-1.6906145596999994e-06,5.6733437720999985e-06,-0.00044194796905000207,0.00032799023842999754,0.002078081475200006
0.026570000000000003,-9.652072160072954,-3.5225981739040675,-10.016011841159989,72.778900593533,-4.065319815193463,15.732035757977522,0.9618217200672418,74.56827035402677,-22.517502705171403,-237.32038815596405,-12.094137287390998,2.666827333799999e-05,-1.6890168845999993e-06,5.667982313499998e-06,-0.00044790360929000206,0.0003208487383699975,0.002095831642700006
0.026580000000000003,-9.651344366926185,-3.5226388816891574,-10.015854493406145,72.7971720071072,-4.0766707892636935,15.736932611270483,0.9625674158732079,74.58782629599422,-22.6524792594176,-233.44665939038032,-12.144156580611067,2.664329950699999e-05,-1.6874351840999993e-06,5.662674462099998e-06,-0.000453772097100002,0.0003136383661799975,0.002113134918100006
0.026590000000000003,-9.650616335360837,-3.522679704927208,-10.015697115849981,72.81529846218534,-4.088020809659607,15.741752227218065,0.963313357764983,74.6072246325442,-22.785216315735173,-229.54202906268924,-12.19369644332346,2.661858851099999e-05,-1.6858701299999995e-06,5.6574224727999985e-06,-0.000459586348580002,0.0003063928948799975,0.002130161561600006
0.026600000000000002,-9.64988799031921,-3.522720647523493,-10.01553964951027,72.83327568359375,-4.099369593811038,15.746498332214356,0.9640596314996852,74.62646194564722,-22.91572299736901,-225.60626473514776,-12.242754919779225,2.6594150858999995e-05,-1.6843223879999994e-06,5.652228578799998e-06,-0.00046532794265000197,0.00029909785162999744,0.0021468213581000055
0.02661,-9.64915960112599,-3.522761694289933,-10.015382167574451,72.85109700398763,-4.1107124616495785,15.75116822362264,0.964805958015867,74.64553087594597,-23.04393139729869,-221.6416251424699,-12.291330073233711,2.6569996939e-05,-1.6827926159e-06,5.6470949884e-06,-0.00047097894328,0.0002917388911,0.0021630242907
0.02662,-9.64843103311884,-3.52280285651812,-10.015224641006673,72.86877336588542,-4.122049610290529,15.75576373413086,0.9655524755046583,74.66444249886388,-23.169852494824976,-217.64803017496016,-12.339419986023032,2.6546137005e-05,-1.6812814633e-06,5.6420238809e-06,-0.00047658369043,0.00028435990652,0.002179001473
0.02663,-9.647702151635409,-3.522844138164743,-10.015067040591655,72.88630801884405,-4.133382655967431,15.760286652040834,0.9662993217408881,74.68320045787718,-23.293490411853984,-213.62527860421244,-12.387022759639777,2.6522581198e-05,-1.6797895724e-06,5.6370174114e-06,-0.0004821010802,0.00027692556254,0.002194544764
0.02664,-9.646973226000389,-3.5228855276378233,-10.014909424536643,72.90370209314418,-4.144705496645328,15.764736253266511,0.9670462209937802,74.70180532891074,-23.41478432582925,-209.57573754605943,-12.434136514807951,2.6499339518e-05,-1.6783175764e-06,5.6320777053e-06,-0.0004875302682,0.00026943752254,0.0022096515428
0.026650000000000004,-9.64624418115608,-3.5229270288561465,-10.014751763832013,72.92095883834274,-4.1560197559780585,15.769114335745353,0.9677932528023275,74.72026075789896,-23.533745072308157,-205.4991967596104,-12.4807593915572,2.6476421815999995e-05,-1.6768660993999996e-06,5.627206856499998e-06,-0.0004929099448400018,0.0002619338690199974,0.002224526214100005
0.026660000000000003,-9.64551489842972,-3.522968641826578,-10.014594058450301,72.93807069372107,-4.167324479412506,15.773420909819428,0.9685405330304889,74.73855930658773,-23.650353894004805,-201.39633372202545,-12.526889549296126,2.6453837818999994e-05,-1.6754357573999995e-06,5.622406931999998e-06,-0.0004981933518500018,0.00025437462568999735,0.0022389289049000046
0.026670000000000003,-9.644785360512477,-3.5230103780075375,-10.014436294015841,72.9550635594799,-4.1786198515404624,15.777658635841654,0.9692880822679129,74.75672682424798,-23.76462008735897,-197.26723852404248,-12.572525166885116,2.6431597087999992e-05,-1.6740271558999995e-06,5.617679964299998e-06,-0.0005033968132200019,0.00024677693433999734,0.002252946752300005
0.026680000000000002,-9.644055779472556,-3.523052218215997,-10.014278499227162,72.97191598786532,-4.189901687390365,15.781826920245136,0.9700356863357293,74.77474198993988,-23.876485993255393,-193.11392935674704,-12.617664442708131,2.6409709033999994e-05,-1.6726408908999996e-06,5.6130279530999985e-06,-0.0005085362057000017,0.00023915781914999733,0.0022666668744000047
0.026690000000000002,-9.643326019372509,-3.523094170167779,-10.01412067463616,72.98863876722548,-4.201171127443669,15.785925599093968,0.9707834783095094,74.79261537261392,-23.985960832834447,-188.93644068391572,-12.662305594743849,2.6388182918999994e-05,-1.6712775490999996e-06,5.608452867299999e-06,-0.0005135762463800018,0.00023148821075999734,0.002279906917900004
0.0267,-9.642595945409413,-3.523136245399075,-10.01396277609125,73.00525006306967,-4.212428346337214,15.789958260091147,0.9715315996691939,74.8103654621219,-24.093049160670148,-184.73476264732332,-12.706446860636024,2.6367027827e-05,-1.6699377058e-06,5.6039566375e-06,-0.00051854476461,0.00022379513077,0.0022928157745
0.02671,-9.641865828068266,-3.523178420872381,-10.01380486209328,73.02172869222005,-4.223669652998184,15.793924374762641,0.9722797727826027,74.82797123986951,-24.19769982685573,-180.5109958889363,-12.750086497763066,2.6346252684e-05,-1.6686219263e-06,5.5995411607e-06,-0.00052343475601,0.00021607515844,0.0023053606455
