time_s,magnetic_N,wall_N,fluid_N,reaction_N,no_fluid_wall_N,inertia_N,closure_residual_N,magnetic_J_Ns,wall_J_Ns,fluid_J_Ns,reaction_J_Ns,no_fluid_wall_J_Ns,inertia_J_Ns,closure_residual_J_Ns
0.003377738408744335,2.8739361465177987e-05,0.0,-2.086682653520199e-05,2.0821835910971274e-05,0.0,2.8694373114736126e-05,2.2737888537348403e-12,8.304353422495627e-08,-3.991167986016796e-06,6.274698465302435e-08,3.87599585593846e-06,-5.242001449840134e-08,3.0617937088079693e-08,-4.5171156078945743e-13
0.0033887166064232588,2.8739678483628357e-05,0.0,-6.260632195298926e-05,6.263426451297085e-05,0.0,2.87676251852105e-05,4.141600551957813e-12,8.335904241362263e-08,-3.991167986016796e-06,6.217322888718968e-08,3.876569601753441e-06,-5.242001449840134e-08,3.093343533253545e-08,-4.51704918886511e-13
0.0033997560385614634,2.8739934966237316e-05,0.0,5.740005887398607e-05,-5.7428571595032705e-05,0.0,2.8711423412947455e-05,1.1677567753379768e-12,8.367631361647058e-08,-3.991167986016796e-06,6.120343854897609e-08,3.877539355047015e-06,-5.242001449840134e-08,3.1250669501709344e-08,-4.5169395366109925e-13
0.003410837147384882,2.8740130965009338e-05,0.0,-5.659468607245124e-05,5.657121308224232e-05,0.0,2.8716661378493856e-05,3.4036934444428395e-12,8.399478510554437e-08,-3.991167986016796e-06,6.066012459052011e-08,3.878082637203855e-06,-5.242001449840134e-08,3.156910918407372e-08,-4.516990499697639e-13
0.0034219452645629644,2.874026710495329e-05,0.0,9.796311617861866e-06,-9.767867346926236e-06,0.0,2.8768711100722837e-05,-2.751660830885728e-13,8.431403465943789e-08,-3.991167986016796e-06,6.024933000994428e-08,3.878493434092317e-06,-5.242001449840134e-08,3.18883610474165e-08,-4.516974861512817e-13
0.00343304849229753,2.87403442716938e-05,0.0,2.1143363214195378e-05,-2.1110728412018758e-05,0.0,2.8772979014114045e-05,-5.975637533081092e-14,8.463314487246526e-08,-3.991167986016796e-06,5.990521711713491e-08,3.8788375866183465e-06,-5.242001449840134e-08,3.220751089435765e-08,-4.516967946186659e-13
0.0034441309981048107,2.8740364029257807e-05,0.0,1.1779044613998675e-05,-1.1763503438374575e-05,0.0,2.875590469477539e-05,-5.101065173019302e-13,8.495166006635457e-08,-3.991167986016796e-06,6.019603210886028e-08,3.878546770926674e-06,-5.242001449840134e-08,3.2526025387724846e-08,-4.516973708593184e-13
0.003455219091847539,2.874032806418425e-05,0.0,-9.398686315452793e-05,9.403276037579375e-05,0.0,2.878622231882285e-05,-2.9666272253158193e-12,8.527033576830709e-08,-3.991167986016796e-06,5.973416747340757e-08,3.87900858994543e-06,-5.242001449840134e-08,3.2844655470899344e-08,-4.5169945482879993e-13
0.0034663076512515545,2.8740237886807637e-05,0.0,-6.385818907310232e-06,6.3001388798851775e-06,0.0,2.8654557623263635e-05,-2.3611894503419023e-13,8.558902415272037e-08,-3.991167986016796e-06,5.9402863847568966e-08,3.879339864057409e-06,-5.242001449840134e-08,3.316331434569755e-08,-4.51695212850747e-13
0.0034774048253893852,2.8740094930796953e-05,0.0,-9.60335892261458e-06,9.567394956424316e-06,0.0,2.8704129767278705e-05,-1.1973279830167043e-12,8.590795883212216e-08,-3.991167986016796e-06,5.875333982267466e-08,3.879989410153883e-06,-5.242001449840134e-08,3.348227109169659e-08,-4.5170019455544955e-13
0.003488511312752962,2.873990064557389e-05,0.0,-2.9111672557036006e-05,2.910384351653064e-05,0.0,2.873207150539663e-05,-9.967189495085037e-14,8.622715930103443e-08,-3.991167986016796e-06,5.8407864231363164e-08,3.880334871734536e-06,-5.242001449840134e-08,3.3801457549600785e-08,-4.517005423252747e-13
0.003499614307656884,2.8739656836232615e-05,0.0,-7.3199388212848895e-06,7.36062742115988e-06,0.0,2.8780345286888632e-05,-1.4921897539214163e-13,8.654625696305443e-08,-3.991167986016796e-06,5.858863898485491e-08,3.880154113831321e-06,-5.242001449840134e-08,3.4120572063925736e-08,-4.516985156358456e-13
0.0035106968134641647,2.8739365677112208e-05,0.0,3.591709194748445e-05,-3.5960900877434765e-05,0.0,2.8695553786501013e-05,-2.9606608810894223e-12,8.686476280675088e-08,-3.991167986016796e-06,5.8520285147617314e-08,3.880222425703893e-06,-5.242001449840134e-08,3.443903594962572e-08,-4.5169184617917306e-13
0.003521821927279234,2.8739027049837455e-05,0.0,6.465160717021642e-05,-6.462794749083518e-05,0.0,2.8762687873841143e-05,1.1446224522403733e-12,8.718448967964452e-08,-3.991167986016796e-06,5.873593260521264e-08,3.880006734904192e-06,-5.242001449840134e-08,3.4758719484107e-08,-4.5168814937657306e-13
0.0035329677630215883,2.87386429372083e-05,0.0,4.533389135106289e-06,-4.483991592288557e-06,0.0,2.878803937195025e-05,-1.1080757825513397e-12,8.750480805488577e-08,-3.991167986016796e-06,5.9032404985647797e-08,3.879710242584629e-06,-5.242001449840134e-08,3.5079017920704175e-08,-4.516876658243167e-13
