time_s,s_relative_mm,v_s_mm_s,delta_s_backtrack_mm,F_mag_s_N,whole_general_contact_force_s_N,pipe_surface_reaction_on_robot_proxy_s_N
0.015415,0.161891489119415,5.659204113541557,0.0,2.659823861271631e-05,-4.682034671375234e-06,-1.9950686480900988e-05
0.01542,0.1619196055782164,5.520770743182314,0.0,2.659835099839563e-05,-0.0007979677898959287,-1.5733985305291892e-05
0.015425000000000001,0.16194579095638703,4.908316282949945,0.0,2.6598414383178492e-05,-0.0011763453592649686,-1.9177779130096086e-05
0.015430000000000001,0.1619686482051326,4.263757641216343,0.0,2.659842742723251e-05,-0.0016809459541767286,-8.29573398902575e-06
0.015435,0.1619890026297637,3.9827941670883646,0.0,2.659838963826296e-05,5.5598752147985894e-05,-1.5468030329933926e-05
0.01544,0.16200877697383195,3.9535192666952272,0.0,2.659830147305259e-05,0.0001309779589821542,-1.7948587963014537e-05
0.015445,0.16202792488075832,3.6675947513103413,0.0,2.659816281579422e-05,-0.0006883667906231643,-1.721863972117279e-05
0.01545,0.1620456018529062,3.3807630889220817,0.0,2.6597973604715525e-05,-0.00024252717061870415,-1.8035816238853514e-05
0.015455,0.16206343384341382,3.862602022917514,0.0,2.6597734648421062e-05,0.0011104679883806386,-1.970506157249073e-05
0.01546,0.16208329830861126,3.8677221027448008,0.0,2.659744603568537e-05,-0.0015317517469425662,-1.4963440991217534e-05
0.015465,0.16210199329548106,3.7374096425241854,0.0,2.6597105725080193e-05,0.0004460460998234249,-2.4162821856928277e-05
0.015470000000000001,0.16212173721205353,4.0663810598724375,0.0,2.659671589083192e-05,-0.0018442093707812582,-1.3198202916566765e-05
0.015475000000000001,0.16214149774382536,4.169077569946938,0.0,2.6596274127155966e-05,0.0016344690893687467,-1.7098498831850573e-05
0.01548,0.16216363174851062,4.4840356426188865,0.0,2.6595783536394267e-05,-0.00048810283949491247,-1.5189772120756944e-05
0.015485,0.16218499487720156,4.069553499322633,0.0,2.6595242584559e-05,-0.000348806433113268,-1.901458119604653e-05
0.01549,0.1622047235348767,3.8793312094769608,0.0,2.659464729547925e-05,-8.5861226239247e-05,-2.16915960553603e-05
0.015495,0.16222429732484364,3.8707042354807664,0.0,2.6593998102520136e-05,-1.9995233986426223e-05,-2.1089768535789466e-05
0.0155,0.16224456576806248,4.238790472483811,0.0,2.6593298373105294e-05,8.438779931611123e-05,-2.2865656402421636e-05
0.015505,0.16226435815809376,3.6344068701440997,0.0,2.659254589633489e-05,0.0010035053671091675,-2.3453025807653466e-05
0.01551,0.16228514939948643,4.682990843986517,0.0,2.6591742869748453e-05,0.001038758674075763,-1.9575596477730636e-05
0.015515000000000001,0.16230824566109583,4.40214603701889,0.0,2.6590886732007548e-05,-0.0008820325901663579,-2.290809997106228e-05
0.01552,0.1623300754893921,4.428446142272513,0.0,2.6589976489844675e-05,-9.909050284896118e-05,-2.5025383090918e-05
0.015525,0.1623529296870893,4.85689896290928,0.0,2.6589012703606764e-05,0.0011072071638085679,-2.0250158600723447e-05
0.01553,0.16237711734332105,4.590430110897228,0.0,2.6587997566260497e-05,-0.0013548036277718919,-1.2157113052519603e-05
0.015535,0.1623997278965283,4.629410616111856,0.0,2.6586926804207818e-05,0.0005693700084271783,-2.615609129552446e-05
0.01554,0.16242289150367697,4.477325683029022,0.0,2.6585802286787552e-05,-0.0010589146677197098,-1.901984108277028e-05
0.015545,0.1624442068441993,4.1259872484919144,0.0,2.6584622252535212e-05,-0.0001971719936888844,-2.8284202246623466e-05
0.015550000000000001,0.16246459249382325,3.970998443099466,0.0,2.6583386454595524e-05,-0.0010179299585289679,-3.740314819983267e-05
0.015555000000000001,0.1624832190866927,3.4629012001199886,0.0,2.658209243850629e-05,-0.0004699232229786626,-2.31369653663731e-05
0.015560000000000001,0.16250040253878,3.518060190653558,0.0,2.6580741862992197e-05,0.000100001013902505,-2.762562411715528e-05
0.015565,0.1625181812208765,3.5532231592545,0.0,2.6579333996788455e-05,-0.0003344419496848957,-2.5250457798379928e-05
0.01557,0.16253613994498461,3.6529194946067127,0.0,2.657787003371191e-05,0.00014590897675955127,-1.9982233776061168e-05
0.015575,0.16255450958200854,3.793035111651619,0.0,2.657634710205192e-05,0.0006692744411286387,-1.8233600395119743e-05
0.01558,0.16257423178570773,4.0361682474433085,0.0,2.6574770006457345e-05,-0.00011125792860984659,-1.4799009695524162e-05
0.015585,0.16259436406901812,4.016338892069077,0.0,2.6573135319258373e-05,0.00011005597344995234,-9.53731252308368e-06
0.01559,0.16261439378240372,3.9571213751677745,0.0,2.657144250709275e-05,-0.00025131178261022147,-1.6837710579781666e-05
0.015595000000000001,0.16263376979864536,3.8114485369061657,0.0,2.656969664818865e-05,-4.870959786730518e-05,-2.8244999942700618e-05
0.015600000000000001,0.16265277570674017,3.8228602205591207,0.0,2.656788948708411e-05,0.00029944388731434183,-4.466285960282354e-05
0.015605,0.1626719265535084,3.7967202539884415,0.0,2.656602668255956e-05,-0.0003760309386003509,-3.5181061560755924e-05
0.01561,0.16269072673284557,3.7808766049272795,0.0,2.656410931916469e-05,3.2393670150958055e-05,-1.900503644652071e-05
0.015615,0.16270925465805314,3.6208062401154693,0.0,2.656213630603096e-05,0.00018631845036599074,-2.0717606393962104e-05
0.01562,0.16272786147122142,3.765263008050878,0.0,2.6560104529336497e-05,-0.00023863046446754966,-1.9232265383586984e-05
0.015625,0.16274662314551228,3.7802158502650345,0.0,2.655801241868769e-05,-7.10449763914944e-05,-1.4223600726509658e-05
0.01563,0.1627656635361876,3.8125635076215083,0.0,2.6555860621123773e-05,-0.00015094966226036018,-2.418141300826779e-05
0.015635,0.16278445864976399,3.6699171476596777,0.0,2.6553650012959705e-05,-0.000574358397345691,-2.9304162382402313e-05
0.01564,0.16280234988939415,3.4844965406679083,0.0,2.6551379692192127e-05,-0.0008036252468850504,-3.570007361481837e-05
0.015645,0.16281866355992772,3.0393137618514205,0.0,2.6549050326702095e-05,-0.0005909326703377932,-2.862608576681198e-05
0.01565,0.16283317075189163,2.8195764862191957,0.0,2.6546665356052497e-05,-0.0002226268287641585,-2.9816987117872584e-05
0.015655000000000002,0.1628471619700848,2.73445658578167,0.0,2.654422530743804e-05,-0.00029063877335997476,-3.502939065788692e-05
0.01566,0.16286013569727043,2.466860497019248,0.0,2.654172522472901e-05,-0.00017705546834864341,-3.965111843602565e-05
0.015665000000000002,0.16287239463943506,2.450175183955528,0.0,2.653916645080948e-05,-0.000113529028485659,-3.884468724846873e-05
0.01567,0.16288447570515377,2.3631574799049635,0.0,2.6536554066840112e-05,1.4567195485821972e-05,-3.243383312108408e-05
0.015675,0.16289628982794443,2.4023098509678373,0.0,2.653388467148764e-05,0.0001699451925600687,-3.1992086204721294e-05
0.01568,0.16290805961796087,2.305763818933446,0.0,2.6531159241053822e-05,-8.686901969169955e-05,-3.8678139736404175e-05
0.015685,0.16291990300169495,2.466120981388254,0.0,2.652837549935574e-05,0.00032061924686585676,-3.765329700021202e-05
0.01569,0.1629320829424031,2.389391593202256,0.0,2.6525529797612327e-05,-7.074908556602746e-05,-3.495638785295492e-05
0.015695,0.1629439643991118,2.372801824753283,0.0,2.652262446051089e-05,0.0002096577972745931,-3.5196451838971884e-05
0.0157,0.1629559469707956,2.4197771997245003,0.0,2.6519658371540565e-05,-0.00022870199441447453,-2.5256266059847985e-05
