time_s,UR1_rad,UR2_rad,UR3_rad
9.100000000000000450e-03,-1.418241651964829708e-01,-3.277774698995952196e-01,4.167076706178844403e-01
9.199999999999999845e-03,-1.410267194221351272e-01,-3.348734743498541500e-01,4.098397155891347898e-01
9.300000000000000974e-03,-1.401826008664953382e-01,-3.418377641457490679e-01,4.028466977212180611e-01
9.400000000000000369e-03,-1.392921413926115903e-01,-3.486679201038919707e-01,3.957312049211293981e-01
9.499999999999999764e-03,-1.383556892642943126e-01,-3.553615746858618252e-01,3.884958663292953918e-01
9.600000000000000894e-03,-1.373736089767078061e-01,-3.619164127495060335e-01,3.811433512433214932e-01
9.700000000000000289e-03,-1.363462810814371207e-01,-3.683301722761714303e-01,3.736763680312266134e-01
9.799999999999999684e-03,-1.352741020061588306e-01,-3.746006450737719984e-01,3.660976630347451688e-01
9.900000000000000813e-03,-1.341574838690443305e-01,-3.807256774555881074e-01,3.584100194632711123e-01
1.000000000000000021e-02,-1.329968542880250459e-01,-3.867031708947338275e-01,3.506162562790121062e-01
1.010000000000000134e-02,-1.317926561850503719e-01,-3.925310826542339759e-01,3.427192270739194413e-01
1.020000000000000073e-02,-1.305453475854693735e-01,-3.982074263926634883e-01,3.347218189389573606e-01
1.030000000000000013e-02,-1.292554014126688078e-01,-4.037302727453179751e-01,3.266269513262680668e-01
1.040000000000000126e-02,-1.279233052780995861e-01,-4.090977498809144075e-01,3.184375749047822501e-01
1.050000000000000065e-02,-1.265495612668241787e-01,-4.143080440338014481e-01,3.101566704098224214e-01
1.060000000000000005e-02,-1.251346857187200512e-01,-4.193594000117115694e-01,3.017872474872451694e-01
1.070000000000000118e-02,-1.236792090054694426e-01,-4.242501216790671714e-01,2.933323435326436468e-01
1.080000000000000057e-02,-1.221836753034716283e-01,-4.289785724158911573e-01,2.847950225261527413e-01
1.089999999999999997e-02,-1.206486423628103932e-01,-4.335431755523663222e-01,2.761783738633706298e-01
1.100000000000000110e-02,-1.190746812724070569e-01,-4.379424147791130539e-01,2.674855111829054777e-01
