region,parameter,x_mm,radius_mm
HEAD,0.34,0.043445481893873254,0.18223980660171948
HEAD,0.3405,0.043597609740593755,0.1825400888017132
HEAD,0.341,0.04374998951927207,0.18284040196134044
HEAD,0.3415,0.043902620912438975,0.18314074553690626
HEAD,0.342,0.04405550360130495,0.18344111898372994
HEAD,0.3425,0.04420863726576283,0.1837415217561487
HEAD,0.343,0.04436202158439031,0.1840419533075216
HEAD,0.3435,0.04451565623445261,0.18434241309023403
HEAD,0.344,0.044669540891904995,0.1846429005557015
HEAD,0.3445,0.04482367523139545,0.18494341515437365
HEAD,0.345,0.04497805892626712,0.18524395633573854
HEAD,0.3455,0.04513269164856103,0.18554452354832632
