time_s,CF_vs_telemetry_plus_hydro_error_N,CF_x_N,Fmag_plus_hydro_x_N,CF_y_N,Fmag_plus_hydro_y_N,CF_z_N,Fmag_plus_hydro_z_N
0.0015501000452786684,6.617994743271025e-09,-5.081521976535441e-06,-5.0773456734116415e-06,-4.265844836481847e-06,-4.2612759597879455e-06,2.1634150471072644e-06,2.1610737414040236e-06
0.0016000999603420496,1.561284990741333e-09,-5.232011517364299e-06,-5.231026382974852e-06,-4.379469828563742e-06,-4.378391824105191e-06,2.251443447676138e-06,2.2508911547788585e-06
0.0016499999910593033,1.6932105035157078e-09,-5.343618795450311e-06,-5.3425501084941795e-06,-4.447768787940731e-06,-4.446600053331433e-06,2.3194811547000427e-06,2.3188820475209517e-06
0.0017001000232994556,1.633933793962241e-09,-5.416615294961957e-06,-5.415584169165694e-06,-4.47104230261175e-06,-4.4699142260981515e-06,2.3677066565142013e-06,2.3671287615282388e-06
0.0017501000547781587,1.7164274071023589e-09,-5.450164280773606e-06,-5.4490812029163925e-06,-4.448848812899087e-06,-4.447663802314105e-06,2.3953716663527302e-06,2.394764364687537e-06
0.0018000999698415399,1.8016600024052282e-09,-5.444156158773694e-06,-5.443019167365963e-06,-4.3809391172544565e-06,-4.379695367708239e-06,2.4019550437515136e-06,2.4013176142500805e-06
0.0018501000013202429,1.8925839293590653e-09,-5.39828261025832e-06,-5.397088084677625e-06,-4.266824362275656e-06,-4.265517959445526e-06,2.3865823095547967e-06,2.3859127617878973e-06
0.0019000000320374966,2.0538453236815685e-09,-5.312440407578833e-06,-5.311144361316739e-06,-4.106278993276646e-06,-4.104861033148069e-06,2.348247335248743e-06,2.3475207447355353e-06
0.001950099947862327,9.266280022994915e-09,-5.260378202365246e-06,-5.254530414971805e-06,-3.979259872721741e-06,-3.97286292256305e-06,2.3271950340131298e-06,2.3239168703910847e-06
0.0020000000949949026,5.965084228271375e-09,-2.7211451651965035e-06,-2.724909455998518e-06,-5.603800673270598e-06,-5.607918851089351e-06,-2.3114414489100454e-06,-2.309331246061651e-06
