time_s,speed_mm_s,Fwall_norm_N,residual_norm_Ns,Vcom_x,Vcom_y,Vcom_z,P_x,P_y,P_z,Jmag_x,Jmag_y,Jmag_z,Jhydro_x,Jhydro_y,Jhydro_z,Jwall_x,Jwall_y,Jwall_z
0.0002615,0.012218087147110304,0.0,1.8793955438546224e-18,-0.007710556971101237,-0.008434872145227935,0.004322255964590943,-7.710535831779448e-11,-8.434849020118141e-11,4.322244114661031e-11,-7.71087740575799e-11,-8.435564896625107e-11,4.322661933373226e-11,3.4162924695504693e-15,7.158545470435072e-15,-4.176404302823493e-15,0.0,0.0,0.0
0.00026159999999999996,0.012231380413168408,0.0,2.575077734841401e-18,-0.007718945859198469,-0.008444049397880621,0.004326958677934711,-7.71892469687764e-11,-8.444026247610402e-11,4.326946815111804e-11,-7.71926701656771e-11,-8.444742983983878e-11,4.327365088328837e-11,3.4213751048854666e-15,7.169179489985067e-15,-4.18260921376849e-15,0.0,0.0,0.0
0.00026169999999999996,0.012244682510320388,0.0,3.4511268917855744e-18,-0.007727340800892441,-0.008453232238468755,0.004331664650907492,-7.727319615555976e-11,-8.45320906302279e-11,4.331652775182654e-11,-7.727662324349292e-11,-8.453927303730136e-11,4.3320714369655426e-11,3.426463295870467e-15,7.179825085135067e-15,-4.18882088162349e-15,0.0,0.0,0.0
0.00026179999999999997,0.012257993622913564,0.0,4.18130569322303e-18,-0.007735741330521865,-0.008462421598314913,0.0043363734178479985,-7.735720122154444e-11,-8.462398397675328e-11,4.336361529213569e-11,-7.73606333041562e-11,-8.463117857300153e-11,4.336780980019338e-11,3.431557046340467e-15,7.190482263785067e-15,-4.19503931098849e-15,0.0,0.0,0.0
0.00026189999999999997,0.012271313915679719,0.0,3.226982580459247e-18,-0.007744147448086741,-0.008471617477419095,0.004341085444417519,-7.744126216673044e-11,-8.471594251568018e-11,4.3410735428645613e-11,-7.744470036078844e-11,-8.472314646129398e-11,4.3414937182258044e-11,3.436656360130467e-15,7.201151033835067e-15,-4.20126450646849e-15,0.0,0.0,0.0
0.00026199999999999997,0.012284643682487108,0.0,1.8891325760235563e-18,-0.007752559619248357,-0.008480819875781302,0.004345800730616053,-7.752538364771787e-11,-8.48079662470086e-11,4.345788816135631e-11,-7.75288244265037e-11,-8.481517671652527e-11,4.346209652320107e-11,3.4417612410804672e-15,7.211831403135067e-15,-4.20749647266849e-15,0.0,0.0,0.0
0.0002621,0.01229798169265187,0.0,2.5615336090529412e-18,-0.007760976912684138,-0.008490027862078958,0.0043505192764436,-7.760955635130652e-11,-8.49000458575383e-11,4.350507349026777e-11,-7.761300551440862e-11,-8.490726935303381e-11,4.3509287830369926e-11,3.446871693030467e-15,7.222523379535067e-15,-4.21373521418849e-15,0.0,0.0,0.0
0.0002622,0.012311329176857864,0.0,2.1375666156659312e-18,-0.007769400259716658,-0.008499242367634637,0.00435524108190016,-7.76937895906966e-11,-8.49921906604695e-11,4.3552291415379994e-11,-7.769724363760241e-11,-8.499942438514993e-11,4.355651111110795e-11,3.4519877198254672e-15,7.233226970935068e-15,-4.21998073563349e-15,0.0,0.0,0.0
0.0002623,0.012324686135105099,0.0,3.698932517373567e-18,-0.007777829660345918,-0.00850846339244834,0.004359966146985734,-7.77780833658881e-11,-8.508440065580222e-11,4.359954193669298e-11,-7.778153880917691e-11,-8.509164182719586e-11,4.3603766372754325e-11,3.4571093253054675e-15,7.243942185235068e-15,-4.226233041613491e-15,0.0,0.0,0.0
0.0002624,0.012338051171977924,0.0,9.882716775419448e-19,-0.007786264183249342,-0.008517690005197491,0.004364694006039034,-7.786242836368082e-11,-8.517666653033621e-11,4.364682039760664e-11,-7.786589104221647e-11,-8.518392169348568e-11,4.3651053622644056e-11,3.4622365133104677e-15,7.254669030285068e-15,-4.232492136738491e-15,0.0,0.0,0.0
