time_s,gap_um,contact_node,wall_element,triangle_index,speed_mm_s,CPRESS_MPa,CPRESS_node,Vcom_x,Vcom_y,Vcom_z,Fmag_x,Fmag_y,Fmag_z,Fhydro_x,Fhydro_y,Fhydro_z,Fwall_x,Fwall_y,Fwall_z,Jwall_cumulative_x,Jwall_cumulative_y,Jwall_cumulative_z,mDeltaV_x,mDeltaV_y,mDeltaV_z,residual_x,residual_y,residual_z,force_unit,velocity_unit,impulse_unit,gap_source
0.0010274,18.088227393085656,130,441,880,640.0125142197415,,,180.42192077617753,412.4572753904738,-454.9098205565323,-2.4645331942205714e-06,-2.696156170789328e-06,1.3815994291695988e-06,-3.18903927e-06,-4.66288575e-06,4.92307408e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042142613006372e-06,4.124561445944624e-06,-4.5490857337229935e-06,-3.3481041036002206e-14,5.994568211232457e-15,-4.655557267685883e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010275,18.16860318931352,130,441,880,640.0123946296382,0.0,-1.0,180.42185974102122,412.4571838377394,-454.90975952137603,-2.464706209764567e-06,-2.696345446765679e-06,1.3816964204283829e-06,-3.18898938e-06,-4.66292571e-06,4.92309687e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042136509507475e-06,4.12456053041979e-06,-4.549085123373104e-06,-7.846752795323628e-14,-1.7361461186336975e-13,-6.667902398982276e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010276,18.24897534495019,130,441,880,640.0122990081555,,,180.421813964654,412.4571228025831,-454.9096984862198,-2.464879060717562e-06,-2.696534542682357e-06,1.381793319418646e-06,-3.18893955e-06,-4.66296565e-06,4.9231196e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042131931883303e-06,4.1245599200699e-06,-4.549084513023215e-06,2.914576484042001e-14,-4.8025933781865784e-14,-8.681444472536434e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010276999999999,18.32933523056592,130,441,880,640.0121990851657,,,180.42175292949773,412.45706176742686,-454.90963745106353,-2.4650517470797506e-06,-2.6967234585395745e-06,1.381890126140497e-06,-3.18888979e-06,-4.66300555e-06,4.92314229e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042125828384408e-06,4.124559309720011e-06,-4.549083902673326e-06,-1.5816117463762227e-14,7.758563705910363e-14,-1.0696182217798935e-13,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010278,18.40967279421887,130,441,880,640.0120794950675,,,180.42169189434142,412.4569702146925,-454.9095764159073,-2.465224268850634e-06,-2.6969121943367845e-06,1.381986840593656e-06,-3.18884008e-06,-4.66304542e-06,4.92316492e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.804211972488551e-06,4.1245583941951775e-06,-4.549083292323436e-06,-6.076571270801159e-14,-1.019548655841352e-13,-1.2712114279517066e-13,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010279,18.489994673102817,130,441,880,640.0119621822181,,,180.4216461179742,412.4569091795362,-454.9094848631729,-2.465396626030757e-06,-2.697100750074584e-06,1.3820834627784286e-06,-3.18879043e-06,-4.66308527e-06,4.9231875e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042115147261339e-06,4.124557783845287e-06,-4.549082376798603e-06,4.688444020665213e-14,2.37024264012611e-14,1.5788255458456775e-13,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.001028,18.57029971273125,130,441,880,640.0118425921222,0.0,-1.0,180.42158508281793,412.4568176268018,-454.90942382801666,-2.465568818619961e-06,-2.697289125752801e-06,1.382179992694727e-06,-3.18874083e-06,-4.66312508e-06,4.92321003e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042109043762446e-06,4.124556868320454e-06,-4.5490817664487135e-06,1.9593864715000383e-15,-1.5579239660216525e-13,1.3769939507211892e-13,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010280999999999,18.6505933949706,130,441,880,640.0117426691381,,,180.42152404766165,412.45675659164556,-454.9093627928604,-2.46574084661844e-06,-2.697477321371644e-06,1.382276430342658e-06,-3.1886913e-06,-4.66316486e-06,4.92323251e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.804210294026355e-06,4.1245562579705646e-06,-4.549081156098824e-06,-4.295341344976236e-14,-3.008946648157089e-14,1.1750433559379412e-13,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010282,18.730864684259817,130,441,880,640.0116470476609,,,180.4214782712944,412.45669555648925,-454.90930175770416,-2.465912710025697e-06,-2.6976653369305725e-06,1.3823727757219443e-06,-3.18864183e-06,-4.66320461e-06,4.92325494e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042098362639377e-06,4.124555647620675e-06,-4.549080545748935e-06,6.473350365942751e-14,9.563625136640346e-14,9.729739309025228e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0010283,18.81113672693342,130,441,880,640.0115274575701,,,180.42141723613813,412.4566040037549,-454.9092407225479,-2.4660844088422643e-06,-2.697853172430168e-06,1.3824690288328843e-06,-3.18859241e-06,-4.66324434e-06,4.92327732e-06,0.0,0.0,0.0,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,1.8042092259140482e-06,4.124554732095841e-06,-4.5490799353990465e-06,1.9845181931549575e-14,-8.379021014894884e-14,7.707857857292173e-14,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
