time_s,Ktrans_J,Krot_J,Ktotal_J,Wmag_trans_J,Wmag_rot_J,Whydro_trans_J,Whydro_rot_J,Wcontact_net_J,Fwall_norm_N,omega_norm_rad_s,Vcom_norm_mm_s
0.0010065,2.0482187823055145e-06,3.086927912367469e-07,2.3569115735422614e-06,-4.56933828904495e-12,2.2756067025269407e-07,-8.863768603668872e-12,-5.560529214253777e-11,-1.951167273781831e-07,0.0,609.1525739266971,640.0350611854232
0.0010065999999999999,2.0482181427630823e-06,3.085751594370383e-07,2.3567933022001205e-06,-4.784350537151512e-12,2.2744306246823205e-07,-9.3371750022853e-12,-5.5653723574672635e-11,-1.951166540857838e-07,0.0,609.1288985349021,640.0349612621105
0.0010067,2.0482173773445027e-06,3.084576975514499e-07,2.3566750748959527e-06,-4.999381126219014e-12,2.273256380301933e-07,-9.810583634986236e-12,-5.570214449128094e-11,-1.9511672009177446e-07,0.0,609.1052631934684,640.0348416716513
0.0010068,2.048216626503178e-06,3.083404056999216e-07,2.3565570322030994e-06,-5.214430041419569e-12,2.2720839694439228e-07,-1.0283994493755671e-11,-5.575055490880425e-11,-1.9511678482863534e-07,0.0,609.0816694446942,640.0347243587483
0.0010069,2.048215986961109e-06,3.0822328417282563e-07,2.356439271133935e-06,-5.429497272198331e-12,2.2709133922028271e-07,-1.0757407582947476e-11,-5.579895484372087e-11,-1.95116751293435e-07,0.0,609.0581172986209,640.0346244354399
0.0010069999999999999,2.0482152215429576e-06,3.0810638837700457e-07,2.356321609919962e-06,-5.644582800126948e-12,2.2697446485581395e-07,-1.1230822898318114e-11,-5.584734431356389e-11,-1.9511680125262536e-07,0.0,609.0346096736766,640.0345048449846
0.0010071,2.048214609533003e-06,3.079896171450791e-07,2.3562042266780823e-06,-5.85968661245414e-12,2.268577738567873e-07,-1.1704240439881611e-11,-5.5895723334735516e-11,-1.9511675659510402e-07,0.0,609.0111392142109,640.0344092233153
0.0010072,2.0482138441151316e-06,3.0787305269955024e-07,2.356086896814682e-06,-6.074808694575826e-12,2.2674126622908288e-07,-1.217766020488936e-11,-5.5944091923925465e-11,-1.951168419203636e-07,0.0,608.9877320750395,640.0342896328634
0.0010073,2.0482132045735376e-06,3.0775670596403494e-07,2.3559699105375727e-06,-6.289949030038231e-12,2.2662494196294584e-07,-1.265108218817345e-11,-5.599245010030866e-11,-1.9511676701084116e-07,0.0,608.9643897987686,640.0341897095612
0.0010073999999999999,2.0482125650320554e-06,3.0764049233218266e-07,2.355853057364238e-06,-6.505107608287904e-12,2.265088010641669e-07,-1.31245063941774e-11,-5.6040797880291614e-11,-1.9511674235483227e-07,0.0,608.9410643780254,640.0340897862609
