length_mm,B0_mT,gradient_mT,cone_deg,frequency_Hz,mu,zeta,cparallel_scale,kwobble_scale,case_id,family,duration_s,job_name,mesh_size_mm,node_count,element_count,exterior_triangles,mesh_volume_mm3,mesh_mass_mg,cad_volume_mm3,magnetic_moment_Am2,field_interval_s,direct_dt_s,status,wallclock_s,max_directed_tilt_deg,final_directed_tilt_deg,crossing_90deg,polarity_reversal,robot_phase_advance_deg,phase_rate_sign,delta_s_mm,mean_abs_Vt_mm_s,contact_count,longest_contact_us,head_support_fraction,tail_support_fraction,both_end_support_fraction,wall_sector_span_deg,wall_sector_transitions,tilt_local_extrema_count,KErot_RMS_J,KEtrans_RMS_J,KErot_KEtrans_ratio,rotation_translation_index,impact_fraction,sliding_fraction,stuck_fraction
2.3,10.0,6.0,40.0,30.0,0.03,0.5,1.0,1.0,CONE_40,cone,0.006666666666666667,SCR_CONE40_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,326.7379549,42.374026964864875,40.39148125419527,False,False,-62.26158431715636,-1,1.8854930664400076,282.58366179552183,108,370.2028188854456,0.6656716417910448,0.7492537313432835,0.6597014925373135,212.11304625945118,14,10,3.4871566531163985e-07,6.469431766818527e-07,0.5390205475234926,33.02138068039265,0.07307853842923141,0.23494030119397613,0.0
2.3,10.0,6.0,50.0,30.0,0.03,0.5,1.0,1.0,CONE_50,cone,0.006666666666666667,SCR_CONE50_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,343.2729469,41.29297187081897,39.08462032720761,False,False,-69.52805623452846,-1,1.7020646663801156,254.30905383772995,82,350.5026688799262,0.5611940298507463,0.7432835820895523,0.5522388059701493,359.09855719446017,11,11,3.084638691237674e-07,5.37270078247197e-07,0.5741318595856062,40.84924480713063,0.016829663406731865,0.2783944321113578,0.0
2.3,6.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,B_6,B,0.006666666666666667,SCR_B6_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,344.7061614,41.118591083488965,39.72167425711359,False,False,-48.99635096779015,-1,1.334268401191018,200.96882036165437,97,351.1026734486222,0.5552238805970149,0.7492537313432835,0.5432835820895522,358.2287205494549,20,6,2.5204251194029024e-07,5.054446410255656e-07,0.4986550286276392,36.72151039779865,0.04235915281694366,0.2642047159056819,0.0
2.3,14.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,B_14,B,0.006666666666666667,SCR_B14_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,331.3904889,41.02635809780378,40.23791815845474,False,False,-59.74428969492033,-1,2.315555588202413,348.3102900958318,103,608.904636465013,0.7522388059701492,0.808955223880597,0.746268656716418,716.9530895465157,32,10,4.3999370943376564e-07,1.0358549085855636e-06,0.42476384075310997,25.80127637587849,0.06095878082438351,0.41913661726765467,0.0
2.3,10.0,6.0,30.0,20.0,0.03,0.5,1.0,1.0,FREQ_20,frequency,0.01,SCR_FREQ20_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,479.3891779,41.10156602712532,40.71748103970311,False,False,-59.613721908590634,-1,3.0008908694928618,300.07028910935753,145,686.2052250653505,0.7644710578842315,0.8502994011976048,0.7584830339321357,387.79720850943096,41,14,2.914532699897213e-07,6.908713084808417e-07,0.42186332883123845,19.865341493962795,0.01696983030169698,0.5571244287557124,0.0
2.3,10.0,6.0,30.0,40.0,0.03,0.5,1.0,1.0,FREQ_40,frequency,0.005,SCR_FREQ40_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,250.6171829,41.15340392675192,39.32656850493481,False,False,-51.465074599875,-1,1.188433220177,238.9308385260587,57,244.10185869783163,0.601593625498008,0.7290836653386454,0.5896414342629482,331.18309526056794,17,6,4.063673179630987e-07,7.286669700669104e-07,0.5576859315110492,43.304978122548626,0.027639447211055778,0.34367312653746923,0.0
2.3,10.0,6.0,30.0,30.0,0.0,0.5,1.0,1.0,MU_000,friction,0.006666666666666667,SCR_MU000_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,330.9279965,41.36588212593695,39.54891194315979,False,False,-44.02218323269163,-1,2.3577860100660786,354.41445527949895,84,619.6047179400921,0.6925373134328359,0.7880597014925373,0.6835820895522388,538.224655812541,19,12,3.5421556725091283e-07,1.2080676412688046e-06,0.2932083892909247,18.670983305842025,0.0373042539149217,0.3605027899442011,0.0
2.3,10.0,6.0,30.0,30.0,0.08,0.5,1.0,1.0,MU_080,friction,0.006666666666666667,SCR_MU080_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,325.729888,41.200362915509686,40.460161443556025,False,False,-61.59216368985143,-1,1.257073076255141,189.18874182726069,64,871.1066329851747,0.6686567164179105,0.7731343283582089,0.6626865671641791,182.37691769590927,9,8,3.4609627158632016e-07,4.862235347353451e-07,0.7118048528331784,48.99648624512456,0.01852462950740985,0.5405741885162296,0.0
2.3,10.0,6.0,30.0,30.0,0.15,0.5,1.0,1.0,MU_150,friction,0.006666666666666667,SCR_MU150_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,329.3376203,42.225564526259475,41.10024062649923,False,False,-60.91184550005461,-1,0.4852850828238253,74.04075639273863,40,1145.5087224021554,0.6865671641791045,0.7671641791044777,0.6776119402985075,538.741584741955,22,4,3.5125735341815027e-07,3.354064529458205e-07,1.047258782092932,125.51765478884016,0.03391432171356573,0.22213055738885223,0.3497030059398812
2.3,10.0,6.0,30.0,30.0,0.03,0.15,1.0,1.0,ZETA_015,collision_damping,0.006666666666666667,SCR_ZETA015_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,330.997902,40.47464552483927,37.41304868614352,False,False,-48.88655814083627,-1,2.107452129150401,315.9745446003957,28,7.900060154497623,0.08059701492537313,0.582089552238806,0.0626865671641791,512.6863567283758,16,19,5.237464495893952e-07,1.0406243025260285e-06,0.5033002288319084,23.196995777334415,0.007829843403131937,0.0,0.0
