phase_rel_rad,cycle2_a1,cycle2_a2,cycle3_a1,cycle3_a2,difference
1.7022079040034634,0.5269031155707158,-0.1977185669362298,0.4799868260518679,-0.18495030710412713,0.04862269718306919
1.7261826632147799,0.5373234480018437,-0.21521794066230165,0.4657591676876896,-0.1686977867018893,0.08535555600769815
1.7501574224260963,0.5469607539617996,-0.23145406806481145,0.4516823913348232,-0.15237284597783646,0.12382167044442208
1.7741321816374125,0.555758220231094,-0.24601104485477351,0.43807546215642557,-0.13608377423410278,0.16103799667833402
1.798106940848729,0.5637331208613114,-0.25855940170274533,0.42523450802739293,-0.11991862885647192,0.19596716473004258
1.8220817000600453,0.5709125730493719,-0.26875363855552853,0.4134494527491855,-0.10396502833857418,0.2279252515889942
1.8460564592713617,0.5773510111936252,-0.2763454794566231,0.4029966586238968,-0.08830284652211998,0.25643609742185175
1.8700312184826782,0.5830846596607184,-0.28111813819035153,0.39411047466444654,-0.07299217265889417,0.2811185872961917
1.8940059776939946,0.5881370175126834,-0.2828710598343343,0.3870002806558429,-0.05811104321916647,0.30161739336826787
1.917980736905311,0.5925155362738525,-0.2814234469240255,0.3818179560892378,-0.04370166516285415,0.31765565604811463
1.9419554961166272,0.5962117729114627,-0.2766154409151681,0.3786749818836881,-0.029818237104459928,0.328984977254959
1.9659302553279436,0.5992117518739056,-0.26832447417844313,0.3776228251105449,-0.01646334020605567,0.3354633858858444
1.98990501453926,0.6014805319629857,-0.2564804022911226,0.3786807784692053,-0.0036391226860747637,0.3369991733360889
2.0138797737505763,0.6029603311465489,-0.24107393378064865,0.38178615412962263,0.008666546915576707,0.33359904717714095
2.0378545329618927,0.6035535500940057,-0.2221142323495061,0.3869523541876263,0.020322139902142957,0.3251022495440687
2.061829292173209,0.6031652857494711,-0.19966589391660208,0.3940934306945655,0.031392109054498935,0.31160686981049185
2.0858040513845255,0.601710086072676,-0.17388744644301385,0.403131860668982,0.04187353563015063,0.2932338878602824
2.109778810595842,0.5991712593604904,-0.14495543933433266,0.4138190703102596,0.05173087020466417,0.27026087091138923
2.1337535698071584,0.5953899522448076,-0.11316980280623867,0.42589476093063783,0.061010644704213184,0.24303795624051872
2.1577283290184748,0.5902662540682823,-0.07877509446043672,0.4390062852771856,0.06972473761285702,0.21197117323938172
2.181703088229791,0.583814816129585,-0.04224168969270561,0.4530642860807234,0.0779265768928605,0.17758410233531022
2.2056778474411076,0.5759474367816677,-0.003643412843345864,0.4678069992205389,0.08570619341762387,0.1402772482439783
2.229652606652424,0.5668608004023753,0.0362875583906422,0.4829355846614615,0.09311839696369228,0.10135672671349938
2.2536273658637405,0.5564618845563593,0.07708913952173632,0.49818341788712167,0.10020944787728722,0.06269711584892237
2.277602125075057,0.5449078112239466,0.11829120160198384,0.5132691866596616,0.10706094256630336,0.03357262697985164
2.301576884286373,0.5322881188482862,0.15973998645366125,0.5278870820191361,0.11373225720030854,0.046217748497967115
2.3255516434976893,0.518852439715223,0.20027424135750566,0.5417305754465583,0.12029729415138944,0.08318486147702178
2.3495264027090057,0.5049797099842029,0.23961379524478216,0.5545467894365269,0.12687443590813519,0.12315461221192897
2.373501161920322,0.4908370061514662,0.277216309197447,0.5661399617406249,0.1335551993549179,0.16220064611970575
2.3974759211316385,0.4768107752968538,0.31268499932876465,0.5763104010674498,0.14041838533231255,0.19893708006877772
2.421450680342955,0.4630193573541628,0.345716682293451,0.5848540619612334,0.14759390629850383,0.23258617674882606
