event,start_s,end_s,duration_us,peak_force_N,contact_impulse_Ns,bridge_fraction,restitution_status
97,0.007887084037065506,0.007889283820986748,2.3026950657367706,0.018065959282831084,5.6478622141052636e-09,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
98,0.007895884104073048,0.00866888277232647,774.0058936178684,0.06273670982101164,3.4329680449748904e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
99,0.008693482726812363,0.008694982156157494,1.601874828338623,0.047977746747084604,4.3203283654137526e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
100,0.008709382265806198,0.008714482188224792,5.206093192100525,0.06197054769746249,2.501997042269434e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
101,0.008731182664632797,0.008733781985938549,2.7031637728214264,0.03401480921968441,9.860527652161432e-09,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
102,0.008740382269024849,0.008832582272589207,92.40815415978432,0.06334389673116744,1.1467173838322993e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
103,0.0088571822270751,0.008858482353389263,1.4016404747962952,0.05113508859715391,4.050477324694019e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
104,0.00887278188019991,0.008874082006514072,1.4016404747962952,0.029299794858870423,2.321210861858898e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
105,0.008881881833076477,0.008884882554411888,3.103632479906082,0.06173932117836003,4.201604403181293e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
106,0.008901182562112808,0.008906882256269455,5.8067962527275085,0.03541846465445015,8.382909581463341e-09,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
107,0.008913482539355755,0.009333581663668156,420.6923767924309,0.06200923283266616,1.9552843011873017e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
108,0.009360481053590775,0.00936198141425848,1.601874828338623,0.051637010791505324,4.5168065907177794e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
109,0.00937758106738329,0.009379780851304531,2.3026950657367706,0.03560467880998525,3.599544733994891e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
110,0.009394681081175804,0.00939618144184351,1.601874828338623,0.02874929970764331,2.6228041308594635e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
111,0.009403080679476261,0.009583980776369572,181.21208995580673,0.11273475362232127,1.746135782273427e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
112,0.00962998066097498,0.009631380438804626,1.501757651567459,0.08713933752730785,6.890849301368399e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
113,0.009655280970036983,0.00965668074786663,1.501757651567459,0.04448935584469238,3.560214056696943e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
114,0.009667380712926388,0.009668880142271519,1.601874828338623,0.11863320899735558,1.058635807903476e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
115,0.009686180390417576,0.009687580168247223,1.501757651567459,0.03493644080439755,2.840990794605416e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
116,0.009697080589830875,0.009713680483400822,16.719568520784378,0.04223257878457406,2.5453659327704333e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
117,0.009726080112159252,0.009727480821311474,1.501757651567459,0.02696353046856177,2.1108691040235694e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
118,0.009734280407428741,0.009738480672240257,4.305038601160049,0.033450909722034586,1.8937559959330463e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
119,0.00974568072706461,0.009844380430877209,98.91577064990997,0.05442297210044605,7.034642898257731e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
120,0.009865780360996723,0.009867279790341854,1.601874828338623,0.04416703575992965,3.923229856056526e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
121,0.009879980236291885,0.009881880134344101,2.002343535423279,0.028138344055230514,3.4625410327602287e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
122,0.009891579858958721,0.00989317987114191,1.701992005109787,0.020104725707884106,1.8901463410485468e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
123,0.009898380376398563,0.010090279392898083,192.22497940063477,0.1513786069637769,2.4143491077458747e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
124,0.01014947984367609,0.010150779969990253,1.4016404747962952,0.12450457118403663,9.425423591577557e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
125,0.010184279642999172,0.010185579769313335,1.4016404747962952,0.0699031057394686,5.3085532752926726e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
126,0.010204079560935497,0.010208179242908955,4.2049214243888855,0.15158684073596498,1.0392777473165663e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
127,0.010246179066598415,0.010247479192912579,1.4016404747962952,0.0832676367229553,6.196530156522422e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
128,0.010256179608404636,0.010257679037749767,1.601874828338623,0.06285022399986338,5.607704781678335e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
129,0.010276179760694504,0.010281478986144066,5.406327545642853,0.04272348539575125,9.001536990262198e-09,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
130,0.010292178951203823,0.010599078610539436,307.3597326874733,0.11813438534136142,2.6561381481335034e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
131,0.010638078674674034,0.010639478452503681,1.501757651567459,0.08044835421651726,6.273572351668581e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
132,0.010659478604793549,0.010660878382623196,1.501757651567459,0.040897428125376015,3.235292835147989e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
