time_s,Tmag_t_Nmm,Tmag_e1_Nmm,Tmag_e2_Nmm,Tmag_norm_Nmm,Thydro_t_Nmm,Thydro_e1_Nmm,Thydro_e2_Nmm,Thydro_norm_Nmm,Tcontact_inferred_t_Nmm,Tcontact_inferred_e1_Nmm,Tcontact_inferred_e2_Nmm,Tcontact_inferred_norm_Nmm,omega_spin_rad_s,omega_wobble_rad_s,HEAD_gap_um,TAIL_gap_um,contact_active,opposing_bridge
0.021379956975579262,5.548790607299486e-05,-0.002475887013782879,-0.0014767454455576411,0.0028833786646422807,-5.657133334219341e-08,-7.809892537040274e-08,1.572268229669786e-07,1.8444519988445056e-07,-5.543120590856651e-05,0.002475960557326256,0.0014765852487875466,0.0028833586833692413,9.492787143603394,61.40025221868317,-3.667038725591846,-2.758788817072557,0,1
0.021389957517385483,5.482718575533981e-05,-0.0024742824964595254,-0.0014807580428378053,0.0028840465103761206,-5.6196615115528183e-08,-1.0706824742774031e-07,1.3171885560110876e-07,1.7880583345784992e-07,-5.477088155394282e-05,0.0024743859780250706,0.0014806239552957255,0.002884065379756298,11.951639962521966,59.46865129420207,-3.6001392981750624,-2.7182292012230014,0,1
0.021399956196546555,5.4212054293224554e-05,-0.0024727133292794783,-0.0014848820589754821,0.0028848093324679814,-5.642441190625911e-08,-9.029468815330612e-08,1.4181697837998624e-07,1.7733837803616978e-07,-5.415586585118962e-05,0.002472806496939766,0.001484741122839236,0.0028848155973932757,11.641110683971945,58.98529465189983,-3.469218849843902,-2.691825219443917,0,1
0.021409956738352776,5.3574614419492646e-05,-0.0024710709204936775,-0.0014889250798509252,0.002885473899869613,-5.4756522037306784e-08,-9.169410711183485e-08,1.4407719639149135e-07,1.7934415101890293e-07,-5.3519985253992724e-05,0.002471163427910578,0.0014887809596864582,0.002885477745918217,9.353015890809626,59.7000331271426,-3.377125486621547,-2.6569505815550514,1,1
0.021419957280158997,5.2905798883521885e-05,-0.0024692465255473904,-0.001492806145170754,0.0028859049905606607,-5.3507020641910364e-08,-8.85770548164444e-08,1.4826729416152566e-07,1.8080953076624472e-07,-5.285233444554877e-05,0.002469334362395436,0.0014926571299756217,0.00288590208950863,7.51405325865586,60.21777646318926,-3.3248712730316194,-2.6177467797853473,1,1
0.021429957821965218,5.223557475623729e-05,-0.002467443782517652,-0.0014966984900444342,0.0028863668764133954,-5.288422924132504e-08,-1.0576988038744583e-07,1.3397615511136206e-07,1.7869980256857407e-07,-5.218292781635774e-05,0.0024675547249876487,0.0014965693230228993,0.002886393791113329,8.329279232688108,59.50186042423964,-3.2921577918180542,-2.574469234709102,0,1
0.02143995650112629,5.160155834150923e-05,-0.0024657014168380027,-0.0015006978556737294,0.0028869430634918896,-5.3093893053638965e-08,-8.904461121648528e-08,1.4418124028351795e-07,1.7758416121934917e-07,-5.1548625876969766e-05,0.0024657921677717293,0.0015005540099707415,0.0028869448578581268,8.017809842268061,59.13435647490761,-3.185055211500768,-2.5384992457092714,0,1
0.02144995704293251,5.0951381526476726e-05,-0.0024638678581061536,-0.0015046164731179433,0.002887405686194086,-5.1282340502366504e-08,-9.196272678451732e-08,1.4586922817888153e-07,1.7990234377168917e-07,-5.090015087918739e-05,0.002463958894488536,0.0015044694454360585,0.0028874058549742143,5.552802162521687,59.938875979053236,-3.1189742733144588,-2.503074256386253,0,1
0.02145995758473873,5.03077264316145e-05,-0.0024620597860354277,-0.0015085646662656978,0.0028879121540754784,-5.1289347865338214e-08,-9.286785829788239e-08,1.428137400888102e-07,1.7790671900589217e-07,-5.025645756187375e-05,0.002462151658082627,0.0015084209475244368,0.002887914516369246,6.166152574108054,59.26660970176704,-3.0466196450904577,-2.462723738412386,0,1
0.021469956263899803,4.966283984247251e-05,-0.00246023091584128,-0.0015124992630256428,0.0028884003492548526,-5.030124386853128e-08,-9.603030320996073e-08,1.415175747975205e-07,1.7826737852419959e-07,-4.961259110486675e-05,0.0024603272839650576,0.001512358435765171,0.0028884078298690944,5.1542824071426665,59.39761650545105,-2.976664167562123,-2.426844064228982,0,1
0.021479956805706024,4.901745222292594e-05,-0.0024583825346612925,-0.0015164247794700093,0.002888873744063727,-4.960132820644319e-08,-9.391836860402791e-08,1.4359925516570877e-07,1.7861046387384945e-07,-4.896790008531797e-05,0.002458476256555434,0.0015162809945785177,0.002888877189117877,4.235117310422989,59.5200821260248,-2.901336075947044,-2.3905256528071943,1,1
0.021489957347512245,4.8371915231566114e-05,-0.002456519352797476,-0.0015203433331475893,0.0028893374713760975,-4.8963032751552895e-08,-9.398265133054633e-08,1.437059814452275e-07,1.7855398743933095e-07,-4.832300467015472e-05,0.0024566133246162604,0.0015201995833404203,0.002889340913192989,3.5864361489178513,59.50598840661565,-2.82667004503301,-2.353174701844206,1,1
0.021499956026673317,4.772439854035106e-05,-0.002454635269122064,-0.001524246460254053,0.00288978185928125,-4.831372804903247e-08,-9.393355915458027e-08,1.4402610814751755e-07,1.7860920939739728e-07,-4.7676135285881505e-05,0.0024547291877806084,0.001524102388662956,0.002889784851913023,2.8908447041365974,59.52860442067594,-2.753215332111022,-2.3159592968878173,1,1
