time_s,RM_t_Nmm,RM_e1_Nmm,RM_e2_Nmm,RM_norm_Nmm,Tmag_baseline_t_Nmm,Tmag_baseline_e1_Nmm,Tmag_baseline_e2_Nmm,Tmag_baseline_norm_Nmm,required_transverse_Nmm,available_transverse_Nmm,omega_spin_rad_s,omega_wobble_rad_s,tilt_deg,HEAD_gap_um,TAIL_gap_um,contact_active,opposing_bridge,com_x_mm,com_y_mm,com_z_mm,axis_x,axis_y,axis_z
0.013330000452697277,266.1496723032921,-4047.095003469932,6232.200150963654,7435.733476722375,6.449304788973675e-05,-0.0016669014961952708,0.0024603239367403046,0.0029725265053387583,7430.968758431344,0.0029718267903286934,-38.13290248073605,90.50746867128126,24.488461274271877,-129.51054949331842,-165.78940830748678,1,1,-7.367900520616817,-3.6804348732464645,-9.541450114248308,0.803325960045393,-0.040165504568291724,0.5941835862424358
0.013340000063180923,260.67794908730576,-4053.4312817683694,6222.455054447706,7430.828019391953,6.276847371145131e-05,-0.0016691437389559193,0.0024589855042633797,0.0029726403100215873,7426.254241583719,0.002971977545586974,-38.1329019757608,90.50746888403907,24.487021959139536,-129.50792944180967,-165.7831081583788,1,1,-7.367894463294792,-3.6803019809656474,-9.541451038120302,0.8032790271570799,-0.04106935118926766,0.5941852513505094
0.01334999967366457,255.45597533849002,-4060.166424525443,6212.841332823512,7426.278110670248,6.1030807935320314e-05,-0.0016713500889656643,0.002457631483979482,0.002972724069006399,7421.883104824809,0.0029720975136984865,-38.13290407978101,90.5074679975664,24.485707017841722,-129.5084937763764,-165.77542442754967,1,1,-7.367887876981544,-3.6801575577472034,-9.54145417015812,0.8032312136490865,-0.04197316614343981,0.5941867305348639
0.01336000021547079,250.21302010435176,-4067.5407946965242,6203.905698361078,7422.663981759326,5.927962569878901e-05,-0.00167352016005555,0.0024562619935092826,0.0029727776204912363,7418.445526569397,0.002972186519529107,-38.13290356389636,90.50746821492059,24.48451319656993,-129.5124600324622,-165.76595564327258,1,1,-7.367881067150878,-3.68002149082056,-9.541459540164086,0.8031825550903422,-0.04287692675069224,0.5941879772857788
0.013369999825954437,245.883182668613,-4076.0582773582582,6194.566570429278,7419.391121609639,5.751499415467703e-05,-0.001675652960956571,0.002454877528382946,0.002972800783684419,7415.3156423648425,0.0029722443582118354,-38.132902896818514,90.50746849597603,24.48344204770007,-129.5145492462838,-165.75970279909848,1,1,-7.367877245003032,-3.67995483792654,-9.541461705489072,0.8031330341851575,-0.043780652727082564,0.594189013570037
0.013380000367760658,241.72121298156642,-4085.0857053444433,6185.28978247156,7416.47922251265,5.573633021802814e-05,-0.0016777483079472718,0.002453478068365888,0.0029727933926323425,7412.5390328251615,0.00297227085185256,-38.132902253817264,90.50746876688741,24.48249372844497,-129.52028519190827,-165.75145393015023,1,1,-7.367873564416217,-3.679893051425803,-9.541466648949298,0.8030826512473945,-0.04468431736795912,0.5941898409151872
0.013389999978244305,237.55061894719526,-4094.107846382487,6176.013608565724,7413.5884325717625,5.394371285983381e-05,-0.0016798052286870551,0.0024520641058518975,0.0029727552724179524,7409.781585917338,0.0029722657999465044,-38.13290145681245,90.50746910268408,24.481668112955717,-129.52684088979194,-165.74403965238739,1,1,-7.367870032841014,-3.6798344153565052,-9.541471516972395,0.8030314060583428,-0.04558794564570194,0.5941904577622951
0.013399999588727951,233.37761818241734,-4103.123501564022,6166.730171146574,7410.711746214729,5.213672927680534e-05,-0.0016818233433619429,0.0024506357394503526,0.0029726862471993578,7407.036078811582,0.0029722290096404953,-38.13290344372025,90.5074682655536,24.480967094919176,-129.53422580829778,-165.7375090238301,1,1,-7.367866575771617,-3.6797780237746123,-9.541476295588526,0.8029792807457858,-0.046491512048530886,0.5941908902031586
0.013410000130534172,229.12128028564305,-4110.617703633072,6155.257233486883,7405.191832551939,5.031496485572719e-05,-0.0016838022602914072,0.0024491930577093036,0.0029725861268232972,7401.646405754211,0.0029721602725448536,-38.01277191097773,90.53870902592509,24.47933360801074,-129.52719807361314,-165.71653096787696,1,1,-7.367863044196414,-3.6797195418392006,-9.541480230426403,0.8029372102436377,-0.04739579987808393,0.5941762992244652
0.013419999741017818,224.87406956249146,-4118.380903619646,6144.368708556271,7400.330833222662,4.8478517362513906e-05,-0.0016857410370121604,0.002447736547325967,0.0029724547457661565,7396.9134166883705,0.002972059395264852,-38.01277099954093,90.53870940859278,24.47782292189313,-129.5196223607189,-165.69779910563776,1,1,-7.3678597882926935,-3.679656762548599,-9.54148278318158,0.8028942763232773,-0.04830005043176931,0.59416149839552
