t_s,freq_Hz,phase_rad,B_mT,robot_arc_mm,driver_arc_mm,delta_s_mm,robot_arc_velocity_mm_s,rp_speed_mm_s,ur1,ur2,ur3,theta_norm_rad,Ft_mN,torque_mag_Nmm
0.013051443653118,16.420013196478287,4.857620919309941,10.0,13.999960625932426,18.978269287918707,4.978308661986281,7.450580596923828e-09,329.77107986136923,-0.3749639083738064,-1.177681773928455,-0.9587748105925769,1.5642191120981308,-0.00561033598216208,0.0008557976097709646
0.0130543427567459,16.422549912152746,4.85792004289357,10.0,13.999960625932426,18.978286682540475,4.978326056608049,-7.450580596923828e-09,329.73081039957253,-0.3747823377882568,-1.1793375429211923,-0.9595765104625342,1.5659137652798383,-0.005617148154712113,0.0008771038165609942
0.0130572418558375,16.42508662385784,4.858219212216842,10.0,13.999960625932426,18.978304077135025,4.9783434512025995,-7.450580596923828e-09,329.69167750339994,-0.3746008796027568,-1.180992409061001,-0.9603772553495932,1.5676075280030022,-0.005623936110297335,0.000898392444889065
0.0130601409341446,16.427623317376536,4.858518425602456,10.0,13.999960625932426,18.978321471604865,4.978360845672439,-7.450580596923828e-09,329.6497444270223,-0.3744195186536184,-1.1826463477380265,-0.9611770580702916,1.5693003844795175,-0.005630699935278621,0.0009196632695004307
0.0130630400462398,16.43016004045991,4.858817688683157,10.0,13.999960625932426,18.97833886627744,4.978378240345014,7.450580596923828e-09,329.6100693552337,-0.3742382556847116,-1.184299367180316,-0.961975922183656,1.5709923417963334,-0.0056374396722744516,0.0009409163118447879
0.0130659391381421,16.43269674587435,4.859116995887011,10.0,13.999960625932426,18.97835626082885,4.978395634896424,7.450580596923828e-09,329.56938392147225,-0.3740571250329923,-1.185951399689532,-0.9627737818144328,1.5726833152808521,-0.005644154824553844,0.0009621503896239502
0.0130688382367579,16.43523345716323,4.8594163499915926,9.999999999999899,13.999960625932426,18.978373655420548,4.978413029488122,-7.450580596923828e-09,329.52716626610385,-0.3738760997417024,-1.1876024500801723,-0.9635706750933244,1.574373323990946,-0.005650845679426147,0.0009833657394059643
0.0130717373552925,16.437770185880968,4.85971575236106,10.0,13.999960625932426,18.978391050131755,4.978430424199329,-7.450580596923828e-09,329.4875396160938,-0.3736951968704401,-1.189252496988242,-0.9643665745034372,1.5760623375286587,-0.0056575120434036305,0.001004561890063166
0.0130746364397579,16.44030688478819,4.860015197419554,9.999999999999899,13.999960625932426,18.978408444638543,4.978447818706117,-1.4901161193847656e-08,329.4440876615626,-0.3735144178171789,-1.190901487933657,-0.9651614619666,1.5777503040549252,-0.005664153772108626,0.0010257381445936558
0.0130775355534038,16.442843609228362,4.860314691699989,10.0,13.999960625932426,18.978425839320423,4.978465213387997,7.450580596923828e-09,329.4036075708987,-0.3733337598025475,-1.1925494360133924,-0.9659553473847884,1.579437237336588,-0.005670770960088056,0.0010468946238340567
