node,x_mm,y_mm,z_mm
106,-7.908223565591057,-3.276996178778756,-9.894255492682086
107,-7.916945649804906,-3.247352424559461,-9.843418770667427
108,-7.927468280324055,-3.2254636691574805,-9.78911078139545
109,-7.939567189521879,-3.211796476928891,-9.732489011083182
110,-8.389221751848504,-3.504719791413753,-9.775806487431048
111,-8.369673789254012,-3.4497276962847945,-9.771887228578784
112,-8.342800858433634,-3.398089209337086,-9.766149081761352
113,-8.309138671809002,-3.350833760873005,-9.75870643681794
114,-8.269358286304934,-3.3089033626706175,-9.749707663547824
115,-8.224252731286892,-3.273133940346818,-9.73933215364891
116,-8.174721193987452,-3.244238539218121,-9.727786745107233
117,-8.121751081303588,-3.2227932012998295,-9.715301594425064
118,-8.066398374026138,-3.209225424646215,-9.702125598514654
119,-8.009766513373176,-3.2038057159160434,-9.688521416746926
120,-6.757062673708364,-3.9562810344143764,-9.066257732219057
121,-6.751646809379149,-4.035601424597566,-9.128658308702095
122,-6.7379854051392645,-4.091460632903354,-9.213056398989865
123,-6.718899009684627,-4.121423997338712,-9.30663249952317
124,-6.706142202395261,-4.128382586858359,-9.362561109470114
125,-6.682389325364683,-4.115276134537067,-9.45350578906457
126,-6.575443605598984,-3.717284827609915,-9.69138745317383
127,-6.654577624097467,-3.4456009497511793,-9.228771898126721
128,-6.681760733385287,-3.493754457464006,-9.141476179736944
129,-6.7064909438055675,-3.5635971360062237,-9.075236183516692
130,-6.571474437601706,-3.6183477213451543,-9.657611589622306
131,-6.5751055166173655,-3.5343026325586018,-9.600151459243511
132,-6.5869241489632815,-3.4718533751276053,-9.519987796150573
133,-6.605274823419075,-3.4339358197380117,-9.425407727216085
134,-6.628365054256855,-3.4241594912109248,-9.32560208501739
135,-6.640606342557721,-3.4222526216087457,-9.274348438483424
136,-6.668314955678833,-3.459585565784371,-9.179416571116201
137,-6.695527076100591,-3.5198588764011713,-9.098136670646038
138,-6.719452020873996,-3.6142877207333606,-9.047650207871984
139,-6.744171075470747,-3.7329348619243783,-9.006160675553842
140,-6.751636428827978,-3.8044132450244206,-9.011674369510773
141,-6.757207562735898,-3.9016969440112472,-9.03803225363543
142,-6.75777150174873,-4.004043948619947,-9.087523204881077
143,-6.747738640494472,-4.073844457793412,-9.16407192347875
144,-6.73038251633783,-4.117983334151016,-9.25771549277081
145,-6.6952985226407895,-4.1345880127173515,-9.41024915786121
146,-6.616088571341233,-3.9655446613588463,-9.650082193020184
147,-6.590432400667894,-3.839092158040158,-9.691470443985867
148,-6.578504445024423,-3.771520095043142,-9.706266916337984
149,-6.570424418513149,-3.6639413770457616,-9.685004505945395
150,-6.56988724475339,-3.568737904532026,-9.63901962942279
151,-6.577993368643744,-3.493479103265772,-9.567623167427879
152,-6.593713433221403,-3.441587941996961,-9.476776511780962
153,-6.615148633077855,-3.416675967553438,-9.376108290122996
154,-6.691580602051751,-4.080628077409646,-9.398208419753574
