time_s,s_COM_mm,Vt_direct_mm_s,Vt_from_s_mm_s,projection_residual_mm
0.0038000000640749,13.036148197662346,-379.7608873378693,-379.76104930801375,0.27868473147968964
0.0038501000963151,13.017122639448957,-379.7408371811194,-379.741335596249,0.25928807511890695
0.0039001000113785,12.99813610796362,-379.72073977935264,-379.7212441987358,0.24032904635635105
0.0039500999264419,12.979150579533547,-379.70061124630615,-379.6998400891025,0.22187022069274964
0.0040000001899898,12.960204023855516,-379.68050703623703,-391.2007190289587,0.20408177479813752
0.0040500001050531,12.940067261116434,-461.72577320722553,-432.19643431507575,0.19237554315921496
0.0041001001372933,12.916935278646632,-461.70839503044766,-461.7090790514194,0.19482109918416077
0.0041499999351799,12.893896428909244,-461.69028381923306,-461.6913457942719,0.19764718413178317
0.0042000999674201,12.870766226878004,-461.6713084071535,-461.67137082603585,0.20085991945088755
0.0042500998824834,12.847683147215449,-461.6516738880659,-461.6500973779912,0.20442349972743137
0.0043000001460313,12.82464729724904,-461.63127955723576,-461.62950005916355,0.20831752281140994
0.0043501001782715,12.801520064004503,-461.6102202225484,-461.6111192085373,0.21254771251519253
0.0044001000933349,12.778440046540013,-461.5886566377793,-461.58992471722013,0.2170709553007952
0.0044499998912215,12.755407360782517,-461.5666875710043,-461.56730852463807,0.2218670429219189
0.0045000999234616,12.732283398682023,-461.54411947928605,-473.81190615845844,0.2269475924696739
0.0045500001870095,12.708030917015654,-490.4842299385007,-488.2453393346368,0.2388153054060532
0.0046000001020729,12.683507157939026,-490.4653417246777,-490.46601087687304,0.2522706989828896
0.0046501001343131,12.65893529717779,-490.4455764758634,-490.44634718084126,0.26607674574980994
0.0046999999321997,12.634462602681898,-490.42508198000854,-490.42573746773996,0.2801023782765475
0.004749999847263,12.609941908987993,-490.40390685821006,-490.4037724607042,0.2943917874442295
0.0048000998795032,12.585373213092797,-490.38212677065354,-490.38093872653553,0.3089136247635182
0.0048500001430511,12.560903665330516,-490.3600626515055,-486.29002386656066,0.3235531395646216
0.0049000000581145,12.536793566637376,-479.63406565595864,-480.91055987954314,0.33522564011803263
0.0049501000903546,12.51276480263739,-479.60131024556495,-479.60171184958017,0.3470914054394337
0.0049999998882412,12.48883347131763,-479.56834595391825,-480.584326705648,0.3600499688310864
0.0050500999204814,12.464706051702889,-482.4741511101597,-482.0230162428634,0.3735224055924607
0.0051000998355448,12.440583080428476,-482.44348274727406,-482.4426670261746,0.38710018558073883
0.0051500000990927,12.416509939597399,-482.4126538654235,-482.4111446985189,0.4008983271289442
0.0052001001313328,12.39234182886364,-482.381781319129,-482.3818326322653,0.4149756230958451
0.0052501000463962,12.368223540514865,-482.3511086353972,-476.8659181375406,0.42922648138609115
