time_s,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Jhydro_norm_Nmm_s
0.0059500997886061,9.81443823317692e-08,-5.234909068085714e-05,-1.5817843233043918e-05,5.46867542644244e-05,3.805033073235456e-09
0.006000000052154,1.4283911477940225e-08,-5.283981826326495e-05,-1.5843647918910144e-05,5.516400798984227e-05,3.796505943513773e-09
0.0060501000843942,-6.931246131869855e-08,-5.3333424743850625e-05,-1.5867402971796186e-05,5.564380896555014e-05,3.79240157498613e-09
0.0061000999994575,-1.519472820108307e-07,-5.3825798038095425e-05,-1.5888907820803354e-05,5.612216152423509e-05,3.7928624744141535e-09
0.0061499997973442,-2.3377092812776098e-07,-5.431617521122549e-05,-1.5908186096275733e-05,5.6598338520641446e-05,3.793587312007621e-09
0.0062000998295843,-3.1679625319953083e-07,-5.480842602916597e-05,-1.5925558622681415e-05,5.707615387449527e-05,3.782353632943324e-09
0.006250100210309,-4.020354610844703e-07,-5.530053604785617e-05,-1.594112514281664e-05,5.75537174343339e-05,3.763574246315836e-09
0.0063000000081956,-4.895991897587041e-07,-5.579174824509757e-05,-1.595491808042355e-05,5.8030322164916386e-05,3.749501229425944e-09
0.0063501000404357,-5.798128043566828e-07,-5.6283865620789725e-05,-1.596700362249691e-05,5.8507733820308244e-05,3.740172411207013e-09
0.0064000999554991,-6.719331978514615e-07,-5.677276791702996e-05,-1.597730707982634e-05,5.898197192961922e-05,3.7358474482600765e-09
0.006450000219047,-7.65736119408069e-07,-5.725727882666121e-05,-1.598585649177442e-05,5.945191282216409e-05,3.736762410460438e-09
0.0065000997856259,-8.612789022901775e-07,-5.774009530195746e-05,-1.5992675729854835e-05,5.99201642506673e-05,3.725765806566077e-09
0.0065501001663506,-9.567984899018836e-07,-5.8220585083671936e-05,-1.59975625998216e-05,6.038604143318696e-05,3.7024412362749555e-09
0.0065999999642372,-1.0512067834612663e-06,-5.870059554722491e-05,-1.6000370983090628e-05,6.085126806318012e-05,3.6841240309549977e-09
0.0066500999964773,-1.144663091184615e-06,-5.9182438486244984e-05,-1.6001075897676596e-05,6.131807000105026e-05,3.670904217394124e-09
0.0067000999115407,-1.2363735739845971e-06,-5.9662027019086274e-05,-1.5999675290022316e-05,6.178248697670545e-05,3.663137184640576e-09
0.0067500001750886,-1.3261249604351473e-06,-6.013815388946976e-05,-1.5996206033498866e-05,6.224335119601436e-05,3.661121222789558e-09
0.0068001002073287,-1.4142281331810461e-06,-6.06124025344332e-05,-1.599068184750059e-05,6.270219524192778e-05,3.665258389433427e-09
0.0068501001223921,-1.5000531065123514e-06,-6.108075150962546e-05,-1.5983199205394814e-05,6.315513455881717e-05,3.675992260333346e-09
