time_s,Krot_J,Wmag_J,Whydro_J,Wnonmag_resolved_J,Fhydro_power_W,Thydro_power_W
0.0028500999324023,1.5853689375350374e-06,3.1507586473215223e-06,-3.256650398946808e-09,-1.5653897097864848e-06,-0.002913600966435762,-0.0016155748479625863
0.0029001000802963,1.6096762165910807e-06,3.164791744811771e-06,-3.337957590025254e-09,-1.5551155282206901e-06,-0.00292116609206671,-0.0016367031753271172
0.0029500001110136,1.3605537439369889e-06,3.1553467635119374e-06,-3.4149885645873987e-09,-1.7947930195749485e-06,-0.002930781143314831,-0.001450708734238646
0.003000000026077,1.4935220082940928e-06,3.0479611387466457e-06,-3.49019382214843e-09,-1.554439130452553e-06,-0.0007000338639871474,-0.0015575066783544028
0.0030501000583171,1.4649585103407872e-06,2.8848932030853395e-06,-3.566102590995158e-09,-1.4199346927445523e-06,-0.0006993575856835414,-0.0014727815451318473
0.0031000999733805,1.3057374371187966e-06,2.7432498791123225e-06,-3.6365790741650108e-09,-1.437512441993526e-06,-0.0006990811093746986,-0.0013462825704966671
0.0031500000040978,1.1934605266107908e-06,2.6425377709687292e-06,-3.7015375146421e-09,-1.4490772443579384e-06,-0.0006988001792480299,-0.0012572605353222534
0.0032001000363379,1.1293618840409097e-06,2.5830839575752434e-06,-3.763251604624535e-09,-1.4537220735343337e-06,-0.0006982285866098154,-0.0012063742059360127
0.0032500999514013,1.113689843390138e-06,2.5658147092337696e-06,-3.823264417132849e-09,-1.4521248658436316e-06,-0.0006972067798725913,-0.0011941423722309108
0.0032999999821186,1.1467400747463274e-06,2.590758838460487e-06,-3.8835127759358846e-09,-1.4440187637141598e-06,-0.0006956991188053843,-0.001220620021177704
0.0033501000143587,1.228078814484566e-06,2.6579459086371633e-06,-3.94629537131578e-09,-1.4298670941525974e-06,-0.0006937816775894001,-0.0012856695987177782
0.0034000999294221,1.357365267958667e-06,2.7665246495573664e-06,-4.01315590707775e-09,-1.4091593815986993e-06,-0.0006916753347320439,-0.0013887563748940224
0.0034501000773161,1.533220950564441e-06,2.9157533220520874e-06,-4.086098875138839e-09,-1.3825323714876465e-06,-0.0006897101416262809,-0.0015289537173131624
0.0035000999923795,1.7542359341689255e-06,3.1043308364614815e-06,-4.166950080375227e-09,-1.350094902292556e-06,-0.0006883399338173253,-0.0017050999859328452
0.0035500999074429,2.0184003183434127e-06,3.3305656812821884e-06,-4.257467610829526e-09,-1.3121653629387758e-06,-0.0006881332661705675,-0.0019156073828506175
0.0036001000553369,2.3229212404915677e-06,3.592303838842015e-06,-4.359317544266277e-09,-1.2693825983504474e-06,-0.0006897655738661681,-0.0021583779042597877
0.0036500000860542,1.3010209277342885e-06,3.788890046940614e-06,-4.454102678033389e-09,-2.487869119206325e-06,-0.0006939930282301297,-0.0016406231145613072
