frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element,CPRESS_max_MPa,CPRESS_active_values,CNORMF_max_N,CSHEARF_max_N,discrepancy_flag,contact_surface_name,geometric_wall_source
72,0.0036001000553369,0.0460108588392139,53,453,0.055543106913266,52,453,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
73,0.0036500000860542,0.0073008990857261,51,454,0.022224659610769,52,453,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
74,0.0037000998854637,0.0312743503665937,51,454,0.048036141269349,51,454,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
75,0.0037501000333577,0.0629963869529546,52,453,0.0727981964016978,51,454,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
76,0.0038000000640749,0.0815459090776602,62,412,0.0957869296695428,62,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
77,0.0038501000963151,0.0697184494077388,63,412,0.0829989311324209,62,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
78,0.0039001000113785,0.0551659190776656,63,412,0.0662305106154355,62,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
79,0.0039500999264419,0.0387412125111034,63,412,0.0468526221917333,62,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
80,0.0040000001899898,0.0175132694015552,65,412,0.0315835825295665,64,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
81,0.0040500001050531,0.0062113145326887,65,412,0.0415556535675009,62,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
82,0.0041001001372933,0.0291467657863075,65,412,0.0604890046586681,66,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
83,0.0041499999351799,0.0494290199522241,65,412,0.0697063341201058,66,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
84,0.0042000999674201,0.0670748165081262,65,412,0.0796485582516352,66,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
85,0.0042500998824834,0.077476164347076,14,413,0.0902198907444831,66,412,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
86,0.0043000001460313,0.0707060693457392,14,413,0.0913059440626327,14,413,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
87,0.0043501001782715,0.0618336321187588,14,425,0.0658806216798002,14,425,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
88,0.0044001000933349,0.0460102695235677,14,413,0.0465167217886416,14,413,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
89,0.0044499998912215,0.0256243643959934,14,425,0.0533809739634714,14,425,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
90,0.0045000999234616,0.0026861438271002,14,425,0.0375688093624867,65,413,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
91,0.0045500001870095,0.0172139267710403,14,425,0.0501422813688893,14,425,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
92,0.0046000001020729,0.0358020383265738,14,425,0.0378950721954291,14,425,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
93,0.0046501001343131,0.0510306903056873,14,425,0.0567818230709779,14,425,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
94,0.0046999999321997,0.0628371659315234,14,425,0.0650747187937895,16,428,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
