time_s,Wmag_J,Whydro_J,Wnonmag_resolved_J,Krot_J,Fhydro_power_W,Thydro_power_W
0.0027999999001622,3.1728142787458513e-06,-3.17541285977787e-09,-1.5699767034323873e-06,1.6028375869378996e-06,-0.0029083942225778675,-0.001627684445120702
0.0028500999324023,3.1507187103151374e-06,-3.256656570691494e-09,-1.5653462581703465e-06,1.5853724637692265e-06,-0.0029135262032433692,-0.0016155753805125754
0.0029001000802963,3.1647520347966616e-06,-3.3379637937945302e-09,-1.5550721127158813e-06,1.6096799337052159e-06,-0.0029210917548248816,-0.001636703923756951
0.0029500001110136,3.15528325503596e-06,-3.414993138794181e-09,-1.794697565003717e-06,1.3605857016566784e-06,-0.0029307072502925973,-0.0014506426727230108
0.003000000026077,3.0477917035415403e-06,-3.490217044509337e-09,-1.5535044530678988e-06,1.494287262098077e-06,-0.0007004763264621919,-0.0015583186673021462
0.0030501000583171,2.884525209983709e-06,-3.566168022773024e-09,-1.41846687740674e-06,1.4660583442014044e-06,-0.0006998316035361458,-0.0014736545617647949
0.0031000999733805,2.742649597672846e-06,-3.636682740560744e-09,-1.4360835229188337e-06,1.306566086378448e-06,-0.0006995809856234204,-0.0013469389411764447
0.0031500000040978,2.6417067338330893e-06,-3.701668593502678e-09,-1.447685023988408e-06,1.194021721469117e-06,-0.0006993190503855398,-0.001257702859951911
0.0032001000363379,2.5820242311276296e-06,-3.763399512032484e-09,-1.4523673526514291e-06,1.129656890100636e-06,-0.0006987586395042156,-0.0012066036791722658
0.0032500999514013,2.564531322408938e-06,-3.823418631179437e-09,-1.4508044081783939e-06,1.1137269258549796e-06,-0.0006977393038845557,-0.0011941651649687267
0.0032999999821186,2.5892587280412917e-06,-3.883663064235888e-09,-1.4427366065686649e-06,1.1465221330970624e-06,-0.0006962249255319897,-0.0012204398839842788
0.0033501000143587,2.656236799894e-06,-3.946431789547954e-09,-1.4286172969768253e-06,1.2276195145416102e-06,-0.0006942903817851345,-0.0012852960409449913
0.0034000999294221,2.7646172030405386e-06,-4.01326904501981e-09,-1.4079417355592035e-06,1.3566754791057707e-06,-0.0006921565378641165,-0.0013881987194803507
0.0034501000773161,2.913659645248236e-06,-4.086179832697901e-09,-1.3813432265064733e-06,1.5323164303661982e-06,-0.0006901532525512729,-0.001528224161214368
0.0035000999923795,3.1020651409942452e-06,-4.166990587819728e-09,-1.3489324770332688e-06,1.753132675585412e-06,-0.0006887344134829708,-0.0017042115347006448
0.0035500999074429,3.328144616112432e-06,-4.257460064405657e-09,-1.3110297042427723e-06,2.0171149234940952e-06,-0.0006884691853011113,-0.0019145736760827687
0.0036001000553369,3.58974646523937e-06,-4.359255182866541e-09,-1.2682666449399231e-06,2.321479831923882e-06,-0.0006900333373915713,-0.0021572190184783826
0.0036500000860542,3.7862962265313075e-06,-4.4540090798090475e-09,-2.4851238620451444e-06,1.3011723761105987e-06,-0.000694184001526538,-0.001640530024175275
0.0037000998854637,3.7996403893647217e-06,-4.526917420714836e-09,-2.632971947377122e-06,1.166668453612035e-06,-0.003748951031245986,-0.0012699942399982435
0.0037501000333577,3.706337917719826e-06,-4.589531920959058e-09,-2.521529153023499e-06,1.1848087763207626e-06,-0.00373048952851211,-0.0012345783615454495
0.0038000000640749,3.627026921788707e-06,-4.649242993039749e-09,-2.535169166390821e-06,1.0918577670223215e-06,-0.0037175483390751987,-0.001158649507154391
0.0038501000963151,3.585055995062938e-06,-4.7062491462204316e-09,-2.5428489487626957e-06,1.0422070579246777e-06,-0.0037104838438124623,-0.0011170437661501948
0.0039001000113785,3.5812283314420543e-06,-4.761932757314499e-09,-2.545022830844825e-06,1.0362055122216651e-06,-0.0037095722519826834,-0.0011103044612802244
0.0039500999264419,3.6155678164636513e-06,-4.818152734559329e-09,-2.5415680794243545e-06,1.0739997486637322e-06,-0.003714814492618697,-0.0011384984486264163
0.0040000001899898,3.6721522038961796e-06,-4.874801611942773e-09,-2.6433202191135366e-06,1.0288319964070783e-06,-0.003726004591977017,-0.0011319856472768106
0.0040500001050531,3.689040520396858e-06,-4.927605812050765e-09,-2.7509271809167816e-06,9.38113351104512e-07,-0.0016328291276273504,-0.0009801859450605799
0.0041001001372933,3.635815199746168e-06,-4.9798625637755894e-09,-2.4262451862627437e-06,1.2095700251078602e-06,-0.0016286333121873539,-0.0011059105857474047
0.0041499999351799,3.5747389517626496e-06,-5.033537348921463e-09,-2.4388099007718462e-06,1.135929062615239e-06,-0.0016324837068811108,-0.0010453921216443797
0.0042000999674201,3.5513164149630276e-06,-5.0852719011272846e-09,-2.4450328668157307e-06,1.1062835597717324e-06,-0.0016441881048104687,-0.001019858134394784
0.0042500998824834,3.5660364309842134e-06,-5.136508705634988e-09,-2.4453192982983128e-06,1.120717144310336e-06,-0.001663503076548088,-0.0010296175274273475
0.0043000001460313,3.6186840756708993e-06,-5.189008396731425e-09,-2.4393735059375315e-06,1.1793105813578037e-06,-0.0016902135843777479,-0.0010745673952050612
0.0043501001782715,3.709172693608674e-06,-5.2448436738526345e-09,-2.4278859655528037e-06,1.281286739680306e-06,-0.0017243525916212554,-0.0011543843489180646
0.0044001000933349,3.836165907298821e-06,-5.305407716217377e-09,-2.410293922341578e-06,1.4258719965816787e-06,-0.0017655948710644867,-0.001268181460961686
0.0044499998912215,3.998276046597913e-06,-5.3723468761095795e-09,-2.3865172523934826e-06,1.611758805828866e-06,-0.0018137408216819847,-0.0014147616661558228
0.0045000999234616,4.136811610235404e-06,-5.438926351349768e-09,-2.9415200530483676e-06,1.1952915688114725e-06,-0.0018689033658303973,-0.0012430999065119039
0.0045500001870095,4.1804485595548696e-06,-5.492710709757376e-09,-3.1635707194881835e-06,1.0168778516911217e-06,-0.0017205252484097412,-0.0009125744159685398
0.0046000001020729,4.1762371584875965e-06,-5.53807628400653e-09,-3.1668259419073145e-06,1.0094112282047174e-06,-0.001758268853758889,-0.0009020516365609449
0.0046501001343131,4.194487504547347e-06,-5.583595689929418e-09,-3.1667527082387675e-06,1.0277348079330158e-06,-0.0017960006353472556,-0.0009150891470876899
0.0046999999321997,4.247158628812501e-06,-5.630383847961215e-09,-3.1608847183902488e-06,1.0862739220466882e-06,-0.0018334988557287732,-0.0009601953235278004
0.004749999847263,4.333951881038847e-06,-5.6803114956093256e-09,-3.14966949572285e-06,1.184282396940433e-06,-0.001871178109463116,-0.0010369139749541007
0.0048000998795032,4.454030674023233e-06,-5.7349539024825526e-09,-3.13350127018804e-06,1.320529415459629e-06,-0.0019093979831173282,-0.001144418229035283
0.0048500001430511,4.539645728844696e-06,-5.780617943464717e-09,-4.066858203720721e-06,4.7278753674841104e-07,-0.001948433811326816,-0.0006857941881128137
0.0049000000581145,4.501912694027476e-06,-5.804857053115018e-09,-4.224397525464264e-06,2.775151801876474e-07,-0.004991658443545396,-0.00028377184493207677
0.0049501000903546,4.384078181667788e-06,-5.817944641194731e-09,-4.096157568095703e-06,2.879206251965204e-07,-0.004971845744860386,-0.0002386864248347684
0.0049999998882412,4.257563596080018e-06,-5.828530311447826e-09,-3.942088418750763e-06,3.1547518895369057e-07,-0.004957190428021633,-0.0001855906544893371
0.0050500999204814,4.116912297884672e-06,-5.843756173787941e-09,-3.658051745055017e-06,4.5886056445409076e-07,-0.0033081478944232117,-0.00042222781026198685
0.0051000998355448,3.9745195166769715e-06,-5.862457352450687e-09,-3.586463877057911e-06,3.8805565124349603e-07,-0.0032735758107805763,-0.00032582060698164273
0.0051500000990927,3.859233932908886e-06,-5.875990402090986e-09,-3.607131196994203e-06,2.5210274753911826e-07,-0.0032439769649643038,-0.00021658332751095928
0.0052001001313328,3.7780426732663844e-06,-5.885066369026303e-09,-3.6059986437983774e-06,1.7204404109244236e-07,-0.0032193150092515066,-0.00014573048864873476
0.0052501000463962,3.7136726239911493e-06,-5.897309217531604e-09,-3.408113518493488e-06,3.0555911712209706e-07,-0.001710553750079998,-0.0003439842834574642
0.0052999998442828,3.6499842984177264e-06,-5.916159246955896e-09,-3.138409498033321e-06,5.115748120088411e-07,-0.001674370679198714,-0.00041153097803235894
0.005350099876523,3.6044694668352354e-06,-5.935697311953791e-09,-3.146337774221088e-06,4.5813170423858295e-07,-0.001642502440101463,-0.00036843119461540063
0.0054000997915863,3.5949286080261662e-06,-5.9538780918842265e-09,-3.1484915760653862e-06,4.4643704358521547e-07,-0.0016152949587042236,-0.00035880123797647897
0.0054500000551342,3.6214257099586864e-06,-5.972379656550302e-09,-3.144626419814598e-06,4.7679930176852383e-07,-0.0015929348397639737,-0.0003827405235541135
0.0055001000873744,3.683992347798898e-06,-5.992993085389855e-09,-3.1351263340384742e-06,5.488660253848592e-07,-0.001575599296052223,-0.00044015031774213316
0.0055501000024378,3.7817865580846445e-06,-6.017259105497306e-09,-3.119592613179912e-06,6.621939565291682e-07,-0.0015637874861928538,-0.0005304921354172954
0.0055999998003244,3.913850964972609e-06,-6.0467848510762575e-09,-3.0979666819441728e-06,8.158842946528718e-07,-0.0015579244988319838,-0.0006529092741856014
0.0056500998325645,4.058128452651551e-06,-6.081657108364386e-09,-3.1800439435097752e-06,8.78084520766211e-07,-0.0015585226520781008,-0.0007391959093402572
