rho,time_s,B_norm_T,cone_angle_deg,transverse_phase_deg
0.4,0.015933333333333334,0.00917739763289036,19.326098827092014,34.80160930578009
0.4,0.015966666666666667,0.00917120287388596,19.215442896322518,35.19429629068368
0.4,0.016,0.009165050353779524,19.104781901048526,35.59189452013403
0.4,0.016033333333333333,0.009158941130221691,18.99413734473574,35.994489676202285
0.4,0.016066666666666667,0.009152876255587715,18.883531214759348,36.40216843305778
0.4,0.0161,0.00914685677675685,18.772985990420505,36.81501842109321
0.4,0.016133333333333333,0.009140883734891237,18.662524650889537,37.233128186505716
0.4,0.016166666666666666,0.009134958165214398,18.552170683053497,37.6565871460317
0.4,0.0162,0.009129081096789374,18.4419480892439,38.085485536524786
0.4,0.016233333333333332,0.0091232535522966,18.33188139481803,38.51991435905046
0.4,0.016266666666666665,0.009117476547811584,18.221995655565447,38.95996531716067
0.4,0.0163,0.009111751092582433,18.11231646490865,39.405730748999595
0.4,0.01633333333333333,0.009106078188807362,18.00286996086452,39.85730355288038
0.4,0.016366666666666668,0.009100458831412205,17.89368283273084,40.31477710596282
0.4,0.0164,0.009094894007828019,17.784782327458693,40.77824517565101
0.4,0.016433333333333335,0.009089384697768876,17.676196255669723,41.247801823323826
0.4,0.016466666666666668,0.009083931873009926,17.567952997273444,41.723541300002246
0.4,0.0165,0.00907853649716577,17.460081506637536,42.20555793355198
0.4,0.016533333333333334,0.009073199525469262,17.352611317259495,42.6939460070178
0.4,0.016566666666666667,0.009067921904550845,17.245572545886713,43.18879962768221
0.4,0.0166,0.00906270457221842,17.138995896026724,43.69021258644453
0.4,0.016633333333333333,0.009057548457237935,17.03291266078718,44.19827820711777
0.4,0.016666666666666666,0.009052454479114723,16.927354724980987,44.713089185248904
0.4,0.0167,0.009047423547875659,16.822354566428583,45.23473741607843
0.4,0.016733333333333333,0.009042456563852299,16.71794525638611,45.763313811269285
0.4,0.016766666666666666,0.009037554417465005,16.614160459023715,46.29890810405422
0.4,0.0168,0.009032717989008206,16.511034429875636,46.84160864247429
0.4,0.016833333333333332,0.009027948148436847,16.408602013179507,47.39150217040939
0.4,0.016866666666666665,0.009023245755154152,16.30689863801945,47.948673596138306
0.4,0.0169,0.00901861165780077,16.205960313184082,48.513205748204776
0.4,0.016933333333333335,0.009014046694045394,16.10582362064628,49.085179118415596
0.4,0.016966666666666668,0.009009551690376951,16.006525707571033,49.664671591851224
0.4,0.017,0.009005127461898488,15.908104276753372,50.251758163831276
0.4,0.017033333333333334,0.009000774812122777,15.810597575386307,50.84651064385059
0.4,0.017066666666666667,0.008996494532769805,15.714044382057418,51.448997346579226
0.4,0.0171,0.008992287403566192,15.61848399187131,52.05928277010856
