rho,time_s,B_norm_T,cone_angle_deg,transverse_phase_deg,tau_x_Nmm,tau_y_Nmm,tau_z_Nmm,tau_norm_Nmm,safe_torque_Nmm,danger_torque_Nmm,F_t_N
0.8,0.0012000863207504,0.009551028531753585,24.941987334661945,-101.2468024315958,-0.0031346718820299546,-0.010540726966623414,0.00043293050727594585,0.011005476891848961,0.0047735471567672315,0.0031456044630033602,3.1833810893944414e-06
0.8,0.0013000426115468,0.0095484331110886,24.908479379277136,-99.91379175211604,-0.003025493139317023,-0.010559763234433053,0.0005180507986218622,0.010996844317043465,0.0047182823744296816,0.0032674595141517276,3.2721572729419877e-06
0.8,0.0014000559458509,0.009546157596468614,24.879051770774975,-98.57617901354153,-0.002985414287970705,-0.010539061096128304,0.0005762382716941999,0.010968890454576975,0.004660847712274171,0.003305319101367659,3.1670735498849184e-06
0.8,0.0015000704443082,0.009544207004688695,24.853789003239374,-97.23520073581324,-0.002938282338476506,-0.010513456602043413,0.0006353146068889121,0.010934802123192701,0.004600663186989201,0.003346507663057035,3.0521639830322233e-06
0.8,0.0016000049654394,0.00954258550271727,24.832762198669606,-95.8924530545942,-0.0024883176636866806,-0.010650612572890005,0.0008559759398953024,0.010970869053219869,0.004514086217967705,0.0038428493663681057,3.839031532144936e-06
0.8,0.0017000631196424,0.009541292476385445,24.815977812599794,-94.54571400134294,-0.002110596824171072,-0.010726817166794234,0.0010502392818408312,0.010982815123325806,0.004413840180801115,0.004241804334691378,4.405601931545931e-06
0.8,0.0018000535201281,0.009540332646808636,24.80350872960075,-93.19808176733616,-0.0018046832671966342,-0.01075695462045906,0.0012177188283566402,0.010975053236611168,0.004307873134519269,0.004551372488011025,4.769768729510828e-06
0.8,0.0019000484608113,0.00953970646958879,24.79536958349844,-91.84911466053642,-0.0015749103715812624,-0.010748148441207542,0.0013553914541204076,0.010947151391419092,0.0042020937936298524,0.0047708904077167665,5.0272109054946325e-06
0.8,0.002000059466809,0.009539414931458916,24.791578908174653,-90.49919265090992,-0.0014206602390129629,-0.01070384561087957,0.001461347587163971,0.010896151758614973,0.0040999411344870874,0.004902057411007876,4.997314468725391e-06
0.8,0.0021000010892748,0.009539458458434314,24.79214490952001,-89.15000774303651,-0.0013412883127586562,-0.010623009121415651,0.001532821804317771,0.010816511443872053,0.0040033042705267165,0.00494399272315985,4.7729098873507306e-06
0.8,0.0022000833414494,0.009539837433542423,24.79707216809528,-87.79926451805939,-0.001333296111718301,-0.010502092389469085,0.0015677770891992433,0.010701847881552309,0.00391237555273172,0.0048970005094960325,4.363306014151189e-06
0.8,0.0023000345099717,0.009540550298152463,24.8063369586073,-86.451167990214,-0.001333014958654313,-0.010398251766905814,0.001600695102600681,0.010604847641500836,0.0038313372447852418,0.004852165844159637,4.032047009265365e-06
0.8,0.002400042489171,0.009541596931349094,24.81993121737097,-85.10371766209958,-0.0011549571116660422,-0.010499724805060007,0.0017485090308960384,0.010706793672379485,0.003769322287456041,0.005091218960784225,4.640568097097148e-06
0.8,0.0025000090245157,0.009542974786196255,24.837812399498137,-83.7587666583257,-0.0010440829529779802,-0.01055520178167821,0.0018616668356932144,0.010768853108468054,0.003708708713060273,0.005242153085131502,4.965662313823821e-06
0.8,0.0026000451762229,0.009544683430863095,24.859962530196288,-82.41534382924915,-0.0009989710752355153,-0.010576278646100194,0.0019405486005504109,0.010799136172870972,0.0036551843879042136,0.005312259815899313,5.091916914947994e-06
0.8,0.0027000687550753,0.009546719138552482,24.886318126353743,-81.07506813561672,-0.0010204896571562399,-0.01056986815567577,0.0019836241738268754,0.010802697664552217,0.0036135219701954597,0.005303978963635556,5.027178908278196e-06
0.8,0.0028000453021377,0.009549077815586202,24.91680841980528,-79.73890031286099,-0.0011073737391523986,-0.010538309096795723,0.001989359631425061,0.010781455697674388,0.0035863204033326785,0.005219062491536267,4.8652778362479065e-06
0.8,0.002900016028434,0.009551756588477504,24.951376015617402,-78.40677542240125,-0.0012596327295365886,-0.010479314855901783,0.0019546007519572256,0.010734206005196442,0.00357511769239881,0.005055339542012898,4.424747840983889e-06
0.8,0.003000000026077,0.009554751931469877,24.989952805148445,-77.07891369530712,-0.0014861382919603254,-0.01044295664149391,0.001885149192394415,0.010715303911534094,0.003599732042963401,0.004834647538537728,3.961011944409815e-06
0.7,0.0,0.009436058964040078,23.39591328399519,-119.9926965467699,-0.00118753549652518,-0.01095407737264177,-0.00025489511969197746,0.011021207881324647,0.005713987230211398,0.004709946784455816,7.37731580285307e-06
0.7,0.000100101402495,0.009427374797018027,23.27362292302774,-118.63712416865795,-0.001203447488623334,-0.010943590001768328,-0.00018618071054033684,0.011011135783453713,0.005648660938851543,0.004712024029611958,7.375853618540788e-06
0.7,0.0002000974782276,0.009419050223353553,23.155610735700396,-117.26723854013778,-0.0012212013227795352,-0.010932315902925894,-0.0001189029873893098,0.011000954576423583,0.005584032506120579,0.004711776667176043,7.369002689407721e-06
0.7,0.0003000949509441,0.00941108859057721,23.04201285658797,-115.88192951278647,-0.001245768930350952,-0.010919876616545976,-5.437134676627726e-05,0.010990841723533486,0.005520671098367309,0.004704652356415322,7.344262292736935e-06
0.7,0.0004000964399892,0.009403501969900176,22.933090616831407,-114.48154411563603,-0.0012843388991158914,-0.010905859066697644,5.274976895236136e-06,0.010981225624484486,0.005459679047694075,0.004684062224784417,7.283543885568643e-06
0.7,0.0005000106757506,0.009396308501363079,22.829195448988067,-113.06782161078965,-0.0013445781328253299,-0.010889816344369228,5.746876912253191e-05,0.010972661164402538,0.005402473744787922,0.004642887025321845,7.166757207561939e-06
0.7,0.0006000370485708,0.009389505104163262,22.730373206409077,-111.63843770595942,-0.0014366520084551414,-0.010870528796374276,9.884142409865605e-05,0.010965497477694224,0.005350585100347119,0.00457136620066941,6.967614706309886e-06
