event,cycle,start_s,end_s,duration_us,peak_force_N,sector_deg,true_separation_after
82,3,0.09355489909648895,0.0935560017824173,1.2069940567016602,0.007722513314141592,195.22814767734593,1
83,3,0.09358219802379608,0.09358319640159607,1.1064112186431885,0.007541601379631145,195.21255362687018,1
84,3,0.0936112031340599,0.0936122015118599,1.1064112186431885,0.0077871988243379325,195.27654177016097,1
85,3,0.0936456024646759,0.09364669770002365,1.2069940567016602,0.007734093254407173,195.26215102225237,1
86,3,0.09368540346622467,0.09368649870157242,1.2069940567016602,0.007643739059797644,195.26484001026077,1
87,3,0.09373530000448227,0.09373640269041061,1.2069940567016602,0.007121868138590219,195.19598140263435,1
88,3,0.09394390136003494,0.09394550323486328,1.7099082469940186,0.3942945671364369,318.6783442875561,1
89,3,0.09407129883766174,0.09407279640436172,1.6093254089355469,0.6513710505469802,225.7659655461872,1
90,3,0.09455619752407074,0.09455779939889908,1.7099082469940186,0.32146268498985664,347.4592310614316,1
91,3,0.09492070227861404,0.09492229670286179,1.7099082469940186,0.06590922810754549,346.19654736093975,1
92,3,0.09517800062894821,0.0951794981956482,1.6093254089355469,0.048061781805469654,345.0345107241297,1
93,3,0.09531600028276443,0.09531760215759277,1.7099082469940186,0.02997522901828776,344.79683692493046,1
94,3,0.09539490193128586,0.0953964963555336,1.7099082469940186,0.01764957889098634,344.70822255364874,1
95,3,0.09544070065021515,0.09544219821691513,1.6093254089355469,0.01036610153485895,344.69523773761387,1
96,3,0.09546949714422226,0.0954710990190506,1.7099082469940186,0.006517636666326532,344.61516008673163,0
97,3,0.0954866036772728,0.0954883024096489,1.8104910850524902,0.0036261151013964065,344.6310982510787,0
98,3,0.09549649804830551,0.09578140079975128,286.6610884666443,0.09802824582069111,344.4606937976429,1
99,3,0.09629429876804352,0.0962957963347435,1.6093254089355469,0.08282563769090145,346.5097634762713,1
100,3,0.09693869948387146,0.09694019705057144,1.6093254089355469,0.06625610620729927,347.6311130249394,1
101,3,0.0971233993768692,0.09712500125169754,1.7099082469940186,0.47070535338753405,15.052227225004929,1
