time_s,normalized_phase,alpha_B_deg,B_T,B_c_T,B_n_rock_T,B_b_rock_T,T_rock_Nmm,Bx_T,By_T,Bz_T
0.1114,0.5569999999999999,-3.505343201912591,0.01,0.009981291009105518,-0.0006114162179312551,0.0,-0.0006649901896966683,0.00969702153518203,-0.0012252582701009923,0.0021134132387597713
0.1116,0.5579999999999999,-3.5641187871325073,0.01,0.009980658549890595,-0.0006216549770538288,-4.336808689942018e-19,-0.0006761260970728532,0.009695608428975527,-0.0012354023032436702,0.0021139910929611214
0.11180000000000001,0.559,-3.622753667045462,0.01,0.009980017139564338,-0.0006318685733616541,0.0,-0.0006872346367992081,0.009694188539368398,-0.0012455207567975695,0.0021145653471966353
0.112,0.5599999999999999,-3.681245526846778,0.010000000000000002,0.009979366879984939,-0.0006420565977074813,-4.336808689942018e-19,-0.0006983153638778757,0.00969276199759739,-0.0012556132301361385,0.0021151359942658526
0.11220000000000001,0.561,-3.739592057378003,0.01,0.009978707874409243,-0.0006522186421768134,-4.336808689942018e-19,-0.0007093678346517665,0.009691328936168921,-0.0012656793239453632,0.002115703027343906
0.1124,0.5619999999999999,-3.797790955218011,0.01,0.009978040227476089,-0.0006623543001060237,-8.673617379884035e-19,-0.0007203916068242685,0.009689889488841428,-0.0012757186402407566,0.0021162664399793103
0.1126,0.563,-3.8558399227739644,0.010000000000000002,0.009977364045189405,-0.0006724631661003556,-8.673617379884035e-19,-0.0007313862394788216,0.009688443790607449,-0.0012857307823842153,0.0021168262260917088
0.11280000000000001,0.5640000000000001,-3.913736668372027,0.01,0.009976679434901126,-0.0006825448360517936,-8.673617379884035e-19,-0.0007423512930983519,0.00968699197767556,-0.0012957153551007364,0.0021173823799695603
0.113,0.565,-3.971478906347804,0.01,0.009975986505293861,-0.0006925989071567887,-8.673617379884035e-19,-0.0007532863295845563,0.00968553418745208,-0.0013056719644949759,0.002117934896267775
0.11320000000000001,0.5660000000000001,-4.029064357136629,0.010000000000000002,0.009975285366363384,-0.0007026249779338685,-8.673617379884035e-19,-0.0007641909122770509,0.009684070558522611,-0.0013156002180676806,0.0021184837700052974
