theta_rock_deg,HEAD_gap_um,TAIL_gap_um,BODY_gap_um,overall_gap_um
9.4289600445206,117.19525766782013,79.69983156288374,104.02905213799363,79.69983156288374
9.447520989490435,116.88708537649917,79.35757569509505,103.73425403653125,79.35757569509505
9.46608193446027,116.57897051133659,79.01538076352644,103.43951431311793,79.01538076352644
9.484642879430108,116.27091310466608,78.67324680408882,103.14483299868516,78.67324680408882
9.503203824399943,115.96291318881747,78.33117385268662,102.85021012415851,78.33117385268662
9.521764769369778,115.65497079611265,77.9891619452191,102.55564572045594,77.9891619452191
9.540325714339613,115.3470859588681,77.64721111757666,102.26113981849072,77.64721111757666
9.55888665930945,115.03925870939413,77.30532140564561,101.96669244916879,77.30532140564561
9.577447604279286,114.73148907999564,76.96349284530524,101.6723036433892,76.96349284530524
9.59600854924912,114.42377710297058,76.62172547242785,101.37797343204869,76.62172547242785
9.614569494218955,114.11612281061112,76.28001932287987,101.08370184603355,76.28001932287987
9.63313043918879,113.80852623520443,75.93837443252005,100.78948891622619,75.93837443252005
9.651691384158628,113.50098740902992,75.59679083720327,100.49533467350213,75.59679083720327
9.670252329128463,113.19350636436265,75.25526857277498,100.20123914873014,75.25526857277498
9.688813274098298,112.88608313346916,74.91380767507749,99.9072023727754,74.91380767507749
9.707374219068132,112.57871774861228,74.57240817994293,99.61322437649312,74.57240817994293
9.72593516403797,112.2714102420489,74.2310701232003,99.3193051907355,74.2310701232003
9.744496109007805,111.9641606460271,73.88979354067004,99.02544484634778,73.88979354067004
9.76305705397764,111.65696899279243,73.5485784681673,98.73164337416796,73.5485784681673
9.781617998947475,111.34983531458099,73.20742494149945,98.4379008050278,73.20742494149945
9.80017894391731,111.04275964362587,72.86633299646961,98.14421716975552,72.86633299646961
9.818739888887148,110.73574201215108,72.52530266887192,97.85059249916883,72.52530266887192
9.837300833856983,110.42878245237763,72.18433399449609,97.55702682408362,72.18433399449609
9.855861778826817,110.12188099651831,71.84342700912383,97.26352017530782,71.84342700912383
9.874422723796652,109.81503767677981,71.50258174853118,96.97007258364177,71.50258174853118
9.892983668766487,109.50825252536455,71.16179824848811,96.67668407988073,71.16179824848811
9.911544613736325,109.20152557446583,70.82107654475756,96.38335469481507,70.82107654475756
9.93010555870616,108.89485685627443,70.48041667309546,96.09008445922696,70.48041667309546
9.948666503675994,108.58824640297182,70.13981866925157,95.79687340389376,70.13981866925157
9.96722744864583,108.28169424673494,69.79928256897061,95.50372155958509,69.79928256897061
9.985788393615668,107.97520041973507,69.45880840798813,95.2106289570661,69.45880840798813
10.004349338585502,107.66876495413713,69.11839622203553,94.91759562709501,69.11839622203553
10.022910283555337,107.36238788209695,68.77804604683679,94.62462160042229,68.77804604683679
10.041471228525172,107.05606923577005,68.43775791810891,94.3317069077948,68.43775791810891
