normalized_phase,theta_rock_deg,theta_cross_deg,q_rock,q_cross
0.4325,4.115143586051087,0.0,0.0717610708544694,0.0
0.435,3.971478906347806,0.0,0.0692598907156789,0.0
0.4375,3.826834323650899,0.0,0.0667412107382167,0.0
0.44,3.6812455268467814,0.0,0.06420565977074817,0.0
0.4425,3.534748437792574,0.0,0.06165387172250272,0.0
0.445,3.3873792024529132,0.0,0.05908648538849162,0.0
0.4475,3.2391741819814945,0.0,0.056504144271556596,0.0
0.45,3.090169943749475,0.0,0.05390749640133654,0.0
0.4525,2.9404032523230414,0.0,0.051297194150247964,0.0
0.455,2.789911060392291,0.0,0.04867389404657665,0.0
0.4575,2.638730499653728,0.0,0.046038256584785255,0.0
0.46,2.486898871648548,0.0,0.04339094603314408,0.0
0.4625,2.3344536385590553,0.0,0.040732630238798924,0.0
0.465,2.1814324139654233,0.0,0.03806398043039267,0.0
0.4675,2.027872953565123,0.0,0.03538567101836223,0.0
0.47000000000000003,1.8738131458572458,0.0,0.032698379393035326,0.0
0.47250000000000003,1.7192910027940957,0.0,0.030002785720657406,0.0
0.47500000000000003,1.5643446504023097,0.0,0.027299572737480366,0.0
0.47750000000000004,1.4090123193758242,0.0,0.024589425542049178,0.0
0.48,1.2533323356430452,0.0,0.021873031385825924,0.0
0.4825,1.0973431109104563,0.0,0.019151079462291613,0.0
0.485,0.9410831331851435,0.0,0.01642426069467273,0.0
0.4875,0.7845909572784506,0.0,0.01369326752243725,0.0
0.49,0.6279051952931358,0.0,0.0109587936867096,0.0
0.4925,0.47106450709642955,0.0,0.008221534014756391,0.0
0.495,0.31410759078128236,0.0,0.005482184203694307,0.0
0.4975,0.1570731731182071,0.0,0.0027414406035749005,0.0
0.5,1.2246467991473533e-15,0.0,2.1374118819131e-17,0.0
0.5025000000000001,-0.15707317311820906,0.0,-0.002741440603574935,0.0
0.505,-0.3141075907812799,0.0,-0.005482184203694265,0.0
0.5075000000000001,-0.4710645070964271,0.0,-0.008221534014756348,0.0
0.51,-0.6279051952931335,0.0,-0.010958793686709559,0.0
0.5125,-0.7845909572784437,0.0,-0.013693267522437129,0.0
0.515,-0.941083133185141,0.0,-0.016424260694672687,0.0
0.5175,-1.0973431109104497,0.0,-0.019151079462291498,0.0
0.52,-1.2533323356430428,0.0,-0.021873031385825883,0.0
0.5225,-1.409012319375822,0.0,-0.024589425542049136,0.0
0.525,-1.5643446504023073,0.0,-0.027299572737480324,0.0
0.5275,-1.7192910027940933,0.0,-0.03000278572065736,0.0
0.53,-1.8738131458572478,0.0,-0.03269837939303536,0.0
0.5325,-2.027872953565121,0.0,-0.035385671018362194,0.0
0.535,-2.181432413965425,0.0,-0.038063980430392705,0.0
0.5375,-2.3344536385590526,0.0,-0.04073263023879888,0.0
0.54,-2.4868988716485503,0.0,-0.04339094603314411,0.0
0.5425,-2.6387304996537257,0.0,-0.04603825658478522,0.0
0.545,-2.789911060392293,0.0,-0.048673894046576675,0.0
0.5475,-2.940403252323039,0.0,-0.051297194150247916,0.0
0.55,-3.090169943749477,0.0,-0.05390749640133658,0.0
0.5525,-3.239174181981492,0.0,-0.05650414427155655,0.0
0.555,-3.387379202452915,0.0,-0.05908648538849166,0.0
0.5575,-3.5347484377925715,0.0,-0.06165387172250268,0.0
0.56,-3.681245526846783,0.0,-0.06420565977074821,0.0
0.5625,-3.8268343236508966,0.0,-0.06674121073821668,0.0
0.5650000000000001,-3.9714789063478078,0.0,-0.06925989071567894,0.0
0.5675,-4.115143586051085,0.0,-0.07176107085446935,0.0
0.5700000000000001,-4.257792915650727,0.0,-0.07424412753801535,0.0
0.5725,-4.399391698559151,0.0,-0.07670844255003338,0.0
0.5750000000000001,-4.539904997395471,0.0,-0.07915340323932228,0.0
0.5775,-4.679298142605732,0.0,-0.08157840268108292,0.0
0.58,-4.81753674101715,0.0,-0.0839828398347062,0.0
0.5825,-4.954586684324076,0.0,-0.08636611969796948,0.0
0.585,-5.090414157503709,0.0,-0.0887276534575938,0.0
0.5875,-5.224985647159487,0.0,-0.09106685863611652,0.0
0.59,-5.358267949789965,0.0,-0.09338315923503879,0.0
0.5925,-5.490228179981318,0.0,-0.09567598587421745,0.0
0.595,-5.620833778521303,0.0,-0.097944775927471,0.0
0.5975,-5.750052520432785,0.0,-0.10018897365438059,0.0
0.6,-5.87785252292473,0.0,-0.10240803032826722,0.0
0.6025,-6.004202253258843,0.0,-0.10460140436033769,0.0
0.605,-6.129070536529762,0.0,-0.10676856141999187,0.0
0.6075,-6.2524265633570515,0.0,-0.108908974551295,0.0
0.61,-6.374239897486897,0.0,-0.11102212428561783,0.0
0.6125,-6.494480483301839,0.0,-0.11310749875046014,0.0
0.615,-6.613118653236517,0.0,-0.11516459377447141,0.0
0.6175,-6.730125135097734,0.0,-0.11719291298869362,0.0
0.62,-6.845471059286887,0.0,-0.1191919679240507,0.0
0.6225,-6.9591279659231455,0.0,-0.12116127810511979,0.0
0.625,-7.071067811865475,0.0,-0.12310037114021892,0.0
0.6275000000000001,-7.1812629776318895,0.0,-0.12500878280785496,0.0
0.63,-7.289686274214113,0.0,-0.1268860571395758,0.0
0.6325000000000001,-7.396310949786097,0.0,-0.1287317464992802,0.0
0.635,-7.501110696304595,0.0,-0.13054541165903705,0.0
0.6375000000000001,-7.604059656000311,0.0,-0.13232662187147542,0.0
0.64,-7.705132427757894,0.0,-0.13407495493880606,0.0
0.6425,-7.8043040733832925,0.0,-0.1357899972785419,0.0
0.645,-7.901550123756904,0.0,-0.13747134398598643,0.0
0.6475,-7.996846584870905,0.0,-0.1391185988935615,0.0
0.65,-8.090169943749473,0.0,-0.14073137462705368,0.0
0.6525,-8.181497174250232,0.0,-0.14230929265885356,0.0
0.655,-8.270805742745615,0.0,-0.14385198335827185,0.0
0.6575,-8.3580736136827,0.0,-0.14535908603901415,0.0
0.66,-8.443279255020153,0.0,-0.14683024900390024,0.0
0.6625,-8.526401643540918,0.0,-0.14826512958691473,0.0
0.665,-8.607420270039437,0.0,-0.14966339419267893,0.0
0.6675,-8.686315144381913,0.0,-0.1510247183334311,0.0
0.67,-8.763066800438637,0.0,-0.15234878666361068,0.0
0.6725,-8.837656300886934,0.0,-0.15363529301213422,0.0
0.675,-8.910065241883679,0.0,-0.15488394041245868,0.0
0.6775,-8.980275757606154,0.0,-0.15609444113052326,0.0
0.68,-9.048270524660198,0.0,-0.15726651669066466,0.0
0.6825,-9.11403276635445,0.0,-0.15839989789959613,0.0
0.685,-9.177546256839813,0.0,-0.1594943248685473,0.0
0.6875,-9.238795325112864,0.0,-0.16054954703365118,0.0
0.6900000000000001,-9.297764858882514,0.0,-0.16156532317467592,0.0
0.6925,-9.354440308298674,0.0,-0.16254142143218528,0.0
0.6950000000000001,-9.408807689542254,0.0,-0.16347761932322258,0.0
0.6975,-9.460853588275453,0.0,-0.16437370375560104,0.0
0.7000000000000001,-9.510565162951535,0.0,-0.16522947104088845,0.0
0.7025,-9.5579301479833,0.0,-0.16604472690617006,0.0
0.705,-9.60293685676943,0.0,-0.16681928650466993,0.0
0.7075,-9.64557418457798,0.0,-0.1675529744253112,0.0
0.71,-9.685831611286309,0.0,-0.16824562470129187,0.0
0.7125,-9.723699203976766,0.0,-0.16889708081774937,0.0
0.715,-9.759167619387473,0.0,-0.16950719571858563,0.0
0.7175,-9.792228106217657,0.0,-0.17007583181252087,0.0
0.72,-9.822872507286887,0.0,-0.17060286097843977,0.0
0.7225,-9.851093261547739,0.0,-0.1710881645700927,0.0
0.725,-9.876883405951377,0.0,-0.1715316334202086,0.0
0.7275,-9.900236577165575,0.0,-0.17193316784407434,0.0
0.73,-9.921147013144777,0.0,-0.1722926776426304,0.0
0.7325,-9.939609554551797,0.0,-0.17261008210512946,0.0
0.735,-9.9556196460308,0.0,-0.17288531001139942,0.0
0.7375,-9.969173337331279,0.0,-0.17311829963375017,0.0
0.74,-9.980267284282716,0.0,-0.1733089987385563,0.0
0.7425,-9.9888987496197,0.0,-0.1734573645875466,0.0
0.745,-9.995065603657316,0.0,-0.17356336393882432,0.0
0.7475,-9.998766324816605,0.0,-0.17362697304763977,0.0
0.75,-10.0,0.0,-0.17364817766693033,0.0
0.7525000000000001,-9.998766324816605,0.0,-0.17362697304763977,0.0
0.755,-9.995065603657316,0.0,-0.17356336393882432,0.0
0.7575000000000001,-9.988898749619699,0.0,-0.17345736458754654,0.0
0.76,-9.980267284282716,0.0,-0.1733089987385563,0.0
0.7625000000000001,-9.969173337331279,0.0,-0.17311829963375017,0.0
0.765,-9.9556196460308,0.0,-0.17288531001139942,0.0
0.7675000000000001,-9.939609554551797,0.0,-0.17261008210512946,0.0
0.77,-9.921147013144779,0.0,-0.17229267764263043,0.0
0.7725,-9.900236577165575,0.0,-0.17193316784407434,0.0
0.775,-9.876883405951379,0.0,-0.17153163342020863,0.0
0.7775,-9.85109326154774,0.0,-0.17108816457009274,0.0
0.78,-9.822872507286887,0.0,-0.17060286097843977,0.0
0.7825,-9.792228106217658,0.0,-0.1700758318125209,0.0
0.785,-9.759167619387473,0.0,-0.16950719571858563,0.0
0.7875,-9.723699203976768,0.0,-0.16889708081774943,0.0
