t_s,driver_arc_mm,robot_arc_mm,delta_s_mm,tangent_driver_x,tangent_driver_y,tangent_driver_z,tangent_robot_x,tangent_robot_y,tangent_robot_z,moment_x_Am2,moment_y_Am2,moment_z_Am2,telemetry_ft_N,G6_minus_ft_N,G6_minus_fnorm_N,G6_minus_fx_N,G6_minus_fy_N,G6_minus_fz_N,G6_plus_ft_N,G6_plus_fnorm_N,G6_plus_fx_N,G6_plus_fy_N,G6_plus_fz_N,G3_minus_ft_N,G3_minus_fnorm_N,G3_minus_fx_N,G3_minus_fy_N,G3_minus_fz_N,G3_plus_ft_N,G3_plus_fnorm_N,G3_plus_fx_N,G3_plus_fy_N,G3_plus_fz_N
0.002001010284061655,18.911966687704368,13.699960625932427,-5.212006061771941,-0.638658616606312,-0.6856355299085686,0.34931231235315535,-0.9780720423548526,0.052473125798880214,-0.20154813577084363,0.0009771341749867607,-4.2493824812456095e-05,0.0006384567948778924,2.772114790467145e-06,-8.638805072818919e-06,1.6668430588358328e-05,1.6302925948405726e-05,-8.746446551328295e-07,3.3594911113093274e-06,8.638805072818919e-06,1.6668430588358328e-05,-1.6302925948405726e-05,8.746446551328295e-07,-3.3594911113093274e-06,-4.3194025364094595e-06,8.334215294179164e-06,8.151462974202863e-06,-4.3732232756641477e-07,1.6797455556546637e-06,4.3194025364094595e-06,8.334215294179164e-06,-8.151462974202863e-06,4.3732232756641477e-07,-1.6797455556546637e-06
0.00210105845530128,18.912566976731807,13.699960625932427,-5.21260635079938,-0.6385676893176756,-0.6856928293326365,0.34936606870342807,-0.9780720423548526,0.052473125798880214,-0.20154813577084363,0.0009525393879252446,-2.2732997880284146e-05,0.0006755560119326714,2.657345171257042e-06,-8.498041940262844e-06,1.6400082634768283e-05,1.6040462317376167e-05,-8.60563599206227e-07,3.305406081525333e-06,8.498041940262844e-06,1.6400082634768283e-05,-1.6040462317376167e-05,8.60563599206227e-07,-3.305406081525333e-06,-4.249020970131422e-06,8.200041317384141e-06,8.020231158688083e-06,-4.302817996031135e-07,1.6527030407626664e-06,4.249020970131422e-06,8.200041317384141e-06,-8.020231158688083e-06,4.302817996031135e-07,-1.6527030407626664e-06
0.002201125425061802,18.91316737855037,13.699960625932427,-5.213206752617943,-0.6384767358222851,-0.6857501295540139,0.3494198300474274,-0.9780720423548526,0.052473125798880214,-0.20154813577084363,0.0009193829497610417,-9.295518754323582e-06,0.000720328109280607,2.4467862744727867e-06,-8.305669035814126e-06,1.603200933144293e-05,1.5680460109856444e-05,-8.412496424576265e-07,3.231221593413092e-06,8.305669035814126e-06,1.603200933144293e-05,-1.5680460109856444e-05,8.412496424576265e-07,-3.231221593413092e-06,-4.152834517907063e-06,8.016004665721466e-06,7.840230054928222e-06,-4.2062482122881323e-07,1.615610796706546e-06,4.152834517907063e-06,8.016004665721466e-06,-7.840230054928222e-06,4.2062482122881323e-07,-1.615610796706546e-06
0.002301182521380516,18.91376772112828,13.699960625932427,-5.213807095195854,-0.6383857821835917,-0.6858074141508154,0.3494735809780417,-0.9780720423548526,0.052473125798880214,-0.20154813577084363,0.0008932799051890377,2.160767066393899e-06,0.0007525093634441692,2.2940116132778315e-06,-8.148816954233125e-06,1.5732367480365356e-05,1.538738879259801e-05,-8.255264979114235e-07,3.1708293369294818e-06,8.148816954233125e-06,1.5732367480365356e-05,-1.538738879259801e-05,8.255264979114235e-07,-3.1708293369294818e-06,-4.074408477116562e-06,7.866183740182678e-06,7.693694396299005e-06,-4.1276324895571175e-07,1.5854146684647409e-06,4.074408477116562e-06,7.866183740182678e-06,-7.693694396299005e-06,4.1276324895571175e-07,-1.5854146684647409e-06
0.0024011892971430465,18.914367761782856,13.599960625932427,-5.314407135850429,-0.63829486518092,-0.685864659972847,0.3495272997692771,-0.9764302667922609,0.0610713854735891,-0.20701260823517612,0.0009126020452727606,2.193391866509896e-05,0.0007286291307489479,2.6057767133850305e-06,-8.282381515670635e-06,1.6271640412850267e-05,1.588812218946712e-05,-9.937316239408092e-07,3.3684347221290317e-06,8.282381515670635e-06,1.6271640412850267e-05,-1.588812218946712e-05,9.937316239408092e-07,-3.3684347221290317e-06,-4.141190757835317e-06,8.135820206425133e-06,7.94406109473356e-06,-4.968658119704046e-07,1.6842173610645158e-06,4.141190757835317e-06,8.135820206425133e-06,-7.94406109473356e-06,4.968658119704046e-07,-1.6842173610645158e-06
0.0025012515733434334,18.91496813544006,13.599960625932427,-5.315007509507632,-0.6382038886147782,-0.6859219275908828,0.3495810432603341,-0.9764302667922609,0.0610713854735891,-0.20701260823517612,0.0009227964899407819,3.603825496490178e-05,0.0007151027075407122,2.769927312991507e-06,-8.331701238967948e-06,1.6371861946819363e-05,1.5985981528618894e-05,-9.9985229187459e-07,3.3891818432773046e-06,8.331701238967948e-06,1.6371861946819363e-05,-1.5985981528618894e-05,9.9985229187459e-07,-3.3891818432773046e-06,-4.165850619483974e-06,8.185930973409681e-06,7.992990764309447e-06,-4.99926145937295e-07,1.6945909216386523e-06,4.165850619483974e-06,8.185930973409681e-06,-7.992990764309447e-06,4.99926145937295e-07,-1.6945909216386523e-06
0.0026013317819243323,18.915568616691544,13.599960625932427,-5.315607990759117,-0.6381128866359728,-0.6859791954905547,0.349634791265454,-0.9764302667922609,0.0610713854735891,-0.20701260823517612,0.0009246173855913069,4.443504007007646e-05,0.0007122725724582321,2.8323847227826496e-06,-8.336340824507786e-06,1.638431037425664e-05,1.599813654994262e-05,-1.0006125345851521e-06,3.391758824709522e-06,8.336340824507786e-06,1.638431037425664e-05,-1.599813654994262e-05,1.0006125345851521e-06,-3.391758824709522e-06,-4.168170412253893e-06,8.19215518712832e-06,7.99906827497131e-06,-5.003062672925761e-07,1.695879412354761e-06,4.168170412253893e-06,8.19215518712832e-06,-7.99906827497131e-06,5.003062672925761e-07,-1.695879412354761e-06
0.002701338977287075,18.91616865986372,13.599960625932427,-5.316208033931295,-0.63802194195196,-0.6860364116367669,0.3496884949442836,-0.9764302667922609,0.0610713854735891,-0.20701260823517612,0.0009186138725291346,4.719310252027203e-05,0.0007198231479131095,2.7970697920256553e-06,-8.300026606792087e-06,1.6316254372710068e-05,1.5931684610195686e-05,-9.964562602809103e-07,3.3776703743233084e-06,8.300026606792087e-06,1.6316254372710068e-05,-1.5931684610195686e-05,9.964562602809103e-07,-3.3776703743233084e-06,-4.1500133033960435e-06,8.158127186355034e-06,7.965842305097843e-06,-4.982281301404551e-07,1.6888351871616542e-06,4.1500133033960435e-06,8.158127186355034e-06,-7.965842305097843e-06,4.982281301404551e-07,-1.6888351871616542e-06
0.0028013403989163416,18.916768668393498,13.499960625932426,-5.4168080424610725,-0.6379309934311224,-0.6860936145079386,0.3497421904080395,-0.9746847255726225,0.06966213648476459,-0.21245440093299905,0.0009050172343683748,4.419736713213349e-05,0.0007370307987016595,2.7159046052396445e-06,-8.245461486217789e-06,1.6501398697039162e-05,1.608366126058805e-05,-1.149522688222659e-06,3.505794774736027e-06,8.245461486217789e-06,1.6501398697039162e-05,-1.608366126058805e-05,1.149522688222659e-06,-3.505794774736027e-06,-4.122730743108894e-06,8.250699348519581e-06,8.041830630294025e-06,-5.747613441113295e-07,1.7528973873680135e-06,4.122730743108894e-06,8.250699348519581e-06,-8.041830630294025e-06,5.747613441113295e-07,-1.7528973873680135e-06
0.0029014145908850615,18.91736911354531,13.499960625932426,-5.417408487612883,-0.6378399696346462,-0.6861508490204326,0.34979591982327796,-0.9746847255726225,0.06966213648476459,-0.21245440093299905,0.0008851045065583287,3.645639076183657e-05,0.0007612390846788926,2.5052574652777338e-06,-8.135367741436999e-06,1.6284464619459817e-05,1.5872218928715275e-05,-1.1344105969021301e-06,3.4597061752419547e-06,8.135367741436999e-06,1.6284464619459817e-05,-1.5872218928715275e-05,1.1344105969021301e-06,-3.4597061752419547e-06,-4.067683870718499e-06,8.142232309729909e-06,7.936109464357637e-06,-5.672052984510651e-07,1.7298530876209773e-06,4.067683870718499e-06,8.142232309729909e-06,-7.936109464357637e-06,5.672052984510651e-07,-1.7298530876209773e-06
