event,start_s,end_s,duration_us,peak_force_N,sector_deg,sector_bin_30deg,true_separation_after
122,0.009891579858958721,0.00989317987114191,1.701992005109787,0.020104725707884106,174.22126499698922,6,0
123,0.009898380376398563,0.010090279392898083,192.22497940063477,0.1513786069637769,189.66790637722858,6,1
124,0.01014947984367609,0.010150779969990253,1.4016404747962952,0.12450457118403663,354.23100206830793,0,1
125,0.010184279642999172,0.010185579769313335,1.4016404747962952,0.0699031057394686,354.2584626817431,0,0
126,0.010204079560935497,0.010208179242908955,4.2049214243888855,0.15158684073596498,193.55558066967941,6,1
127,0.010246179066598415,0.010247479192912579,1.4016404747962952,0.0832676367229553,354.2743640952031,0,0
128,0.010256179608404636,0.010257679037749767,1.601874828338623,0.06285022399986338,189.2097361750385,6,0
129,0.010276179760694504,0.010281478986144066,5.406327545642853,0.04272348539575125,281.8384884138687,9,0
130,0.010292178951203823,0.010599078610539436,307.3597326874733,0.11813438534136142,230.74284840177882,8,1
131,0.010638078674674034,0.010639478452503681,1.501757651567459,0.08044835421651726,354.1835907881541,0,0
132,0.010659478604793549,0.010660878382623196,1.501757651567459,0.040897428125376015,354.20405823455593,0,0
133,0.010670778341591358,0.01070447824895382,33.83960574865341,0.097646919694555,352.64723965623153,0,1
134,0.01072807889431715,0.010729578323662281,1.601874828338623,0.04270594049571492,204.23210524395415,7,0
135,0.010742578655481339,0.01074407808482647,1.601874828338623,0.024311101165994282,204.22097979979256,7,0
136,0.010751278139650822,0.010769478045403957,18.321443349123,0.0755891151313519,358.24738284418686,0,1
137,0.010794678702950478,0.010796178132295609,1.601874828338623,0.048005440055201645,204.2340683681321,7,0
138,0.010805577971041203,0.010806978680193424,1.501757651567459,0.05773772362794382,9.185615427105073,0,0
139,0.010818677954375744,0.010824178345501423,5.606561899185181,0.02975353696697955,231.8182691668047,8,0
140,0.01082947850227356,0.011924776248633862,1096.6835543513298,0.04116046175686729,287.18359116630603,10,0
141,0.011938775889575481,0.011940175667405128,1.501757651567459,0.03146568193859738,9.169410006091622,0,0
142,0.011947776190936565,0.011958075687289238,10.41218638420105,0.031345715444687346,213.89117243285583,7,0
143,0.011965176090598106,0.012144575826823711,179.71033230423927,0.09249131450248356,0.7302684959257267,0,1
144,0.012183175422251225,0.01218467578291893,1.601874828338623,0.07538544675568952,200.77440550302282,7,1
145,0.012206675484776497,0.012208875268697739,2.3026950657367706,0.05672324013431249,25.73614949740666,1,1
146,0.012231575325131416,0.012233075685799122,1.601874828338623,0.04511696810515399,200.7676922606826,7,0
147,0.012242775410413742,0.012244075536727905,1.4016404747962952,0.05441859936996396,24.13024735664182,1,0
148,0.012252075597643852,0.012253575026988983,1.601874828338623,0.02379130636316771,200.7904159191661,7,0
149,0.012260175310075283,0.012263474985957146,3.403984010219574,0.02696719128287179,29.65033598809827,1,0
150,0.012270275503396988,0.012987273745238781,717.9402746260166,0.11066136579574777,49.49056492848874,2,1
151,0.013031573966145515,0.013032973743975163,1.501757651567459,0.09075158995571157,204.24165314468982,7,1
152,0.013059173710644245,0.01310617383569479,47.155190259218216,0.12377582341484042,59.151101442447114,2,0
153,0.0131197739392519,0.01312127336859703,1.601874828338623,0.0290406844188959,204.2029621176277,7,0
154,0.01312827318906784,0.01356207299977541,434.40843001008034,0.09350141905528314,86.26310115548434,3,1
155,0.01359467301517725,0.01359617244452238,1.601874828338623,0.0654342629311316,204.26108897911135,7,0
156,0.013614772818982601,0.013616272248327732,1.601874828338623,0.03679081023468618,204.26668371828683,7,0
157,0.013626473024487495,0.013628572225570679,2.2025778889656067,0.06585555286730851,57.49149284772968,2,0
158,0.01364437211304903,0.013645872473716736,1.601874828338623,0.033613954865692096,204.28467238013604,7,0
159,0.013654972426593304,0.013667172752320766,12.314412742853165,0.040681022640365126,87.85283797810686,3,0
160,0.013676072470843792,0.013690072111785412,14.116521924734116,0.022527698046297156,154.56338567421705,5,0
