time_s,sample_index,min_analytic_gap_um,HEAD_gap_um,TAIL_gap_um,nearest_wall_sector_deg,minimum_end_margin_mm
0.008539983071386814,85400,-3.088917924223389,-0.8715371808405425,-3.088917924223389,359.7000242344365,10.73737465706437
0.00854998268187046,85500,-3.0960171956685434,-0.9063620818301477,-3.0960171956685434,359.5884629060947,10.737304840027628
0.008559983223676682,85600,-3.10428761277326,-0.9421911372493597,-3.10428761277326,359.4754717856588,10.737234906968096
0.008569982834160328,85700,-3.1138903441744192,-0.9790412866738096,-3.1138903441744192,359.36107256426243,10.737164836401934
0.008579982444643974,85800,-3.124940089455519,-1.0169162914832608,-3.124940089455519,359.24527557867634,10.737094626923865
0.008589982986450195,85900,-3.137596596338166,-1.0558288610883482,-3.137596596338166,359.12810186228853,10.73702427113291
0.008599982596933842,86000,-3.1520014994571577,-1.0957998054715867,-3.1520014994571577,359.00956388396844,10.73695375105946
0.008609983138740063,86100,-3.1682979154428192,-1.1368350931301174,-3.1682979154428192,358.88968216848383,10.736883064662516
0.008619982749223709,86200,-3.1866190963706353,-1.1789189016633284,-3.1866190963706353,358.76847918835404,10.736812208763073
0.008629982359707355,86300,-3.207100880204483,-1.2220743068075413,-3.207100880204483,358.6459676765948,10.736741167077918
0.008639982901513577,86400,-3.2298858296817556,-1.2662890800533289,-3.2298858296817556,358.5221758010355,10.736669940128778
0.008649982511997223,86500,-3.2551275890878584,-1.3116140206180793,-3.2551275890878584,358.3971029827594,10.736598516697988
0.008659983053803444,86600,-3.282938140997449,-1.3579979290657684,-3.282938140997449,358.27078632170793,10.736526895173977
0.00866998266428709,86700,-3.2389395588228176,-1.3891644570679373,-3.2389395588228176,358.1446854757528,10.736460150710705
0.008679982274770737,86800,-3.0140514492281723,-1.4063469558182051,-3.0140514492281723,358.02136938902675,10.73640427036272
0.008689982816576958,86900,-2.853162691354716,-1.479156425929773,-2.853162691354716,357.8962401902323,10.736341582762044
0.008699982427060604,87000,-2.735781227932832,-1.5367012692932835,-2.735781227932832,357.7698619999312,10.736277307695076
0.00870998203754425,87100,-2.6683327675404156,-1.600304273055242,-2.6683327675404156,357.6421515564845,10.736209880500612
0.008719982579350471,87200,-2.5444992672077893,-1.6264265618886053,-2.5444992672077893,357.5150746866743,10.736147733425419
