region,parameter,x_mm,radius_mm
HEAD,0.188,0.00984250832867474,0.0945120143797523
HEAD,0.19,0.010116171566756475,0.09559998338091918
HEAD,0.192,0.010394244807769347,0.09669005202651697
HEAD,0.194,0.010676740478436503,0.09778221606815636
HEAD,0.196,0.010963670470476944,0.09887647069649609
HEAD,0.198,0.011255046143250017,0.09997281054538434
HEAD,0.2,0.011550878326400005,0.10107122969600003
HEAD,0.202,0.011851177322500623,0.10217172168099417
HEAD,0.204,0.012155952909699584,0.10327427948863119
HEAD,0.206,0.012465214344363143,0.10437889556693034
HEAD,0.208,0.012778970363720615,0.105485561827807
HEAD,0.21,0.01309722918850893,0.10659426965121387
HEAD,0.212,0.013419998525617162,0.10770500988928255
HEAD,0.214,0.013747285570731089,0.10881777287046475
HEAD,0.216,0.014079097010977716,0.10993254840367361
HEAD,0.218,0.014415439027569813,0.11104932578242513
HEAD,0.22,0.014756317298450464,0.11216809378897938
HEAD,0.222,0.015101737000937612,0.11328884069848194
HEAD,0.224,0.015451702814368579,0.11441155428310523
HEAD,0.226,0.015806218922744624,0.1155362218161898
HEAD,0.228,0.01616528901737547,0.11666283007638566
HEAD,0.23,0.01652891629952386,0.11779136535179378
HEAD,0.232,0.01689710348305009,0.11892181344410716
HEAD,0.234,0.017269852797056538,0.12005415967275239
HEAD,0.236,0.0176471659885322,0.12118838887903086
HEAD,0.238,0.018029044324997273,0.12232448543026019
HEAD,0.24,0.018415488597147645,0.12346243322391551
HEAD,0.242,0.018806499121499457,0.12460221569177082
HEAD,0.244,0.019202075743033637,0.12574381580404032
HEAD,0.246,0.01960221783784044,0.12688721607351972
HEAD,0.248,0.02000692431576401,0.12803239855972762
HEAD,0.25,0.020416193623046874,0.12917934487304686
HEAD,0.252,0.020830023744974533,0.13032803617886587
HEAD,0.254,0.021248412208519963,0.1314784532017199
HEAD,0.256,0.02167135608498818,0.13263057622943245
HEAD,0.258,0.02209885199266074,0.13378438511725665
HEAD,0.26,0.022530896099440353,0.1349398592920165
HEAD,0.262,0.022967484125495354,0.13609697775624816
HEAD,0.264,0.02340861134590426,0.13725571909234152
HEAD,0.266,0.02385427259330034,0.13841606146668134
HEAD,0.268,0.024304462260516104,0.13957798263378862
HEAD,0.27,0.02475917430322789,0.14074145994046197
HEAD,0.272,0.025218402242600392,0.141906470329919
HEAD,0.274,0.025682139167931165,0.1430729903459375
HEAD,0.276,0.02615037773929522,0.14424099613699698
HEAD,0.278,0.02662311019018952,0.14541046346041978
HEAD,0.28,0.02710032833017754,0.14658136768651267
HEAD,0.282,0.0275820235475338,0.14775368380270787
HEAD,0.284,0.028068186811888437,0.14892738641770487
HEAD,0.286,0.028558808676871668,0.15010244976561116
HEAD,0.288,0.029053879282758426,0.1512788477100841
HEAD,0.29,0.02955338835911282,0.15245655374847186
HEAD,0.292,0.0300573252274327,0.15363554101595503
HEAD,0.294,0.030565678803794242,0.1548157822896879
HEAD,0.296,0.031078437601496423,0.15599724999293968
HEAD,0.298,0.03159558973370559,0.15717991619923594
HEAD,0.3,0.03211712291609999,0.1583637526365
HEAD,0.302,0.03264302446951435,0.159548730691194
HEAD,0.304,0.03317328132258435,0.16073482141246073
HEAD,0.306,0.033707880014391206,0.1619219955162644
HEAD,0.308,0.03424680669710622,0.16311022338953246
HEAD,0.31,0.03479004713863527,0.16429947509429657
HEAD,0.312,0.03533758672526341,0.16548972037183418
HEAD,0.314,0.03588941046429937,0.16668092864680983
HEAD,0.316,0.03644550298672009,0.16787306903141627
HEAD,0.318,0.03700584854981532,0.16906611032951624
HEAD,0.32,0.03757043103983206,0.1702600210407833
HEAD,0.322,0.038139233974619206,0.17145476936484358
HEAD,0.324,0.03871224050627202,0.17265032320541676
HEAD,0.326,0.039289433423776686,0.17384665017445788
HEAD,0.328,0.03987079515565486,0.17504371759629808
HEAD,0.33,0.04045630777260821,0.17624149251178647
HEAD,0.332,0.04104595299016295,0.1774399416824312
HEAD,0.334,0.041639712171314354,0.17863903159454084
HEAD,0.336,0.04223756632917136,0.1798387284633657
HEAD,0.338,0.04283949612960107,0.18103899823723932
HEAD,0.34,0.043445481893873254,0.18223980660171948
HEAD,0.342,0.04405550360130495,0.18344111898372994
